Housing type,Occupancy status,Income tenant,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9
Multi-family,Privately rented,D1,0.049976474385383204,0.3166076141745894,0.04246554411058411,0.04513343654551855,0.04429715049797531,0.055799515745899364,0.06497536456233147,0.08841282784869511,0.11576760000436688,0.17656447212465665
Multi-family,Privately rented,D10,0.03495676207939132,0.5606918904431824,0.0175485326740502,0.013936621336124501,0.017915657002032702,0.028035529315358073,0.03801145551220394,0.05321363730620319,0.08276009193587994,0.1529298223955738
Multi-family,Privately rented,D2,0.05183303597030049,0.3264887288304911,0.041155896923322,0.04122935846626568,0.03368008148713958,0.05426734038764931,0.06580626328179673,0.0810876239284683,0.12167842752867924,0.18277324319588745
Multi-family,Privately rented,D3,0.0402646523171303,0.33956229626296314,0.03121926583668578,0.03765445953413861,0.04191582070138975,0.047862326696492444,0.06434689905304503,0.09209809482481648,0.11137176748694219,0.19370441728639629
Multi-family,Privately rented,D4,0.03891557208620061,0.3567047070828811,0.03121558952225892,0.03311631734085801,0.041485671239645194,0.049415028017345985,0.05992412225020253,0.08366570458479618,0.1228930270357258,0.18266426084008563
Multi-family,Privately rented,D5,0.0329926506846375,0.36111635976864176,0.03046571876967094,0.02505001286640826,0.041479307962106665,0.05913099032743862,0.055404755164233065,0.08417328702706381,0.12062721137946963,0.18955970605032965
Multi-family,Privately rented,D6,0.03470070417516933,0.38103282181344406,0.021002645859396592,0.02467441436205388,0.03415549817000788,0.05023786776574581,0.06339171780287119,0.08087657124303797,0.11601086694155217,0.19391689186672106
Multi-family,Privately rented,D7,0.024205676885062213,0.40582528842716664,0.01712622945162601,0.02318031106804264,0.02933639281939486,0.04470179754087985,0.060762520589847484,0.08626572906057794,0.11157365878331851,0.19702239537408392
Multi-family,Privately rented,D8,0.034255919603194726,0.4506166783974651,0.01583377469635528,0.021891241103408773,0.027163856820590932,0.029037578631958213,0.04475387808348646,0.07473743312279936,0.11338682930463594,0.18832281023610514
Multi-family,Privately rented,D9,0.03037233617467458,0.4944722256420942,0.01717331298503674,0.021608973047068193,0.01929025659027238,0.027310779315662097,0.044745647428267754,0.06512703813469445,0.09879162519860345,0.18110780548362607
Single-family,Privately rented,D1,0.07627872185906462,0.22443963106509823,0.06010031993739184,0.0758260269198704,0.06560565287969343,0.07426874066904274,0.08614265201171831,0.08750329081981445,0.11591343759349575,0.1339215262448102
Single-family,Privately rented,D10,0.03701678063728815,0.4584981931495146,0.024720630762597097,0.026470085472487186,0.03032028907969283,0.03415419942392688,0.042414585451522414,0.057761763769209974,0.10533919179288607,0.18330428046087482
Single-family,Privately rented,D2,0.06561940940604737,0.22255767274236637,0.06028402072044948,0.04587824203678038,0.06464268175664027,0.07381713429022276,0.08040291767524903,0.09930013026646817,0.12252136881215733,0.16497642229361892
Single-family,Privately rented,D3,0.04603143518357267,0.25546217903120383,0.05733168262886034,0.06587375595621288,0.048742494330437286,0.06711998774011783,0.07097052592699124,0.10473934521242842,0.12580817689277257,0.15792041709740298
Single-family,Privately rented,D4,0.03844993919527272,0.2506173548275726,0.04854392372269474,0.06855061786977006,0.061290125365141036,0.061558858415114104,0.08510498146181075,0.09499001570016488,0.12201305303684622,0.16888113040561298
Single-family,Privately rented,D5,0.03861302079220049,0.24704998240943224,0.035346465210160424,0.05394445708028648,0.06691906587182113,0.08777317978036911,0.0841024989541182,0.09334278357547536,0.12783006129819102,0.16507848502794545
Single-family,Privately rented,D6,0.032112409663591815,0.26058444895274674,0.03569153553584317,0.04660942623353023,0.0653838312052379,0.06952430864496038,0.08118173733746452,0.10158754249609783,0.12822491831548594,0.17909984161504153
Single-family,Privately rented,D7,0.03379689438106537,0.2867600152092256,0.02941865646144537,0.037270268992546006,0.04997760364010764,0.07167892730632207,0.0871809724568246,0.10306465723292454,0.12459805430446355,0.17625395001507513
Single-family,Privately rented,D8,0.02326557167664892,0.2940747918418796,0.02903832571430198,0.04041442548070301,0.04293515339778733,0.059620719138389205,0.08133735152847842,0.1080920353042779,0.14011441971474078,0.18110720620279286
Single-family,Privately rented,D9,0.02786812595638741,0.33617128452333706,0.031714697410478714,0.03924821498406155,0.034208379629172406,0.044440945157857584,0.07369225221535051,0.09245093040744282,0.12583191100276245,0.19437325871314956
