Housing type,Occupancy status,Income owner,Income tenant,Wall,Floor,Roof,Windows,Heating system,Stock buildings
Multi-family,Owner-occupied,D1,D1,0.1,0.2,0.1,1.3,Natural gas-Performance boiler,672.1390132
Multi-family,Owner-occupied,D1,D1,0.1,0.2,0.1,1.3,Oil fuel-Performance boiler,47.83749719015598
Multi-family,Owner-occupied,D1,D1,0.1,0.2,0.1,1.3,Wood fuel-Performance boiler,4.187461506827357
Multi-family,Owner-occupied,D1,D1,0.1,0.2,0.1,3.0,Electricity-Performance boiler,516.7409854682168
Multi-family,Owner-occupied,D1,D1,0.1,0.5,0.1,1.6,Electricity-Heat pump,739.8493119461078
Multi-family,Owner-occupied,D1,D1,0.1,0.5,0.1,1.6,Natural gas-Performance boiler,2101.5114506829123
Multi-family,Owner-occupied,D1,D1,0.1,0.5,0.1,1.6,Oil fuel-Performance boiler,73.44230993465334
Multi-family,Owner-occupied,D1,D1,0.1,0.5,0.1,1.6,Wood fuel-Performance boiler,6.652153366894938
Multi-family,Owner-occupied,D1,D1,0.1,0.5,0.5,1.6,Electricity-Heat pump,20.743438652694582
Multi-family,Owner-occupied,D1,D1,0.1,0.5,0.5,1.6,Natural gas-Performance boiler,224.16990175087233
Multi-family,Owner-occupied,D1,D1,0.1,0.5,0.5,1.6,Oil fuel-Performance boiler,5.778626399249942
Multi-family,Owner-occupied,D1,D1,0.1,0.5,0.5,1.6,Wood fuel-Performance boiler,0.350113335099733
Multi-family,Owner-occupied,D1,D1,0.5,0.2,0.1,1.6,Electricity-Heat pump,394.1253344011976
Multi-family,Owner-occupied,D1,D1,0.5,0.2,0.1,1.6,Electricity-Performance boiler,4839.147954083039
Multi-family,Owner-occupied,D1,D1,0.5,0.2,0.1,1.6,Natural gas-Performance boiler,1343.283341566215
Multi-family,Owner-occupied,D1,D1,0.5,0.2,0.1,1.6,Oil fuel-Performance boiler,35.881238339528714
Multi-family,Owner-occupied,D1,D1,0.5,0.2,0.1,1.6,Wood fuel-Performance boiler,3.0732170525421054
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.1,1.6,Natural gas-Standard boiler,7929.322464743592
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.1,3.0,Electricity-Heat pump,669.4245751661236
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.1,3.0,Electricity-Performance boiler,8405.235054935762
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.1,3.0,Natural gas-Performance boiler,8483.15929788582
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.1,3.0,Oil fuel-Performance boiler,464.1539035310127
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.1,3.0,Wood fuel-Performance boiler,35.04357100646851
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.1,3.0,Wood fuel-Standard boiler,33.06782071233527
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.5,1.6,Electricity-Performance boiler,7565.770333775179
Multi-family,Owner-occupied,D1,D1,0.5,0.5,2.5,1.6,Electricity-Heat pump,110.40856708469053
Multi-family,Owner-occupied,D1,D1,0.5,0.5,2.5,1.6,Electricity-Performance boiler,4455.314783198112
Multi-family,Owner-occupied,D1,D1,0.5,0.5,2.5,1.6,Natural gas-Performance boiler,2907.9031473705863
Multi-family,Owner-occupied,D1,D1,0.5,0.5,2.5,1.6,Oil fuel-Performance boiler,135.2191065260504
Multi-family,Owner-occupied,D1,D1,0.5,0.5,2.5,1.6,Wood fuel-Performance boiler,9.098850038771495
Multi-family,Owner-occupied,D1,D1,0.5,0.5,2.5,3.0,Electricity-Performance boiler,5003.30774698625
Multi-family,Owner-occupied,D1,D1,0.5,2.0,0.1,1.6,Electricity-Heat pump,290.5488607491857
Multi-family,Owner-occupied,D1,D1,0.5,2.0,0.1,3.0,Oil fuel-Performance boiler,282.67562898289236
Multi-family,Owner-occupied,D1,D1,0.5,2.0,2.5,3.0,Wood fuel-Standard boiler,63.18921988083521
Multi-family,Owner-occupied,D1,D1,1.0,0.5,0.1,3.0,Electricity-Performance boiler,6291.408959815636
Multi-family,Owner-occupied,D1,D1,1.0,0.5,0.1,3.0,Wood fuel-Standard boiler,37.8765791683369
Multi-family,Owner-occupied,D1,D1,1.0,2.0,0.5,3.0,Electricity-Heat pump,293.22861344874394
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,1.6,Natural gas-Standard boiler,5764.522154690006
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Electricity-Performance boiler,1437.4842354837488
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Natural gas-Standard boiler,11881.204992173385
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Oil fuel-Performance boiler,461.4850123912631
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Oil fuel-Standard boiler,401.49973809554393
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Wood fuel-Standard boiler,1.5961151777791223
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.5,1.6,Electricity-Performance boiler,4826.411518379015
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.5,1.6,Natural gas-Performance boiler,12335.098570065351
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.5,3.0,Electricity-Performance boiler,5307.997836137234
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.5,3.0,Oil fuel-Performance boiler,1215.7468469035955
Multi-family,Owner-occupied,D1,D1,2.5,0.5,2.5,3.0,Electricity-Performance boiler,2124.364249370189
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.1,3.0,Natural gas-Standard boiler,4394.826189192399
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.1,3.0,Wood fuel-Standard boiler,44.1591865852224
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.5,3.0,Oil fuel-Standard boiler,628.2300268239899
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.5,3.0,Wood fuel-Performance boiler,79.81796195473922
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,1.6,Electricity-Performance boiler,2334.782275970515
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,1.6,Oil fuel-Performance boiler,687.4944280472553
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Electricity-Heat pump,105.5423112890571
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Electricity-Performance boiler,4850.715802659295
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Natural gas-Standard boiler,17761.572333878856
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Oil fuel-Standard boiler,760.0452157384991
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Wood fuel-Performance boiler,70.49508701857793
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Wood fuel-Standard boiler,66.53065631134626
Multi-family,Owner-occupied,D10,D10,0.1,0.2,0.1,1.3,Natural gas-Performance boiler,4782.890366
Multi-family,Owner-occupied,D10,D10,0.1,0.2,0.1,1.3,Oil fuel-Performance boiler,76.27998495413436
Multi-family,Owner-occupied,D10,D10,0.1,0.2,0.1,1.3,Wood fuel-Performance boiler,6.677178353773448
Multi-family,Owner-occupied,D10,D10,0.1,0.2,0.1,3.0,Electricity-Performance boiler,2986.984303674417
Multi-family,Owner-occupied,D10,D10,0.1,0.5,0.1,1.6,Electricity-Heat pump,2576.8514878622755
Multi-family,Owner-occupied,D10,D10,0.1,0.5,0.1,1.6,Natural gas-Performance boiler,14440.333051751344
Multi-family,Owner-occupied,D10,D10,0.1,0.5,0.1,1.6,Oil fuel-Performance boiler,723.1192362276178
Multi-family,Owner-occupied,D10,D10,0.1,0.5,0.1,1.6,Wood fuel-Performance boiler,65.4976683905789
Multi-family,Owner-occupied,D10,D10,0.1,0.5,0.5,1.6,Electricity-Heat pump,72.24817255688612
Multi-family,Owner-occupied,D10,D10,0.1,0.5,0.5,1.6,Natural gas-Performance boiler,1540.3618383373744
Multi-family,Owner-occupied,D10,D10,0.1,0.5,0.5,1.6,Oil fuel-Performance boiler,56.89684749823889
Multi-family,Owner-occupied,D10,D10,0.1,0.5,0.5,1.6,Wood fuel-Performance boiler,3.4472457047673055
Multi-family,Owner-occupied,D10,D10,0.5,0.2,0.1,1.6,Electricity-Heat pump,1372.7152785808385
Multi-family,Owner-occupied,D10,D10,0.5,0.2,0.1,1.6,Electricity-Performance boiler,27972.34860112186
Multi-family,Owner-occupied,D10,D10,0.5,0.2,0.1,1.6,Natural gas-Performance boiler,9230.241799911279
Multi-family,Owner-occupied,D10,D10,0.5,0.2,0.1,1.6,Oil fuel-Performance boiler,353.2897274890649
Multi-family,Owner-occupied,D10,D10,0.5,0.2,0.1,1.6,Wood fuel-Performance boiler,30.259156741846393
Multi-family,Owner-occupied,D10,D10,0.5,0.5,0.1,1.6,Natural gas-Standard boiler,48133.02251169494
Multi-family,Owner-occupied,D10,D10,0.5,0.5,0.1,3.0,Electricity-Heat pump,6228.935004351791
Multi-family,Owner-occupied,D10,D10,0.5,0.5,0.1,3.0,Electricity-Performance boiler,48637.612348632014
Multi-family,Owner-occupied,D10,D10,0.5,0.5,0.1,3.0,Natural gas-Performance boiler,51494.95423738404
Multi-family,Owner-occupied,D10,D10,0.5,0.5,0.1,3.0,Oil fuel-Performance boiler,3194.9107272125702
Multi-family,Owner-occupied,D10,D10,0.5,0.5,0.1,3.0,Wood fuel-Performance boiler,241.21542461814263
Multi-family,Owner-occupied,D10,D10,0.5,0.5,0.1,3.0,Wood fuel-Standard boiler,227.61574192453813
Multi-family,Owner-occupied,D10,D10,0.5,0.5,0.5,1.6,Electricity-Performance boiler,43779.97785997072
Multi-family,Owner-occupied,D10,D10,0.5,0.5,2.5,1.6,Electricity-Heat pump,1027.3417107871876
