Housing type,Occupancy status,Income owner,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9
Multi-family,Privately rented,D1,0.14958058192246215,0.06849709877648867,0.1493015837860824,0.10320619560762757,0.10710814295735345,0.09335709584312421,0.09770071697185471,0.06884426285412135,0.09035520881941014,0.07204911246147548
Multi-family,Privately rented,D10,0.09068717431814516,0.10514295175780614,0.08999966077411614,0.08329447395118024,0.09395563293956086,0.09778949425675999,0.10266839238757007,0.11045987318688134,0.11374694391508737,0.11225540251289266
Multi-family,Privately rented,D2,0.1759120158024907,0.04759167566775604,0.16407372858070163,0.11075254403927003,0.11891039469188965,0.11931382321991879,0.08184321504910617,0.06741576852973077,0.05780311369534712,0.05638372072378915
Multi-family,Privately rented,D3,0.17228096310359928,0.03482793808917165,0.15145849248466692,0.123091345656953,0.11624395856431623,0.09039977772397229,0.08860038346732528,0.08408123210987939,0.0736405854429273,0.06537532335718879
Multi-family,Privately rented,D4,0.14719849103156143,0.03897549883576815,0.10770822422558325,0.11928278064894918,0.12676961059630207,0.13031055393983865,0.10676724870476312,0.09263501992594739,0.07954757788341571,0.050804994207871094
Multi-family,Privately rented,D5,0.1375437851202203,0.04524292525651271,0.12873517977059806,0.1010360970742544,0.11201058227957648,0.13779904748427357,0.11649079253044341,0.10470717640292145,0.06307814320181032,0.05335627087938918
Multi-family,Privately rented,D6,0.1278891650905105,0.04898136708866997,0.12465233622032336,0.10846381174216913,0.1084616422116358,0.1030985573992846,0.11737278444383989,0.11364798179892123,0.07762894103431099,0.06980341297033467
Multi-family,Privately rented,D7,0.1241382347952484,0.04891528684869697,0.10957034351986779,0.11074219906772861,0.10802573354103302,0.11173393459520657,0.10682253374479263,0.11509845668940842,0.0924775726784105,0.07247570451960693
Multi-family,Privately rented,D8,0.11543752519947609,0.0540271822067734,0.11676743243876925,0.0951058655915417,0.11268774453745535,0.11371710289682178,0.10881994689472915,0.1057213187624693,0.09963927270553102,0.07807660876643299
Multi-family,Privately rented,D9,0.10734711469929623,0.060871025030108515,0.10694188581901666,0.10085531567044309,0.10212453839786104,0.10895661522958419,0.1109053653526023,0.11382654915606653,0.10090157421838283,0.08727001642663867
Single-family,Privately rented,D1,0.14045288590647498,0.0625717273660911,0.17422893486899954,0.12225699472468651,0.10462430150503124,0.10389554607793576,0.08761587527702053,0.08934476738603402,0.056359779842397206,0.05864918704532907
Single-family,Privately rented,D10,0.061742805746866476,0.11579150071346114,0.0882856442764464,0.10136904793057608,0.10188438097496472,0.09931332758059433,0.1062228520483965,0.11325841452433763,0.10643216902337294,0.1056998571809839
Single-family,Privately rented,D2,0.11019839958270482,0.04161120479960724,0.1593901275933488,0.15162999890589918,0.131535516488432,0.09470663014813062,0.09697200710125257,0.0774437556958327,0.07004842508388491,0.06646393460090726
Single-family,Privately rented,D3,0.11453513036778833,0.03670523396118035,0.09992815903183382,0.14352408298086805,0.1530176196412328,0.11907021331706981,0.1043222196816923,0.08082542727090937,0.08031286576288409,0.06775904798454115
Single-family,Privately rented,D4,0.09246166320375408,0.03922888969453067,0.13137130353325716,0.09908778715067255,0.127649936641089,0.13781808177100735,0.1365442614539519,0.10112555917978486,0.07960892475610122,0.05510359261585127
Single-family,Privately rented,D5,0.0860314236725837,0.03632013039205827,0.12330166340515385,0.11214885883151239,0.10537831785547143,0.1485760380436572,0.1193356978995766,0.11920860762650086,0.0908608007208722,0.0588384615526135
Single-family,Privately rented,D6,0.08373542986156389,0.037849354922532774,0.11269989968655973,0.09950868341407175,0.1222519097180893,0.11946365773647684,0.11693163060936625,0.12166839900638816,0.10401820209445965,0.08187283295049168
Single-family,Privately rented,D7,0.0695604106136628,0.04215318902383464,0.11382778199417039,0.1200990426925313,0.11159002234822434,0.10843123141333985,0.11966326646358935,0.11762850627218938,0.11304718303666153,0.08399936614179639
Single-family,Privately rented,D8,0.0708991134293106,0.059149249689499736,0.10806363284613231,0.11099612776882872,0.11028665568990374,0.11425518223759876,0.11621497640999412,0.10941663326394964,0.11275041551624693,0.08796801314853545
Single-family,Privately rented,D9,0.05985222173389577,0.07520638815415101,0.1063193889051651,0.10180289042886585,0.11153743880077445,0.10780930640594139,0.11860629408183901,0.11309250215975448,0.10648634406357661,0.0992872252660363
