Housing type,Occupancy status,Income owner,Income tenant,Wall,Floor,Roof,Windows,Heating system,0
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Electricity-Heat pump,356.9128626363636
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Heating-District heating,20.49776166326547
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Natural gas-Performance boiler,1351.9810150517226
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Natural gas-Standard boiler,746.0579356236666
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Oil fuel-Performance boiler,47.83749719015598
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Wood fuel-Performance boiler,5.78615450108965
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Wood fuel-Standard boiler,1.3012617395158195
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,2.6,Heating-District heating,34.68851973783387
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,2.6,Wood fuel-Performance boiler,5.465299305966443
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.3,1.3,Oil fuel-Performance boiler,30.693913246248528
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.3,1.3,Oil fuel-Standard boiler,2.076352954893282
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.3,2.6,Natural gas-Performance boiler,1508.6698546903199
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.3,2.6,Oil fuel-Performance boiler,59.62744029160929
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.5,1.3,Electricity-Heat pump,20.99487427272718
Multi-family,Owner-occupied,D1,D1,0.2,0.9,0.2,1.3,Electricity-Heat pump,83.97949709090905
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.2,1.3,Wood fuel-Performance boiler,0.4833257889630183
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.3,1.3,Natural gas-Performance boiler,153.87680064048376
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.3,1.3,Oil fuel-Performance boiler,3.74646294035092
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.3,3.0,Heating-District heating,7.883754485871335
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.2,1.3,Electricity-Heat pump,356.9128626363636
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.2,1.3,Electricity-Performance boiler,4523.2053997561825
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.2,1.3,Heating-District heating,18.921010766091204
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,1.3,Electricity-Heat pump,335.9179883636363
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,1.3,Heating-District heating,21.647913029325373
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,1.3,Natural gas-Performance boiler,580.5181011938064
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,1.3,Oil fuel-Performance boiler,18.958005240329967
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,1.3,Wood fuel-Performance boiler,1.2269039258292014
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Electricity-Heat pump,544.6855197338934
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Electricity-Performance boiler,11372.21519574736
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Heating-District heating,217.65812059494388
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Natural gas-Standard boiler,4955.574514673697
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Wood fuel-Standard boiler,22.149020965018718
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,3.0,Wood fuel-Performance boiler,19.302560439393822
Multi-family,Owner-occupied,D1,D1,0.4,0.3,2.5,1.3,Electricity-Performance boiler,124.99847790989165
Multi-family,Owner-occupied,D1,D1,0.4,0.3,2.5,2.6,Electricity-Performance boiler,4388.47471193336
Multi-family,Owner-occupied,D1,D1,0.4,0.5,0.3,2.6,Natural gas-Performance boiler,4280.982680278045
Multi-family,Owner-occupied,D1,D1,0.4,0.5,0.3,4.3,Electricity-Performance boiler,871.7203938921541
Multi-family,Owner-occupied,D1,D1,0.4,0.5,2.5,2.6,Electricity-Heat pump,138.9197931064425
Multi-family,Owner-occupied,D1,D1,0.4,0.9,0.2,4.3,Electricity-Heat pump,78.95441478711481
Multi-family,Owner-occupied,D1,D1,0.4,0.9,0.3,2.6,Oil fuel-Performance boiler,400.5689962561577
Multi-family,Owner-occupied,D1,D1,0.4,0.9,0.3,2.6,Oil fuel-Standard boiler,118.30117257450412
Multi-family,Owner-occupied,D1,D1,0.4,0.9,2.5,2.6,Heating-District heating,5.759536494040691
Multi-family,Owner-occupied,D1,D1,0.4,0.9,2.5,2.6,Natural gas-Performance boiler,2644.1569788781376
Multi-family,Owner-occupied,D1,D1,0.4,0.9,2.5,2.6,Oil fuel-Performance boiler,134.77445761564294
Multi-family,Owner-occupied,D1,D1,0.4,0.9,2.5,2.6,Wood fuel-Performance boiler,8.450429685448906
Multi-family,Owner-occupied,D1,D1,0.4,2.0,0.2,2.6,Heating-District heating,16.04284686271105
Multi-family,Owner-occupied,D1,D1,0.4,2.0,0.3,2.6,Electricity-Heat pump,222.87132275350132
Multi-family,Owner-occupied,D1,D1,0.4,2.0,0.3,2.6,Electricity-Performance boiler,3610.946067342195
Multi-family,Owner-occupied,D1,D1,0.4,2.0,0.3,2.6,Natural gas-Performance boiler,4595.496226899641
Multi-family,Owner-occupied,D1,D1,0.4,2.0,0.3,2.6,Wood fuel-Performance boiler,16.945335316610706
Multi-family,Owner-occupied,D1,D1,0.4,2.0,2.5,2.6,Electricity-Performance boiler,3286.7352323527134
Multi-family,Owner-occupied,D1,D1,0.5,0.5,0.3,2.6,Heating-District heating,550.936341166215
Multi-family,Owner-occupied,D1,D1,0.5,0.5,2.5,3.0,Electricity-Heat pump,127.11911407591491
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.3,4.3,Oil fuel-Performance boiler,66.04638002540318
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.5,4.3,Electricity-Performance boiler,2570.8034405674553
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.5,4.3,Heating-District heating,218.81637153511497
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.5,4.3,Natural gas-Standard boiler,3524.756003649817
Multi-family,Owner-occupied,D1,D1,0.5,0.9,2.5,2.6,Heating-District heating,1252.5167230681473
Multi-family,Owner-occupied,D1,D1,0.5,0.9,2.5,2.6,Oil fuel-Standard boiler,388.283886918819
Multi-family,Owner-occupied,D1,D1,0.5,0.9,2.5,2.6,Wood fuel-Standard boiler,37.734029613398725
Multi-family,Owner-occupied,D1,D1,0.5,2.0,0.3,2.6,Heating-District heating,485.14715517499803
Multi-family,Owner-occupied,D1,D1,0.5,2.0,2.5,3.0,Electricity-Heat pump,301.7332817626109
Multi-family,Owner-occupied,D1,D1,1.0,0.5,0.5,2.6,Electricity-Performance boiler,3778.52890108886
Multi-family,Owner-occupied,D1,D1,1.0,0.5,2.5,2.6,Natural gas-Standard boiler,5793.060373879568
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.3,2.6,Electricity-Heat pump,84.95095261904756
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.3,2.6,Natural gas-Performance boiler,2844.174509270475
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.3,2.6,Oil fuel-Performance boiler,162.35763256824757
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.3,2.6,Wood fuel-Performance boiler,10.362895351103132
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.3,3.0,Heating-District heating,399.3157854001113
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.3,3.0,Wood fuel-Standard boiler,36.336472961050625
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.5,4.3,Oil fuel-Performance boiler,193.10988351189934
Multi-family,Owner-occupied,D1,D1,1.0,2.0,0.3,2.6,Electricity-Performance boiler,1725.4892040576058
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,2.6,Natural gas-Standard boiler,8815.50699835353
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Electricity-Performance boiler,1471.7492833478873
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Heating-District heating,180.4182749488758
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Oil fuel-Performance boiler,352.73515539346937
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Wood fuel-Performance boiler,29.149038748974668
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,4.3,Heating-District heating,9.9235700070908
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,4.3,Natural gas-Standard boiler,192.5098461502035
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,4.3,Oil fuel-Standard boiler,10.114364614945421
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,4.3,Wood fuel-Standard boiler,2.3982164895222597
Multi-family,Owner-occupied,D1,D1,2.5,0.3,0.5,3.0,Heating-District heating,153.81533510990826
Multi-family,Owner-occupied,D1,D1,2.5,0.3,2.5,3.0,Electricity-Performance boiler,386.0716230116569
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.2,3.0,Wood fuel-Performance boiler,37.53437866306328
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.3,2.6,Electricity-Performance boiler,3419.775251229421
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.3,3.0,Electricity-Heat pump,317.0993285190403
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.5,2.6,Natural gas-Performance boiler,5294.367983932704
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.5,2.6,Oil fuel-Performance boiler,573.137290850637
Multi-family,Owner-occupied,D1,D1,2.5,0.5,2.5,2.6,Electricity-Performance boiler,1812.5678081738652
Multi-family,Owner-occupied,D1,D1,2.5,0.5,2.5,2.6,Heating-District heating,599.5938512766163
Multi-family,Owner-occupied,D1,D1,2.5,0.5,2.5,3.0,Heating-District heating,118.2793363078418
Multi-family,Owner-occupied,D1,D1,2.5,0.5,2.5,3.0,Natural gas-Performance boiler,2827.7639042330657
Multi-family,Owner-occupied,D1,D1,2.5,0.5,2.5,4.3,Electricity-Performance boiler,633.6159675200796
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.2,2.6,Heating-District heating,1473.9487551135371
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.3,2.6,Wood fuel-Standard boiler,35.46835966082934
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.3,3.0,Natural gas-Standard boiler,4283.7114620446355
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.3,4.3,Electricity-Performance boiler,1327.598621412989
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.5,2.6,Heating-District heating,0.6178813097055108
Multi-family,Owner-occupied,D1,D1,2.5,0.9,2.5,2.6,Electricity-Performance boiler,608.0079318812769
Multi-family,Owner-occupied,D1,D1,2.5,0.9,2.5,4.3,Heating-District heating,574.0322672809461
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.3,2.6,Electricity-Heat pump,379.9604288862508
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.3,2.6,Electricity-Performance boiler,3540.202625835837
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.3,2.6,Heating-District heating,578.1120905354096
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.3,2.6,Natural gas-Performance boiler,6267.790210184378
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.3,2.6,Oil fuel-Performance boiler,559.1471448954994
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.3,2.6,Wood fuel-Performance boiler,40.12984101742403
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.3,3.0,Heating-District heating,211.38012700244346
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.3,3.0,Oil fuel-Standard boiler,274.1525145629949
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.5,4.3,Wood fuel-Performance boiler,21.583948405700415
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,2.6,Electricity-Performance boiler,6275.9198199361845
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,2.6,Heating-District heating,2921.031953054655
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,2.6,Natural gas-Standard boiler,4290.87547349488
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,2.6,Oil fuel-Performance boiler,585.7015614523012
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,2.6,Oil fuel-Standard boiler,248.33426804589726
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,2.6,Wood fuel-Performance boiler,30.04081707927894
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,2.6,Wood fuel-Standard boiler,26.759047146248474
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Electricity-Heat pump,96.6675651083968
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Heating-District heating,220.79943265777155
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Natural gas-Performance boiler,4858.669304077212
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Electricity-Performance boiler,1406.2469856508
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Heating-District heating,676.4143291697733
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Natural gas-Standard boiler,5988.21268
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Oil fuel-Performance boiler,209.73998201518438
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Oil fuel-Standard boiler,760.0452157384991
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Wood fuel-Standard boiler,66.53065631134626
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Electricity-Heat pump,1243.106435690909
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Heating-District heating,32.685007433647144
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Natural gas-Performance boiler,9454.359049227029
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Natural gas-Standard boiler,5126.465079601105
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Oil fuel-Performance boiler,76.27998495413436
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Wood fuel-Performance boiler,22.418045682184076
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Wood fuel-Standard boiler,12.812333871962142
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,2.6,Heating-District heating,55.31308950309516
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,2.6,Wood fuel-Performance boiler,53.811802262241
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.3,1.3,Oil fuel-Performance boiler,302.21488299064566
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.3,1.3,Oil fuel-Standard boiler,20.44394796701426
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.3,2.6,Natural gas-Performance boiler,10366.679258295733
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.3,2.6,Oil fuel-Performance boiler,587.0968535744751
Multi-family,Owner-occupied,D10,D10,0.2,0.5,0.5,1.3,Electricity-Heat pump,73.12390798181785
Multi-family,Owner-occupied,D10,D10,0.2,0.9,0.2,1.3,Electricity-Heat pump,292.4956319272726
Multi-family,Owner-occupied,D10,D10,0.2,2.0,0.2,1.3,Wood fuel-Performance boiler,4.758866866728792
Multi-family,Owner-occupied,D10,D10,0.2,2.0,0.3,1.3,Natural gas-Performance boiler,1057.3495802102116
Multi-family,Owner-occupied,D10,D10,0.2,2.0,0.3,1.3,Oil fuel-Performance boiler,36.88799307091701
Multi-family,Owner-occupied,D10,D10,0.2,2.0,0.3,3.0,Heating-District heating,12.5711567052489
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.2,1.3,Electricity-Heat pump,1243.106435690909
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.2,1.3,Electricity-Performance boiler,26146.065265415433
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.2,1.3,Heating-District heating,30.17077609259736
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,1.3,Electricity-Heat pump,1169.9825277090908
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,1.3,Heating-District heating,213.14719471127913
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,1.3,Natural gas-Performance boiler,3988.9740886659147
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,1.3,Oil fuel-Performance boiler,186.66213361186934
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,1.3,Wood fuel-Performance boiler,12.08020050785002
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,2.6,Electricity-Heat pump,5068.24939821195
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,2.6,Electricity-Performance boiler,65806.29698287595
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,2.6,Heating-District heating,1986.9532792218342
