Housing type,Occupancy status,Income tenant,Heating energy,Energy performance,NB_LOG
Multi-family,Privately rented,D6,Electricity,A,4405.860048
Single-family,Privately rented,D6,Electricity,A,5204.54693
Multi-family,Social-housing,D6,Electricity,A,1681.453802
Single-family,Social-housing,D6,Electricity,A,649.2094067
Multi-family,Owner-occupied,D6,Electricity,A,3134.824096
Single-family,Owner-occupied,D6,Electricity,A,20426.81857
Multi-family,Privately rented,D7,Electricity,A,4563.049095
Single-family,Privately rented,D7,Electricity,A,4870.534437
Multi-family,Social-housing,D7,Electricity,A,1322.29223
Single-family,Social-housing,D7,Electricity,A,441.3486941
Multi-family,Owner-occupied,D7,Electricity,A,3149.67253
Single-family,Owner-occupied,D7,Electricity,A,23154.97653
Multi-family,Privately rented,D8,Electricity,A,4140.739926
Single-family,Privately rented,D8,Electricity,A,3756.550047
Multi-family,Social-housing,D8,Electricity,A,755.7021347
Single-family,Social-housing,D8,Electricity,A,183.7524789
Multi-family,Owner-occupied,D8,Electricity,A,3916.483761
Single-family,Owner-occupied,D8,Electricity,A,22809.40199
Multi-family,Privately rented,D9,Electricity,A,4007.599978
Single-family,Privately rented,D9,Electricity,A,3842.895081
Multi-family,Social-housing,D9,Electricity,A,527.6498837
Single-family,Social-housing,D9,Electricity,A,108.6083061
Multi-family,Owner-occupied,D9,Electricity,A,4109.458955
Single-family,Owner-occupied,D9,Electricity,A,22043.8784
Multi-family,Privately rented,D10,Electricity,A,2790.019206
Single-family,Privately rented,D10,Electricity,A,2776.201553
Multi-family,Social-housing,D10,Electricity,A,183.4684312
Single-family,Social-housing,D10,Electricity,A,122.3109958
Multi-family,Owner-occupied,D10,Electricity,A,4021.814939
Single-family,Owner-occupied,D10,Electricity,A,19442.84643
Multi-family,Privately rented,D1,Natural gas,A,2995.650905
Single-family,Privately rented,D1,Natural gas,A,463.0257062
Multi-family,Social-housing,D1,Natural gas,A,12091.72147
Single-family,Social-housing,D1,Natural gas,A,1885.877057
Multi-family,Owner-occupied,D1,Natural gas,A,672.1390132
Single-family,Owner-occupied,D1,Natural gas,A,829.8388345
Multi-family,Privately rented,D2,Natural gas,A,2890.716766
Single-family,Privately rented,D2,Natural gas,A,633.4056041
Multi-family,Social-housing,D2,Natural gas,A,12596.90915
Single-family,Social-housing,D2,Natural gas,A,2802.646985
Multi-family,Owner-occupied,D2,Natural gas,A,1251.38863
Single-family,Owner-occupied,D2,Natural gas,A,1371.133799
Multi-family,Privately rented,D3,Natural gas,A,2726.984982
Single-family,Privately rented,D3,Natural gas,A,625.0822964
Multi-family,Social-housing,D3,Natural gas,A,9474.842425
Single-family,Social-housing,D3,Natural gas,A,2148.83539
Multi-family,Owner-occupied,D3,Natural gas,A,1397.473977
Single-family,Owner-occupied,D3,Natural gas,A,2144.437521
Multi-family,Privately rented,D4,Natural gas,A,3398.44491
Single-family,Privately rented,D4,Natural gas,A,659.0284874
Multi-family,Social-housing,D4,Natural gas,A,7997.535417
Single-family,Social-housing,D4,Natural gas,A,1551.846175
Multi-family,Owner-occupied,D4,Natural gas,A,1736.607641
Single-family,Owner-occupied,D4,Natural gas,A,2595.819964
Multi-family,Privately rented,D5,Natural gas,A,3344.74399
Single-family,Privately rented,D5,Natural gas,A,779.617489
Multi-family,Social-housing,D5,Natural gas,A,6264.443847
Single-family,Social-housing,D5,Natural gas,A,1303.392165
Multi-family,Owner-occupied,D5,Natural gas,A,2176.867864
Single-family,Owner-occupied,D5,Natural gas,A,3423.624733
Multi-family,Privately rented,D6,Natural gas,A,3623.637415
Single-family,Privately rented,D6,Natural gas,A,857.120762
Multi-family,Social-housing,D6,Natural gas,A,4797.281152
Single-family,Social-housing,D6,Natural gas,A,851.9418467
Multi-family,Owner-occupied,D6,Natural gas,A,2951.500523
Single-family,Owner-occupied,D6,Natural gas,A,3790.562732
Multi-family,Privately rented,D7,Natural gas,A,3843.664036
Single-family,Privately rented,D7,Natural gas,A,879.001935
Multi-family,Social-housing,D7,Natural gas,A,3922.887443
Single-family,Social-housing,D7,Natural gas,A,621.5954535
Multi-family,Owner-occupied,D7,Natural gas,A,3171.057168
Single-family,Owner-occupied,D7,Natural gas,A,4241.338567
Multi-family,Privately rented,D8,Natural gas,A,3523.043417
Single-family,Privately rented,D8,Natural gas,A,708.5641952
Multi-family,Social-housing,D8,Natural gas,A,2271.410205
Single-family,Social-housing,D8,Natural gas,A,311.7348546
Multi-family,Owner-occupied,D8,Natural gas,A,3969.674961
Single-family,Owner-occupied,D8,Natural gas,A,4368.688989
Multi-family,Privately rented,D9,Natural gas,A,3112.733751
Single-family,Privately rented,D9,Natural gas,A,711.0747899
Multi-family,Social-housing,D9,Natural gas,A,1518.006036
Single-family,Social-housing,D9,Natural gas,A,196.107609
Multi-family,Owner-occupied,D9,Natural gas,A,4353.644326
Single-family,Owner-occupied,D9,Natural gas,A,4550.627304
Multi-family,Privately rented,D10,Natural gas,A,2395.279854
Single-family,Privately rented,D10,Natural gas,A,535.4610517
Multi-family,Social-housing,D10,Natural gas,A,477.9737481
Single-family,Social-housing,D10,Natural gas,A,149.659449
Multi-family,Owner-occupied,D10,Natural gas,A,4782.890366
Single-family,Owner-occupied,D10,Natural gas,A,4262.337933
Multi-family,Privately rented,D1,Others,B,1797.123441
Single-family,Privately rented,D1,Others,B,834.9440757
Multi-family,Social-housing,D1,Others,B,6812.085283
Single-family,Social-housing,D1,Others,B,421.3556361
Multi-family,Owner-occupied,D1,Others,B,373.8945261
Single-family,Owner-occupied,D1,Others,B,4480.124436
Multi-family,Privately rented,D2,Others,B,1714.746927
Single-family,Privately rented,D2,Others,B,1073.536772
Multi-family,Social-housing,D2,Others,B,7383.485697
Single-family,Social-housing,D2,Others,B,583.8828542
Multi-family,Owner-occupied,D2,Others,B,646.7923101
Single-family,Owner-occupied,D2,Others,B,7180.964813
Multi-family,Privately rented,D3,Others,B,1505.459721
Single-family,Privately rented,D3,Others,B,1083.321095
Multi-family,Social-housing,D3,Others,B,5352.021019
Single-family,Social-housing,D3,Others,B,511.9133786
Multi-family,Owner-occupied,D3,Others,B,836.7133151
Single-family,Owner-occupied,D3,Others,B,10126.89622
Multi-family,Privately rented,D4,Others,B,1584.786498
Single-family,Privately rented,D4,Others,B,1123.600364
Multi-family,Social-housing,D4,Others,B,4647.737609
Single-family,Social-housing,D4,Others,B,410.0793344
Multi-family,Owner-occupied,D4,Others,B,965.0775005
Single-family,Owner-occupied,D4,Others,B,12843.32602
Multi-family,Privately rented,D5,Others,B,1662.147354
Single-family,Privately rented,D5,Others,B,1198.371581
Multi-family,Social-housing,D5,Others,B,3732.077268
Single-family,Social-housing,D5,Others,B,329.8029789
Multi-family,Owner-occupied,D5,Others,B,1143.877961
Single-family,Owner-occupied,D5,Others,B,16319.24507
Multi-family,Privately rented,D6,Others,B,1761.043275
Single-family,Privately rented,D6,Others,B,1279.816374
Multi-family,Social-housing,D6,Others,B,2921.777383
Single-family,Social-housing,D6,Others,B,177.9255635
Multi-family,Owner-occupied,D6,Others,B,1586.712708
Single-family,Owner-occupied,D6,Others,B,18148.26928
Multi-family,Privately rented,D7,Others,B,1867.960607
Single-family,Privately rented,D7,Others,B,1289.84772
Multi-family,Social-housing,D7,Others,B,2378.998606
Single-family,Social-housing,D7,Others,B,155.2499302
Multi-family,Owner-occupied,D7,Others,B,1778.561031
Single-family,Owner-occupied,D7,Others,B,19977.73563
Multi-family,Privately rented,D8,Others,B,1887.057839
Single-family,Privately rented,D8,Others,B,997.9854064
Multi-family,Social-housing,D8,Others,B,1776.169814
Single-family,Social-housing,D8,Others,B,79.06787214
Multi-family,Owner-occupied,D8,Others,B,2344.737967
Single-family,Owner-occupied,D8,Others,B,20091.45809
Multi-family,Privately rented,D9,Others,B,1855.756814
Single-family,Privately rented,D9,Others,B,1019.606995
Multi-family,Social-housing,D9,Others,B,1286.027111
Single-family,Social-housing,D9,Others,B,57.39526791
Multi-family,Owner-occupied,D9,Others,B,2751.918027
Single-family,Owner-occupied,D9,Others,B,20313.18649
Multi-family,Privately rented,D10,Others,B,1728.164979
