Housing type,Occupancy status,Income tenant,Heating energy,Energy performance,NB_LOG
Multi-family,Social-housing,D4,Natural gas,C,89863.21122
Single-family,Social-housing,D4,Natural gas,C,23633.12587
Multi-family,Owner-occupied,D4,Natural gas,C,35817.73633
Single-family,Owner-occupied,D4,Natural gas,C,85739.93836
Multi-family,Privately rented,D5,Natural gas,C,42407.83384
Single-family,Privately rented,D5,Natural gas,C,16337.58227
Multi-family,Social-housing,D5,Natural gas,C,74160.81962
Single-family,Social-housing,D5,Natural gas,C,20134.13394
Multi-family,Owner-occupied,D5,Natural gas,C,42118.55369
Single-family,Owner-occupied,D5,Natural gas,C,98051.89851
Multi-family,Privately rented,D6,Natural gas,C,42825.71895
Single-family,Privately rented,D6,Natural gas,C,15975.72405
Multi-family,Social-housing,D6,Natural gas,C,55266.20175
Single-family,Social-housing,D6,Natural gas,C,15656.37819
Multi-family,Owner-occupied,D6,Natural gas,C,49661.49829
Single-family,Owner-occupied,D6,Natural gas,C,113176.0763
Multi-family,Privately rented,D7,Natural gas,C,43701.1308
Single-family,Privately rented,D7,Natural gas,C,16438.83515
Multi-family,Social-housing,D7,Natural gas,C,43085.53052
Single-family,Social-housing,D7,Natural gas,C,10995.08625
Multi-family,Owner-occupied,D7,Natural gas,C,57206.28971
Single-family,Owner-occupied,D7,Natural gas,C,125562.9249
Multi-family,Privately rented,D8,Natural gas,C,42403.3612
Single-family,Privately rented,D8,Natural gas,C,15465.33947
Multi-family,Social-housing,D8,Natural gas,C,31395.74601
Single-family,Social-housing,D8,Natural gas,C,7788.373496
Multi-family,Owner-occupied,D8,Natural gas,C,67996.04548
Single-family,Owner-occupied,D8,Natural gas,C,141049.5217
Multi-family,Privately rented,D9,Natural gas,C,40096.30363
Single-family,Privately rented,D9,Natural gas,C,14624.23225
Multi-family,Social-housing,D9,Natural gas,C,19994.52981
Single-family,Social-housing,D9,Natural gas,C,3880.826083
Multi-family,Owner-occupied,D9,Natural gas,C,82934.36002
Single-family,Owner-occupied,D9,Natural gas,C,158867.4412
Multi-family,Privately rented,D10,Natural gas,C,46133.44785
Single-family,Privately rented,D10,Natural gas,C,12972.91459
Multi-family,Social-housing,D10,Natural gas,C,9194.183554
Single-family,Social-housing,D10,Natural gas,C,1336.748517
Multi-family,Owner-occupied,D10,Natural gas,C,117279.6952
Single-family,Owner-occupied,D10,Natural gas,C,163172.7257
Multi-family,Privately rented,D1,Others,D,25288.1398
Single-family,Privately rented,D1,Others,D,12070.45001
Multi-family,Social-housing,D1,Others,D,67729.14503
Single-family,Social-housing,D1,Others,D,1695.542247
Multi-family,Owner-occupied,D1,Others,D,6712.476517
Single-family,Owner-occupied,D1,Others,D,43928.93412
Multi-family,Privately rented,D2,Others,D,19602.99334
Single-family,Privately rented,D2,Others,D,14139.17908
Multi-family,Social-housing,D2,Others,D,69020.46293
Single-family,Social-housing,D2,Others,D,2348.885401
Multi-family,Owner-occupied,D2,Others,D,9095.231234
Single-family,Owner-occupied,D2,Others,D,66193.85762
Multi-family,Privately rented,D3,Others,D,15973.70467
Single-family,Privately rented,D3,Others,D,14161.14286
Multi-family,Social-housing,D3,Others,D,46860.35635
Single-family,Social-housing,D3,Others,D,1891.306038
Multi-family,Owner-occupied,D3,Others,D,11052.82672
Single-family,Owner-occupied,D3,Others,D,102410.513
Multi-family,Privately rented,D4,Others,D,15436.53176
Single-family,Privately rented,D4,Others,D,13852.31162
Multi-family,Social-housing,D4,Others,D,39972.64972
Single-family,Social-housing,D4,Others,D,1575.047702
Multi-family,Owner-occupied,D4,Others,D,13151.44424
Single-family,Owner-occupied,D4,Others,D,121108.425
Multi-family,Privately rented,D5,Others,D,15186.17386
Single-family,Privately rented,D5,Others,D,12827.42588
Multi-family,Social-housing,D5,Others,D,32958.01908
Single-family,Social-housing,D5,Others,D,1333.946282
Multi-family,Owner-occupied,D5,Others,D,15111.02159
Single-family,Owner-occupied,D5,Others,D,132062.3134
Multi-family,Privately rented,D6,Others,D,14769.00025
Single-family,Privately rented,D6,Others,D,12178.61525
Multi-family,Social-housing,D6,Others,D,26500.03218
Single-family,Social-housing,D6,Others,D,961.1608219
Multi-family,Owner-occupied,D6,Others,D,17478.07664
Single-family,Owner-occupied,D6,Others,D,143813.4379
Multi-family,Privately rented,D7,Others,D,14954.45609
Single-family,Privately rented,D7,Others,D,11874.91821
Multi-family,Social-housing,D7,Others,D,22846.32473
Single-family,Social-housing,D7,Others,D,736.8386059
Multi-family,Owner-occupied,D7,Others,D,19985.20052
Single-family,Owner-occupied,D7,Others,D,152732.9659
Multi-family,Privately rented,D8,Others,D,15133.15213
Single-family,Privately rented,D8,Others,D,10867.42711
Multi-family,Social-housing,D8,Others,D,18137.17529
Single-family,Social-housing,D8,Others,D,495.0712434
Multi-family,Owner-occupied,D8,Others,D,23932.88713
Single-family,Owner-occupied,D8,Others,D,163488.1869
Multi-family,Privately rented,D9,Others,D,15841.80211
Single-family,Privately rented,D9,Others,D,9594.121667
Multi-family,Social-housing,D9,Others,D,13981.51042
Single-family,Social-housing,D9,Others,D,263.9160631
Multi-family,Owner-occupied,D9,Others,D,30110.88797
Single-family,Owner-occupied,D9,Others,D,168399.3566
Multi-family,Privately rented,D10,Others,D,21159.8678
Single-family,Privately rented,D10,Others,D,7698.753478
Multi-family,Social-housing,D10,Others,D,7689.818193
Single-family,Social-housing,D10,Others,D,88.57191846
Multi-family,Owner-occupied,D10,Others,D,45718.75267
Single-family,Owner-occupied,D10,Others,D,152573.097
Multi-family,Privately rented,D1,Electricity,D,126958.6252
Single-family,Privately rented,D1,Electricity,D,27112.11779
Multi-family,Social-housing,D1,Electricity,D,54018.93396
Single-family,Social-housing,D1,Electricity,D,9674.54925
Multi-family,Owner-occupied,D1,Electricity,D,16076.5477
Single-family,Owner-occupied,D1,Electricity,D,33164.5537
Multi-family,Privately rented,D2,Electricity,D,92382.96801
Single-family,Privately rented,D2,Electricity,D,34008.01574
Multi-family,Social-housing,D2,Electricity,D,52805.02856
Single-family,Social-housing,D2,Electricity,D,12319.58356
Multi-family,Owner-occupied,D2,Electricity,D,21122.65013
Single-family,Owner-occupied,D2,Electricity,D,60152.91877
Multi-family,Privately rented,D3,Electricity,D,78744.55763
Single-family,Privately rented,D3,Electricity,D,33357.63638
Multi-family,Social-housing,D3,Electricity,D,37083.18312
Single-family,Social-housing,D3,Electricity,D,10380.81111
Multi-family,Owner-occupied,D3,Electricity,D,24489.01524
Single-family,Owner-occupied,D3,Electricity,D,92772.0709
Multi-family,Privately rented,D4,Electricity,D,79187.32918
Single-family,Privately rented,D4,Electricity,D,33034.26299
Multi-family,Social-housing,D4,Electricity,D,31471.11806
Single-family,Social-housing,D4,Electricity,D,9028.321313
Multi-family,Owner-occupied,D4,Electricity,D,30678.65905
Single-family,Owner-occupied,D4,Electricity,D,115405.2609
Multi-family,Privately rented,D5,Electricity,D,79696.89472
Single-family,Privately rented,D5,Electricity,D,33491.8544
Multi-family,Social-housing,D5,Electricity,D,26634.71638
Single-family,Social-housing,D5,Electricity,D,7091.372298
Multi-family,Owner-occupied,D5,Electricity,D,36201.45772
Single-family,Owner-occupied,D5,Electricity,D,134343.4845
Multi-family,Privately rented,D6,Electricity,D,77666.57817
Single-family,Privately rented,D6,Electricity,D,32275.14421
Multi-family,Social-housing,D6,Electricity,D,20232.69732
Single-family,Social-housing,D6,Electricity,D,5141.495315
Multi-family,Owner-occupied,D6,Electricity,D,41886.7762
Single-family,Owner-occupied,D6,Electricity,D,152654.8973
Multi-family,Privately rented,D7,Electricity,D,75929.25245
Single-family,Privately rented,D7,Electricity,D,32181.96521
Multi-family,Social-housing,D7,Electricity,D,16400.69447
Single-family,Social-housing,D7,Electricity,D,3911.891379
Multi-family,Owner-occupied,D7,Electricity,D,48839.89931
Single-family,Owner-occupied,D7,Electricity,D,167072.2112
Multi-family,Privately rented,D8,Electricity,D,69868.78939
Single-family,Privately rented,D8,Electricity,D,28793.54883
Multi-family,Social-housing,D8,Electricity,D,12694.27556
Single-family,Social-housing,D8,Electricity,D,2500.045422
Multi-family,Owner-occupied,D8,Electricity,D,59142.99965
Single-family,Owner-occupied,D8,Electricity,D,182832.1393
Multi-family,Privately rented,D9,Electricity,D,63694.21769
Single-family,Privately rented,D9,Electricity,D,25769.86127
Multi-family,Social-housing,D9,Electricity,D,8976.601727
Single-family,Social-housing,D9,Electricity,D,1452.467378
Multi-family,Owner-occupied,D9,Electricity,D,69578.82487
Single-family,Owner-occupied,D9,Electricity,D,195546.9605
Multi-family,Privately rented,D10,Electricity,D,57394.32578
Single-family,Privately rented,D10,Electricity,D,20792.23395
Multi-family,Social-housing,D10,Electricity,D,5189.296297
Single-family,Social-housing,D10,Electricity,D,380.8951629
Multi-family,Owner-occupied,D10,Electricity,D,93028.31983
Single-family,Owner-occupied,D10,Electricity,D,182487.6733
Multi-family,Privately rented,D1,Natural gas,D,116277.676
Single-family,Privately rented,D1,Natural gas,D,25750.63825
Multi-family,Social-housing,D1,Natural gas,D,211806.9728
Single-family,Social-housing,D1,Natural gas,D,29581.42104
Multi-family,Owner-occupied,D1,Natural gas,D,29695.48157
Single-family,Owner-occupied,D1,Natural gas,D,56234.62906
Multi-family,Privately rented,D2,Natural gas,D,78141.86447
Single-family,Privately rented,D2,Natural gas,D,26847.41294
Multi-family,Social-housing,D2,Natural gas,D,194134.7871
Single-family,Social-housing,D2,Natural gas,D,36573.77656
Multi-family,Owner-occupied,D2,Natural gas,D,36535.78419
Single-family,Owner-occupied,D2,Natural gas,D,74826.25841
Multi-family,Privately rented,D3,Natural gas,D,64630.5914
Single-family,Privately rented,D3,Natural gas,D,25034.21151
Multi-family,Social-housing,D3,Natural gas,D,129276.033
Single-family,Social-housing,D3,Natural gas,D,30143.30518
Multi-family,Owner-occupied,D3,Natural gas,D,46755.51975
Single-family,Owner-occupied,D3,Natural gas,D,112833.2199
Multi-family,Privately rented,D4,Natural gas,D,62372.50444
Single-family,Privately rented,D4,Natural gas,D,23972.8055
Multi-family,Social-housing,D4,Natural gas,D,110603.6071
Single-family,Social-housing,D4,Natural gas,D,26006.0899
Multi-family,Owner-occupied,D4,Natural gas,D,56768.52853
Single-family,Owner-occupied,D4,Natural gas,D,138457.552
Multi-family,Privately rented,D5,Natural gas,D,61005.249
Single-family,Privately rented,D5,Natural gas,D,21568.79825
Multi-family,Social-housing,D5,Natural gas,D,87152.68539
Single-family,Social-housing,D5,Natural gas,D,20506.16122
Multi-family,Owner-occupied,D5,Natural gas,D,65174.86673
Single-family,Owner-occupied,D5,Natural gas,D,157657.3624
Multi-family,Privately rented,D6,Natural gas,D,58514.68662
Single-family,Privately rented,D6,Natural gas,D,21016.632
Multi-family,Social-housing,D6,Natural gas,D,66617.94252
Single-family,Social-housing,D6,Natural gas,D,16179.51222
Multi-family,Owner-occupied,D6,Natural gas,D,74833.85458
Single-family,Owner-occupied,D6,Natural gas,D,174351.7438
Multi-family,Privately rented,D7,Natural gas,D,59302.41354
Single-family,Privately rented,D7,Natural gas,D,20729.76873
Multi-family,Social-housing,D7,Natural gas,D,53015.21377
Single-family,Social-housing,D7,Natural gas,D,11823.65845
Multi-family,Owner-occupied,D7,Natural gas,D,84507.11869
Single-family,Owner-occupied,D7,Natural gas,D,187885.6242
Multi-family,Privately rented,D8,Natural gas,D,58604.86285
Single-family,Privately rented,D8,Natural gas,D,19346.13055
Multi-family,Social-housing,D8,Natural gas,D,38456.77262
Single-family,Social-housing,D8,Natural gas,D,8546.10632
Multi-family,Owner-occupied,D8,Natural gas,D,101520.3651
Single-family,Owner-occupied,D8,Natural gas,D,207704.315
Multi-family,Privately rented,D9,Natural gas,D,60918.76973
Single-family,Privately rented,D9,Natural gas,D,18866.83001
Multi-family,Social-housing,D9,Natural gas,D,27493.28482
Single-family,Social-housing,D9,Natural gas,D,4640.765187
Multi-family,Owner-occupied,D9,Natural gas,D,125436.3718
Single-family,Owner-occupied,D9,Natural gas,D,231365.9859
Multi-family,Privately rented,D10,Natural gas,D,84832.65807
Single-family,Privately rented,D10,Natural gas,D,15811.00136
Multi-family,Social-housing,D10,Natural gas,D,13107.49567
Single-family,Social-housing,D10,Natural gas,D,1599.836622
Multi-family,Owner-occupied,D10,Natural gas,D,187326.8782
Single-family,Owner-occupied,D10,Natural gas,D,231734.2862
Multi-family,Privately rented,D1,Others,E,20613.86236
Single-family,Privately rented,D1,Others,E,14668.42105
Multi-family,Social-housing,D1,Others,E,19003.97184
Single-family,Social-housing,D1,Others,E,2022.743887
Multi-family,Owner-occupied,D1,Others,E,4313.9749
Single-family,Owner-occupied,D1,Others,E,51223.9654
Multi-family,Privately rented,D2,Others,E,14341.29147
Single-family,Privately rented,D2,Others,E,15846.83924
Multi-family,Social-housing,D2,Others,E,18668.03388
Single-family,Social-housing,D2,Others,E,2722.871744
Multi-family,Owner-occupied,D2,Others,E,5322.995462
Single-family,Owner-occupied,D2,Others,E,69432.13442
Multi-family,Privately rented,D3,Others,E,12057.20143
Single-family,Privately rented,D3,Others,E,16654.71709
Multi-family,Social-housing,D3,Others,E,12900.79135
Single-family,Social-housing,D3,Others,E,2244.902059
Multi-family,Owner-occupied,D3,Others,E,6491.94815
Single-family,Owner-occupied,D3,Others,E,105936.7776
Multi-family,Privately rented,D4,Others,E,11557.95055
Single-family,Privately rented,D4,Others,E,15705.72385
Multi-family,Social-housing,D4,Others,E,11292.56875
Single-family,Social-housing,D4,Others,E,1875.700448
Multi-family,Owner-occupied,D4,Others,E,7618.401178
Single-family,Owner-occupied,D4,Others,E,121004.6762
Multi-family,Privately rented,D5,Others,E,11284.77142
Single-family,Privately rented,D5,Others,E,13997.34077
Multi-family,Social-housing,D5,Others,E,9164.505321
Single-family,Social-housing,D5,Others,E,1540.768533
Multi-family,Owner-occupied,D5,Others,E,8678.645508
Single-family,Owner-occupied,D5,Others,E,126381.9617
Multi-family,Privately rented,D6,Others,E,10595.26917
Single-family,Privately rented,D6,Others,E,12806.24593
Multi-family,Social-housing,D6,Others,E,7362.416775
Single-family,Social-housing,D6,Others,E,1161.520411
Multi-family,Owner-occupied,D6,Others,E,9767.807685
Single-family,Owner-occupied,D6,Others,E,130904.5936
Multi-family,Privately rented,D7,Others,E,10457.44988
Single-family,Privately rented,D7,Others,E,12186.92565
Multi-family,Social-housing,D7,Others,E,6327.592493
Single-family,Social-housing,D7,Others,E,886.4489799
Multi-family,Owner-occupied,D7,Others,E,10913.95093
Single-family,Owner-occupied,D7,Others,E,134246.1698
Multi-family,Privately rented,D8,Others,E,10579.76209
Single-family,Privately rented,D8,Others,E,11271.93279
Multi-family,Social-housing,D8,Others,E,5160.037471
Single-family,Social-housing,D8,Others,E,605.7525126
Multi-family,Owner-occupied,D8,Others,E,12803.89533
Single-family,Owner-occupied,D8,Others,E,138327.3307
Multi-family,Privately rented,D9,Others,E,10938.58158
Single-family,Privately rented,D9,Others,E,9830.463563
Multi-family,Social-housing,D9,Others,E,4275.369896
Single-family,Social-housing,D9,Others,E,327.3547116
Multi-family,Owner-occupied,D9,Others,E,15757.84467
Single-family,Owner-occupied,D9,Others,E,136108.3499
Multi-family,Privately rented,D10,Others,E,14657.2231
Single-family,Privately rented,D10,Others,E,7223.856941
Multi-family,Social-housing,D10,Others,E,3069.291046
Single-family,Social-housing,D10,Others,E,116.3575873
Multi-family,Owner-occupied,D10,Others,E,23286.35038
Single-family,Owner-occupied,D10,Others,E,114213.2992
Multi-family,Privately rented,D1,Electricity,E,163281.5662
Single-family,Privately rented,D1,Electricity,E,29640.51845
Multi-family,Social-housing,D1,Electricity,E,49512.21741
Single-family,Social-housing,D1,Electricity,E,14742.75957
Multi-family,Owner-occupied,D1,Electricity,E,15750.03149
Single-family,Owner-occupied,D1,Electricity,E,33268.16401
Multi-family,Privately rented,D2,Electricity,E,92388.56134
Single-family,Privately rented,D2,Electricity,E,33325.21729
Multi-family,Social-housing,D2,Electricity,E,45518.45262
Single-family,Social-housing,D2,Electricity,E,20176.47262
Multi-family,Owner-occupied,D2,Electricity,E,17257.29453
Single-family,Owner-occupied,D2,Electricity,E,54559.98827
Multi-family,Privately rented,D3,Electricity,E,74558.83816
Single-family,Privately rented,D3,Electricity,E,31501.92611
Multi-family,Social-housing,D3,Electricity,E,31212.94018
Single-family,Social-housing,D3,Electricity,E,17012.43955
Multi-family,Owner-occupied,D3,Electricity,E,20299.21098
Single-family,Owner-occupied,D3,Electricity,E,87689.98188
Multi-family,Privately rented,D4,Electricity,E,75017.39391
Single-family,Privately rented,D4,Electricity,E,31052.66227
Multi-family,Social-housing,D4,Electricity,E,27397.57739
Single-family,Social-housing,D4,Electricity,E,15564.54426
Multi-family,Owner-occupied,D4,Electricity,E,25322.6106
Single-family,Owner-occupied,D4,Electricity,E,108714.3734
Multi-family,Privately rented,D5,Electricity,E,72391.26788
Single-family,Privately rented,D5,Electricity,E,29963.9476
Multi-family,Social-housing,D5,Electricity,E,22213.06972
Single-family,Social-housing,D5,Electricity,E,12156.03645
Multi-family,Owner-occupied,D5,Electricity,E,30021.25859
Single-family,Owner-occupied,D5,Electricity,E,124529.6724
Multi-family,Privately rented,D6,Electricity,E,67018.99157
Single-family,Privately rented,D6,Electricity,E,28283.71543
Multi-family,Social-housing,D6,Electricity,E,17314.58046
Single-family,Social-housing,D6,Electricity,E,9309.082707
Multi-family,Owner-occupied,D6,Electricity,E,34082.12754
Single-family,Owner-occupied,D6,Electricity,E,140328.0925
Multi-family,Privately rented,D7,Electricity,E,65122.90715
Single-family,Privately rented,D7,Electricity,E,27356.71391
Multi-family,Social-housing,D7,Electricity,E,13932.89315
Single-family,Social-housing,D7,Electricity,E,6951.950174
Multi-family,Owner-occupied,D7,Electricity,E,38790.82174
Single-family,Owner-occupied,D7,Electricity,E,151543.5926
Multi-family,Privately rented,D8,Electricity,E,59333.688
Single-family,Privately rented,D8,Electricity,E,23950.22359
Multi-family,Social-housing,D8,Electricity,E,10609.43257
Single-family,Social-housing,D8,Electricity,E,4476.729432
Multi-family,Owner-occupied,D8,Electricity,E,45088.26683
Single-family,Owner-occupied,D8,Electricity,E,164671.6219
Multi-family,Privately rented,D9,Electricity,E,55378.98698
Single-family,Privately rented,D9,Electricity,E,20617.85006
Multi-family,Social-housing,D9,Electricity,E,7655.695407
Single-family,Social-housing,D9,Electricity,E,2507.201339
Multi-family,Owner-occupied,D9,Electricity,E,52587.56519
Single-family,Owner-occupied,D9,Electricity,E,173461.4901
Multi-family,Privately rented,D10,Electricity,E,53866.25845
Single-family,Privately rented,D10,Electricity,E,15594.3282
Multi-family,Social-housing,D10,Electricity,E,4518.100438
Single-family,Social-housing,D10,Electricity,E,766.0880084
Multi-family,Owner-occupied,D10,Electricity,E,66784.65787
Single-family,Owner-occupied,D10,Electricity,E,153581.0582
Multi-family,Privately rented,D1,Natural gas,E,80743.75331
Single-family,Privately rented,D1,Natural gas,E,18905.07473
Multi-family,Social-housing,D1,Natural gas,E,71325.78377
Single-family,Social-housing,D1,Natural gas,E,12907.81865
Multi-family,Owner-occupied,D1,Natural gas,E,16453.52999
Single-family,Owner-occupied,D1,Natural gas,E,41878.1484
Multi-family,Privately rented,D2,Natural gas,E,48951.20265
Single-family,Privately rented,D2,Natural gas,E,20647.69718
Multi-family,Social-housing,D2,Natural gas,E,63325.27619
Single-family,Social-housing,D2,Natural gas,E,14220.55566
Multi-family,Owner-occupied,D2,Natural gas,E,18781.46586
Single-family,Owner-occupied,D2,Natural gas,E,57057.35102
Multi-family,Privately rented,D3,Natural gas,E,39447.21874
Single-family,Privately rented,D3,Natural gas,E,19004.10056
Multi-family,Social-housing,D3,Natural gas,E,42138.29822
Single-family,Social-housing,D3,Natural gas,E,12509.0935
Multi-family,Owner-occupied,D3,Natural gas,E,24031.92277
Single-family,Owner-occupied,D3,Natural gas,E,84798.74251
Multi-family,Privately rented,D4,Natural gas,E,38174.12593
Single-family,Privately rented,D4,Natural gas,E,17652.26246
Multi-family,Social-housing,D4,Natural gas,E,36237.93285
Single-family,Social-housing,D4,Natural gas,E,9981.67113
Multi-family,Owner-occupied,D4,Natural gas,E,28634.60599
Single-family,Owner-occupied,D4,Natural gas,E,102530.1323
Multi-family,Privately rented,D5,Natural gas,E,36295.70919
Single-family,Privately rented,D5,Natural gas,E,15763.22718
Multi-family,Social-housing,D5,Natural gas,E,28318.9895
Single-family,Social-housing,D5,Natural gas,E,7337.25909
Multi-family,Owner-occupied,D5,Natural gas,E,32873.50862
Single-family,Owner-occupied,D5,Natural gas,E,113746.92
Multi-family,Privately rented,D6,Natural gas,E,34620.69854
Single-family,Privately rented,D6,Natural gas,E,14590.23735
Multi-family,Social-housing,D6,Natural gas,E,21447.66391
Single-family,Social-housing,D6,Natural gas,E,5492.327353
Multi-family,Owner-occupied,D6,Natural gas,E,37195.6846
Single-family,Owner-occupied,D6,Natural gas,E,120349.4062
Multi-family,Privately rented,D7,Natural gas,E,34963.38968
Single-family,Privately rented,D7,Natural gas,E,14204.9652
Multi-family,Social-housing,D7,Natural gas,E,17257.57094
Single-family,Social-housing,D7,Natural gas,E,3871.481064
Multi-family,Owner-occupied,D7,Natural gas,E,41121.80065
Single-family,Owner-occupied,D7,Natural gas,E,124006.5513
Multi-family,Privately rented,D8,Natural gas,E,33744.66531
Single-family,Privately rented,D8,Natural gas,E,13135.88858
Multi-family,Social-housing,D8,Natural gas,E,12462.86592
Single-family,Social-housing,D8,Natural gas,E,2794.136772
Multi-family,Owner-occupied,D8,Natural gas,E,48926.36393
Single-family,Owner-occupied,D8,Natural gas,E,133380.4218
Multi-family,Privately rented,D9,Natural gas,E,33223.98971
Single-family,Privately rented,D9,Natural gas,E,12468.54046
Multi-family,Social-housing,D9,Natural gas,E,9465.976603
Single-family,Social-housing,D9,Natural gas,E,1416.056098
Multi-family,Owner-occupied,D9,Natural gas,E,58101.19003
Single-family,Owner-occupied,D9,Natural gas,E,143441.4565
Multi-family,Privately rented,D10,Natural gas,E,43633.9808
Single-family,Privately rented,D10,Natural gas,E,10103.65749
Multi-family,Social-housing,D10,Natural gas,E,5192.639937
Single-family,Social-housing,D10,Natural gas,E,567.9661597
Multi-family,Owner-occupied,D10,Natural gas,E,85837.28771
Single-family,Owner-occupied,D10,Natural gas,E,139795.6675
Multi-family,Privately rented,D1,Others,F,8163.448974
Single-family,Privately rented,D1,Others,F,11892.04468
Multi-family,Social-housing,D1,Others,F,4653.836588
Single-family,Social-housing,D1,Others,F,1136.629675
Multi-family,Owner-occupied,D1,Others,F,1574.955398
Single-family,Owner-occupied,D1,Others,F,41746.76475
Multi-family,Privately rented,D2,Others,F,5205.823119
Single-family,Privately rented,D2,Others,F,12188.42914
Multi-family,Social-housing,D2,Others,F,4311.332683
Single-family,Social-housing,D2,Others,F,1413.060267
Multi-family,Owner-occupied,D2,Others,F,1713.078946
Single-family,Owner-occupied,D2,Others,F,53671.46195
Multi-family,Privately rented,D3,Others,F,4686.583842
Single-family,Privately rented,D3,Others,F,13167.54665
Multi-family,Social-housing,D3,Others,F,3023.977976
Single-family,Social-housing,D3,Others,F,1202.681881
Multi-family,Owner-occupied,D3,Others,F,2108.395086
Single-family,Owner-occupied,D3,Others,F,77995.87615
Multi-family,Privately rented,D4,Others,F,4416.382345
Single-family,Privately rented,D4,Others,F,12093.59925
Multi-family,Social-housing,D4,Others,F,2742.186166
Single-family,Social-housing,D4,Others,F,954.6396777
Multi-family,Owner-occupied,D4,Others,F,2400.410809
Single-family,Owner-occupied,D4,Others,F,83933.87499
Multi-family,Privately rented,D5,Others,F,4075.12921
Single-family,Privately rented,D5,Others,F,10352.90713
Multi-family,Social-housing,D5,Others,F,2152.724146
Single-family,Social-housing,D5,Others,F,779.9516897
Multi-family,Owner-occupied,D5,Others,F,2595.922262
Single-family,Owner-occupied,D5,Others,F,83553.40388
Multi-family,Privately rented,D6,Others,F,3855.782581
Single-family,Privately rented,D6,Others,F,9222.395225
Multi-family,Social-housing,D6,Others,F,1697.747914
Single-family,Social-housing,D6,Others,F,608.1831924
Multi-family,Owner-occupied,D6,Others,F,2792.600971
Single-family,Owner-occupied,D6,Others,F,81710.58529
Multi-family,Privately rented,D7,Others,F,3752.176104
Single-family,Privately rented,D7,Others,F,8790.239841
Multi-family,Social-housing,D7,Others,F,1475.138277
Single-family,Social-housing,D7,Others,F,458.4238769
Multi-family,Owner-occupied,D7,Others,F,3085.965258
Single-family,Owner-occupied,D7,Others,F,80562.36672
Multi-family,Privately rented,D8,Others,F,3710.278784
Single-family,Privately rented,D8,Others,F,8122.509697
Multi-family,Social-housing,D8,Others,F,1235.683223
Single-family,Social-housing,D8,Others,F,291.8060601
Multi-family,Owner-occupied,D8,Others,F,3534.824349
Single-family,Owner-occupied,D8,Others,F,79429.1324
Multi-family,Privately rented,D9,Others,F,3697.663257
Single-family,Privately rented,D9,Others,F,6862.542953
Multi-family,Social-housing,D9,Others,F,1097.361392
Single-family,Social-housing,D9,Others,F,171.1773916
Multi-family,Owner-occupied,D9,Others,F,4016.288317
Single-family,Owner-occupied,D9,Others,F,73591.77554
Multi-family,Privately rented,D10,Others,F,5880.863954
Single-family,Privately rented,D10,Others,F,4740.134856
Multi-family,Social-housing,D10,Others,F,1191.990719
Single-family,Social-housing,D10,Others,F,58.26145242
Multi-family,Owner-occupied,D10,Others,F,6694.400689
Single-family,Owner-occupied,D10,Others,F,56807.4418
Multi-family,Privately rented,D1,Electricity,F,136737.2187
Single-family,Privately rented,D1,Electricity,F,18793.13003
Multi-family,Social-housing,D1,Electricity,F,21364.034
Single-family,Social-housing,D1,Electricity,F,6035.862143
Multi-family,Owner-occupied,D1,Electricity,F,11571.89359
Single-family,Owner-occupied,D1,Electricity,F,22610.57962
Multi-family,Privately rented,D2,Electricity,F,55457.45478
Single-family,Privately rented,D2,Electricity,F,17481.24097
Multi-family,Social-housing,D2,Electricity,F,17864.91293
Single-family,Social-housing,D2,Electricity,F,7640.040548
Multi-family,Owner-occupied,D2,Electricity,F,8602.815781
Single-family,Owner-occupied,D2,Electricity,F,29395.84782
Multi-family,Privately rented,D3,Electricity,F,43345.9791
Single-family,Privately rented,D3,Electricity,F,17018.5812
Multi-family,Social-housing,D3,Electricity,F,12267.06761
Single-family,Social-housing,D3,Electricity,F,6598.879891
Multi-family,Owner-occupied,D3,Electricity,F,9771.823223
Single-family,Owner-occupied,D3,Electricity,F,44664.36958
Multi-family,Privately rented,D4,Electricity,F,39965.35741
Single-family,Privately rented,D4,Electricity,F,16575.03744
Multi-family,Social-housing,D4,Electricity,F,10497.3582
Single-family,Social-housing,D4,Electricity,F,5882.768012
Multi-family,Owner-occupied,D4,Electricity,F,11131.44464
Single-family,Owner-occupied,D4,Electricity,F,52789.77711
Multi-family,Privately rented,D5,Electricity,F,37008.83419
Single-family,Privately rented,D5,Electricity,F,15059.31673
Multi-family,Social-housing,D5,Electricity,F,8546.64505
Single-family,Social-housing,D5,Electricity,F,4656.954194
Multi-family,Owner-occupied,D5,Electricity,F,13027.07168
Single-family,Owner-occupied,D5,Electricity,F,57681.3957
Multi-family,Privately rented,D6,Electricity,F,35534.76544
Single-family,Privately rented,D6,Electricity,F,13606.22902
Multi-family,Social-housing,D6,Electricity,F,6534.428248
Single-family,Social-housing,D6,Electricity,F,3551.293305
Multi-family,Owner-occupied,D6,Electricity,F,14848.24833
Single-family,Owner-occupied,D6,Electricity,F,61542.69158
Multi-family,Privately rented,D7,Electricity,F,36418.93502
Single-family,Privately rented,D7,Electricity,F,12869.93016
Multi-family,Social-housing,D7,Electricity,F,5305.103927
Single-family,Social-housing,D7,Electricity,F,2634.922141
Multi-family,Owner-occupied,D7,Electricity,F,16773.37225
Single-family,Owner-occupied,D7,Electricity,F,63430.31353
Multi-family,Privately rented,D8,Electricity,F,35331.76205
