Housing type,Heating system final,Year,
Single-family,Electricity-Heat pump water,2017,72413
Multi-family,Electricity-Heat pump water,2017,29884
Single-family,Electricity-Heat pump air,2017,77039
Multi-family,Electricity-Heat pump air,2017,17453
Single-family,Natural gas-Performance boiler,2017,49085
Multi-family,Natural gas-Performance boiler,2017,23103
Single-family,Wood fuel-Performance boiler,2017,38801
Multi-family,Wood fuel-Performance boiler,2017,38801
Single-family,Electricity-Heat pump water,2018,72413
Multi-family,Electricity-Heat pump water,2018,29884
Single-family,Electricity-Heat pump air,2018,72413
Multi-family,Electricity-Heat pump air,2018,17453
Single-family,Natural gas-Performance boiler,2018,49085
Multi-family,Natural gas-Performance boiler,2018,23103
Single-family,Wood fuel-Performance boiler,2018,38801
Multi-family,Wood fuel-Performance boiler,2018,38801
Single-family,Electricity-Heat pump water,2019,72413
Multi-family,Electricity-Heat pump water,2019,29884
Single-family,Electricity-Heat pump air,2019,72413
Multi-family,Electricity-Heat pump air,2019,17453
Single-family,Natural gas-Performance boiler,2019,49085
Multi-family,Natural gas-Performance boiler,2019,23103
Single-family,Wood fuel-Performance boiler,2019,38801
Multi-family,Wood fuel-Performance boiler,2019,38801
Single-family,Electricity-Heat pump water,2020,72413
Multi-family,Electricity-Heat pump water,2020,29884
Single-family,Electricity-Heat pump air,2020,72413
Multi-family,Electricity-Heat pump air,2020,17453
Single-family,Natural gas-Performance boiler,2020,49085
Multi-family,Natural gas-Performance boiler,2020,23103
Single-family,Wood fuel-Performance boiler,2020,38801
Multi-family,Wood fuel-Performance boiler,2020,38801
Single-family,Electricity-Heat pump water,2021,72413
Multi-family,Electricity-Heat pump water,2021,29884
Single-family,Electricity-Heat pump air,2021,72413
Multi-family,Electricity-Heat pump air,2021,17453
Single-family,Natural gas-Performance boiler,2021,49085
Multi-family,Natural gas-Performance boiler,2021,23103
Single-family,Wood fuel-Performance boiler,2021,38801
Multi-family,Wood fuel-Performance boiler,2021,38801
Single-family,Electricity-Heat pump water,2022,72413
Multi-family,Electricity-Heat pump water,2022,29884
Single-family,Electricity-Heat pump air,2022,72413
Multi-family,Electricity-Heat pump air,2022,17453
Single-family,Natural gas-Performance boiler,2022,49085
Multi-family,Natural gas-Performance boiler,2022,23103
Single-family,Wood fuel-Performance boiler,2022,38801
