Electricity-Heat pump water,2.5
Electricity-Performance boiler,0.95
Natural gas-Performance boiler,0.76
Natural gas-Standard boiler,0.6
Oil fuel-Performance boiler,0.76
Oil fuel-Standard boiler,0.6
Wood fuel-Performance boiler,0.76
Wood fuel-Standard boiler,0.6
Electricity-Heat pump air,2.5
Natural gas-Collective boiler,0.76
Oil fuel-Collective boiler,0.76
Heating-District heating,0.76
