,Electricity,Natural gas,Oil fuel,Wood fuel,Heating
2012,79,227,324,0,0
2013,79,227,324,0,0
2014,79,227,324,0,0
2015,79,227,324,0,0
2016,79,227,324,0,0
2017,79,227,324,0,0
2018,79,227,324,0,0
2019,79,227,324,0,0
2020,79,227,324,0,0
2021,79,227,324,0,0
2022,79,227,324,0,0
2023,79,227,324,0,0
2024,79,227,324,0,0
2025,79,227,324,0,0
2026,79,227,324,0,0
2027,79,227,324,0,0
2028,79,227,324,0,0
2029,79,227,324,0,0
2030,79,227,324,0,0
2031,79,227,324,0,0
2032,79,227,324,0,0
2033,79,227,324,0,0
2034,79,227,324,0,0
2035,79,227,324,0,0
2036,79,227,324,0,0
2037,79,227,324,0,0
2038,79,227,324,0,0
2039,79,227,324,0,0
2040,79,227,324,0,0
2041,79,227,324,0,0
2042,79,227,324,0,0
2043,79,227,324,0,0
2044,79,227,324,0,0
2045,79,227,324,0,0
2046,79,227,324,0,0
2047,79,227,324,0,0
2048,79,227,324,0,0
2049,79,227,324,0,0
2050,79,227,324,0,0
