,Electricity,Natural gas,Oil fuel,Wood fuel,Heating
2017,0.079,0.227,0.324,0.03,0.101
2018,0.079,0.227,0.324,0.03,0.101
2019,0.079,0.227,0.324,0.03,0.101
2020,0.079,0.227,0.324,0.03,0.101
2021,0.079,0.227,0.324,0.03,0.101
2022,0.079,0.227,0.324,0.03,0.101
2023,0.079,0.227,0.324,0.03,0.101
2024,0.079,0.227,0.324,0.03,0.101
2025,0.079,0.227,0.324,0.03,0.101
2026,0.079,0.227,0.324,0.03,0.101
2027,0.079,0.227,0.324,0.03,0.101
2028,0.079,0.227,0.324,0.03,0.101
2029,0.079,0.227,0.324,0.03,0.101
2030,0.079,0.227,0.324,0.03,0.101
2031,0.075,0.221,0.324,0.03,0.097
2032,0.071,0.215,0.324,0.03,0.094
2033,0.067,0.209,0.324,0.03,0.09
2034,0.063,0.202,0.324,0.03,0.086
2035,0.059,0.196,0.324,0.03,0.082
2036,0.055,0.19,0.324,0.03,0.079
2037,0.051,0.184,0.324,0.03,0.075
2038,0.047,0.178,0.324,0.03,0.071
2039,0.043,0.172,0.324,0.03,0.068
2040,0.04,0.166,0.324,0.03,0.064
2041,0.036,0.16,0.324,0.03,0.06
2042,0.032,0.153,0.324,0.03,0.056
2043,0.028,0.147,0.324,0.03,0.053
2044,0.024,0.141,0.324,0.03,0.049
2045,0.02,0.135,0.324,0.03,0.045
2046,0.016,0.129,0.324,0.03,0.042
2047,0.012,0.123,0.324,0.03,0.038
2048,0.008,0.117,0.324,0.03,0.034
2049,0.004,0.111,0.324,0.03,0.031
2050,0,0.104,0.324,0.03,0.027
