Housing type,Energy,Heating system,DPE,Wall,Floor,Roof,Windows,Efficiency,clusters,Weight
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.3,0.2,1.3,2.5,1,0.3090909090909091
Multi-family,Electricity,Electricity-Heat pump,A,0.4,0.3,0.2,1.3,2.5,3,0.3090909090909091
Multi-family,Electricity,Electricity-Heat pump,A,0.4,0.3,0.3,1.3,2.5,0,0.2909090909090909
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.9,0.2,1.3,2.5,2,0.07272727272727272
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.5,0.5,1.3,2.5,4,0.01818181818181818
Multi-family,Electricity,Electricity-Heat pump,B,0.4,0.3,0.3,2.6,2.5,0,0.5088702147525677
Multi-family,Electricity,Electricity-Heat pump,B,0.4,2.0,0.3,2.6,2.5,1,0.20821661998132587
Multi-family,Electricity,Electricity-Heat pump,B,0.4,0.5,2.5,2.6,2.5,2,0.12978524743230627
Multi-family,Electricity,Electricity-Heat pump,B,1.0,0.9,0.3,2.6,2.5,3,0.07936507936507936
Multi-family,Electricity,Electricity-Heat pump,B,0.4,0.9,0.2,4.3,2.5,4,0.07376283846872082
Multi-family,Electricity,Electricity-Performance boiler,C,0.4,0.3,0.2,1.3,0.95,0,0.8006923837784372
Multi-family,Electricity,Electricity-Heat pump,C,2.5,2.0,0.3,2.6,2.5,1,0.06726013847675569
Multi-family,Electricity,Electricity-Heat pump,C,2.5,0.5,0.3,3.0,2.5,3,0.056132542037586546
Multi-family,Electricity,Electricity-Heat pump,C,0.5,2.0,2.5,3.0,2.5,2,0.05341246290801187
Multi-family,Electricity,Electricity-Heat pump,C,0.5,0.5,2.5,3.0,2.5,4,0.022502472799208705
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,0.3,0.3,2.6,0.95,4,0.7073791841358676
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,2.0,0.3,2.6,0.95,1,0.22460954520367554
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,0.5,0.3,4.3,0.95,0,0.0542231087270157
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,0.3,2.5,1.3,0.95,3,0.007775206483534572
Multi-family,Electricity,Electricity-Heat pump,D,2.5,2.0,2.5,3.0,2.5,2,0.006012955449906562
Multi-family,Electricity,Electricity-Performance boiler,E,0.4,0.3,2.5,2.6,0.95,0,0.27863275795478176
Multi-family,Electricity,Electricity-Performance boiler,E,1.0,0.5,0.5,2.6,0.95,4,0.23990611723461777
Multi-family,Electricity,Electricity-Performance boiler,E,0.4,2.0,2.5,2.6,0.95,2,0.20868118482426692
Multi-family,Electricity,Electricity-Performance boiler,E,0.5,0.9,0.5,4.3,0.95,3,0.16322528892718144
Multi-family,Electricity,Electricity-Performance boiler,E,1.0,2.0,0.3,2.6,0.95,1,0.10955465105915209
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,2.0,0.3,2.6,0.95,1,0.3059311424100156
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.5,0.3,2.6,0.95,3,0.2955242566510172
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.5,2.5,2.6,0.95,0,0.15663536776212833
Multi-family,Electricity,Electricity-Performance boiler,F,1.0,2.0,2.5,3.0,0.95,2,0.1271830985915493
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.9,0.3,4.3,0.95,4,0.11472613458528952
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,2.0,2.5,2.6,0.95,0,0.674115212322846
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,2.0,2.5,4.3,0.95,2,0.15104917087994132
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,0.5,2.5,4.3,0.95,1,0.0680585754328976
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,0.9,2.5,2.6,0.95,3,0.06530794016713384
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,0.3,2.5,3.0,0.95,4,0.04146910119718125
Multi-family,Heating,Heating-District heating,A,0.2,0.3,0.2,2.6,2.55,0,0.34375
Multi-family,Heating,Heating-District heating,A,0.2,0.3,0.2,1.3,1.78,4,0.203125
Multi-family,Heating,Heating-District heating,A,0.4,0.3,0.3,2.6,3.64,1,0.1875
Multi-family,Heating,Heating-District heating,A,0.4,0.3,0.2,1.3,2.32,2,0.1875
Multi-family,Heating,Heating-District heating,A,0.2,2.0,0.3,3.0,3.64,3,0.078125
Multi-family,Heating,Heating-District heating,B,0.4,0.3,0.3,2.6,0.98,0,0.8185040443515404
Multi-family,Heating,Heating-District heating,B,0.4,0.3,0.3,1.3,0.84,1,0.08915750249931836
Multi-family,Heating,Heating-District heating,B,0.4,2.0,0.2,2.6,0.98,4,0.06607288921203308
Multi-family,Heating,Heating-District heating,B,0.4,0.9,2.5,2.6,2.09,2,0.02372080341724984
Multi-family,Heating,Heating-District heating,B,2.5,0.9,0.5,2.6,3.64,3,0.0025447605198582204
Multi-family,Heating,Heating-District heating,C,0.5,0.5,0.3,2.6,0.73,4,0.2960971827345567
Multi-family,Heating,Heating-District heating,C,0.5,0.9,2.5,2.6,0.95,2,0.2891186353062807
Multi-family,Heating,Heating-District heating,C,0.5,2.0,0.3,2.6,0.84,1,0.2607392090979581
Multi-family,Heating,Heating-District heating,C,0.5,0.9,0.5,4.3,0.95,0,0.11760144740242957
Multi-family,Heating,Heating-District heating,C,2.5,2.0,2.5,2.6,1.67,3,0.03644352545877488
Multi-family,Heating,Heating-District heating,D,2.5,0.9,0.2,2.6,0.91,1,0.338135347081034
Multi-family,Heating,Heating-District heating,D,2.5,2.0,2.5,2.6,0.95,3,0.274644205634621
Multi-family,Heating,Heating-District heating,D,0.5,0.9,2.5,2.6,0.63,0,0.16392680801626489
Multi-family,Heating,Heating-District heating,D,2.5,0.9,2.5,4.3,0.95,2,0.13168748184722626
Multi-family,Heating,Heating-District heating,D,1.0,0.9,0.3,3.0,0.56,4,0.0916061574208539
Multi-family,Heating,Heating-District heating,E,2.5,2.0,2.5,2.6,0.68,3,0.37099684258006316
Multi-family,Heating,Heating-District heating,E,2.5,0.5,2.5,2.6,0.6,1,0.2140279657194407
Multi-family,Heating,Heating-District heating,E,2.5,2.0,0.3,2.6,0.6,0,0.20635994587280107
Multi-family,Heating,Heating-District heating,E,2.5,2.0,2.5,4.3,0.68,4,0.15550293188994135
Multi-family,Heating,Heating-District heating,E,1.0,2.0,2.5,3.0,0.51,2,0.05311231393775372
Multi-family,Heating,Heating-District heating,F,2.5,2.0,2.5,2.6,0.51,1,0.6029684601113172
Multi-family,Heating,Heating-District heating,F,2.5,2.0,2.5,4.3,0.56,0,0.16264687693259122
Multi-family,Heating,Heating-District heating,F,2.5,0.5,2.5,3.0,0.51,3,0.11564625850340136
Multi-family,Heating,Heating-District heating,F,2.5,2.0,0.3,3.0,0.43,2,0.0878169449598021
Multi-family,Heating,Heating-District heating,F,1.0,2.0,2.5,3.0,0.29,4,0.030921459492888066
Multi-family,Heating,Heating-District heating,G,2.5,2.0,2.5,3.0,0.29,4,0.3803418803418803
Multi-family,Heating,Heating-District heating,G,2.5,0.3,0.5,3.0,0.29,0,0.26495726495726496
Multi-family,Heating,Heating-District heating,G,2.5,2.0,0.3,3.0,0.29,1,0.2094017094017094
Multi-family,Heating,Heating-District heating,G,2.5,2.0,2.5,4.3,0.43,2,0.1282051282051282
Multi-family,Heating,Heating-District heating,G,1.0,2.0,2.5,4.3,0.29,3,0.017094017094017096
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.2,0.3,0.3,2.6,0.76,1,0.4111977030352748
Multi-family,Natural gas,Natural gas-Standard boiler,B,0.2,0.3,0.2,1.3,0.6,2,0.20334290401968827
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.2,0.3,0.2,1.3,0.76,0,0.18529532403609517
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.4,0.3,0.3,1.3,0.76,3,0.1582239540607055
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.2,2.0,0.3,1.3,0.76,4,0.04194011484823626
Multi-family,Natural gas,Natural gas-Standard boiler,C,0.4,0.3,0.3,2.6,0.6,2,0.256494605969716
Multi-family,Natural gas,Natural gas-Performance boiler,C,0.4,2.0,0.3,2.6,0.76,0,0.23785738474190896
Multi-family,Natural gas,Natural gas-Performance boiler,C,0.4,0.5,0.3,2.6,0.76,4,0.22157853998355184
Multi-family,Natural gas,Natural gas-Performance boiler,C,1.0,0.9,0.3,2.6,0.76,1,0.14721106864689662
Multi-family,Natural gas,Natural gas-Performance boiler,C,0.4,0.9,2.5,2.6,0.76,3,0.13685840065792657
Multi-family,Natural gas,Natural gas-Standard boiler,D,1.0,2.0,2.5,2.6,0.6,2,0.29686358099878196
Multi-family,Natural gas,Natural gas-Performance boiler,D,2.5,2.0,0.3,2.6,0.76,4,0.2110688185140073
Multi-family,Natural gas,Natural gas-Standard boiler,D,1.0,0.5,2.5,2.6,0.6,1,0.1950822168087698
Multi-family,Natural gas,Natural gas-Performance boiler,D,2.5,0.5,0.5,2.6,0.76,0,0.1782886723507917
Multi-family,Natural gas,Natural gas-Standard boiler,D,0.5,0.9,0.5,4.3,0.6,3,0.11869671132764921
Multi-family,Natural gas,Natural gas-Performance boiler,E,2.5,2.0,2.5,3.0,0.76,1,0.29529646872313586
Multi-family,Natural gas,Natural gas-Standard boiler,E,2.5,2.0,2.5,2.6,0.6,2,0.26078753167877994
Multi-family,Natural gas,Natural gas-Standard boiler,E,2.5,0.9,0.3,3.0,0.6,0,0.2603521228969198
Multi-family,Natural gas,Natural gas-Performance boiler,E,2.5,0.5,2.5,3.0,0.76,3,0.17186366122963906
Multi-family,Natural gas,Natural gas-Standard boiler,E,1.0,2.0,2.5,4.3,0.6,4,0.011700215471525383
Multi-family,Natural gas,Natural gas-Standard boiler,F,2.5,2.0,2.5,4.3,0.6,0,1.0
Multi-family,Oil fuel,Oil fuel-Performance boiler,B,0.2,0.3,0.3,2.6,0.76,0,0.5180392156862745
Multi-family,Oil fuel,Oil fuel-Performance boiler,B,0.2,0.3,0.3,1.3,0.76,1,0.26666666666666666
Multi-family,Oil fuel,Oil fuel-Performance boiler,B,0.4,0.3,0.3,1.3,0.76,2,0.16470588235294117
Multi-family,Oil fuel,Oil fuel-Performance boiler,B,0.2,2.0,0.3,1.3,0.76,4,0.032549019607843135
Multi-family,Oil fuel,Oil fuel-Standard boiler,B,0.2,0.3,0.3,1.3,0.6,3,0.01803921568627451
Multi-family,Oil fuel,Oil fuel-Performance boiler,C,0.4,0.9,0.3,2.6,0.76,1,0.45413481584433635
Multi-family,Oil fuel,Oil fuel-Performance boiler,C,1.0,0.9,0.3,2.6,0.76,0,0.1840687977762335
Multi-family,Oil fuel,Oil fuel-Performance boiler,C,0.4,0.9,2.5,2.6,0.76,2,0.15279708130646283
Multi-family,Oil fuel,Oil fuel-Standard boiler,C,0.4,0.9,0.3,2.6,0.6,3,0.1341209173036831
Multi-family,Oil fuel,Oil fuel-Performance boiler,C,0.5,0.9,0.3,4.3,0.76,4,0.07487838776928422
Multi-family,Oil fuel,Oil fuel-Performance boiler,D,2.5,0.5,0.5,2.6,0.76,4,0.27735849056603773
Multi-family,Oil fuel,Oil fuel-Performance boiler,D,2.5,2.0,0.3,2.6,0.76,1,0.27058823529411763
Multi-family,Oil fuel,Oil fuel-Standard boiler,D,0.5,0.9,2.5,2.6,0.6,2,0.1879023307436182
Multi-family,Oil fuel,Oil fuel-Performance boiler,D,1.0,2.0,2.5,3.0,0.76,0,0.1706992230854606
Multi-family,Oil fuel,Oil fuel-Performance boiler,D,1.0,0.9,0.5,4.3,0.76,3,0.09345172031076582
Multi-family,Oil fuel,Oil fuel-Performance boiler,E,2.5,2.0,2.5,2.6,0.76,2,0.4410261549253432
Multi-family,Oil fuel,Oil fuel-Standard boiler,E,2.5,2.0,0.3,3.0,0.6,4,0.20643351037178073
Multi-family,Oil fuel,Oil fuel-Standard boiler,E,2.5,2.0,2.5,2.6,0.6,3,0.18699268463773924
