Class,Housing type,Wall,Floor,Roof,Windows,Heating system,Stock buildings,Ratio_surface_Wall,Ratio_surface_Floor,Ratio_surface_Roof,Ratio_surface_Window,construction period,EPC,primary energy,Ventilation gross,Ventilation,Electric fuel share,Fossil fuel share
MI-1,Single-family,2.50,2.00,2.50,2.40,Wood fuel-Standard boiler,688400,1.76,0.50,0.50,0.15,Avant 1915,E,311,Ouverture des baies,Natural ventilation,0.18,0.82
MI-2,Single-family,2.50,2.00,2.50,2.40,Wood fuel-Standard boiler,648300,1.33,0.50,0.85,0.13,Avant 1915,F,339,Ouverture des baies,Natural ventilation,0.15,0.85
MI-3,Single-family,2.50,2.00,2.50,2.40,Wood fuel-Standard boiler,622300,0.87,0.89,1.61,0.09,Avant 1915,F,339,Ouverture des baies,Natural ventilation,0.20,0.80
MI-4,Single-family,2.50,2.00,2.50,2.40,Wood fuel-Standard boiler,3186600,1.25,0.67,0.67,0.13,Avant 1915,E,283,Ouverture des baies,Natural ventilation,0.23,0.77
MI-5,Single-family,2.50,2.00,2.50,2.40,Natural gas-Standard boiler,612000,1.45,0.51,0.80,0.18,1915-1945,E,313,Ouverture des baies,Natural ventilation,0.20,0.80
MI-6,Single-family,2.50,2.00,2.50,2.40,Natural gas-Standard boiler,86300,1.06,0.35,0.55,0.24,1915-1945,F,350,Ouverture des baies,Natural ventilation,0.19,0.81
MI-7,Single-family,2.50,2.00,2.50,2.40,Natural gas-Standard boiler,741300,1.02,0.50,0.50,0.15,1915-1945,E,313,Ouverture des baies,Natural ventilation,0.21,0.79
MI-8,Single-family,2.50,2.00,2.50,2.40,Natural gas-Standard boiler,1364000,1.55,0.55,0.55,0.21,1946-1968,E,293,Ouverture des baies,Natural ventilation,0.16,0.84
MI-9,Single-family,2.50,2.00,2.50,2.40,Natural gas-Standard boiler,923400,1.22,0.50,0.50,0.20,1946-1968,E,267,Ouverture des baies,Natural ventilation,0.11,0.89
MI-10,Single-family,1.00,2.00,2.50,2.40,Natural gas-Standard boiler,976100,1.11,1.01,1.74,0.22,1969-1974,D,205,Ouverture des baies,Natural ventilation,0.13,0.87
MI-11,Single-family,2.50,2.00,2.50,2.40,Natural gas-Standard boiler,436600,0.77,0.50,0.50,0.17,1969-1974,D,218,Ouverture des baies,Natural ventilation,0.24,0.76
MI-12,Single-family,0.77,1.00,0.77,2.40,Electricity-Performance boiler,1470000,0.82,1.00,1.48,0.18,1975-1981,D,241,Ouverture des baies,Natural ventilation,0.37,0.63
MI-13,Single-family,1.00,1.00,0.77,2.40,Natural gas-Standard boiler,603600,0.91,0.50,0.50,0.21,1975-1981,D,223,Ouverture des baies,Natural ventilation,0.28,0.72
MI-14,Single-family,0.34,1.00,0.34,2.40,Electricity-Performance boiler,1902400,1.02,1.00,1.98,0.20,1982-1989,E,265,VMC autoréglable,CMV,0.57,0.43
MI-15,Single-family,0.43,0.38,0.25,2.40,Electricity-Performance boiler,1836000,0.97,0.95,1.89,0.19,1990-2000,C,155,VMC autoréglable,CMV,0.38,0.62
MI-16,Single-family,0.34,0.40,0.24,2.40,Natural gas-Standard boiler,1053300,1.27,0.50,0.82,0.24,2001-2005,C,150,VMC hygroréglable,CMV hygro,0.30,0.70
MI-17,Single-family,0.25,0.22,0.16,2.40,Natural gas-Performance boiler,2119200,1.27,0.50,0.82,0.24,Après 2005,C,152,VMC hygroréglable,CMV hygro,0.37,0.63
LC1,Multi-family,2.50,2.00,2.50,4.30,Electricity-Performance boiler,280900,0.57,0.08,0.09,0.14,Avant 1915,F,339,Ouverture des baies,Natural ventilation,0.28,0.72
LC2,Multi-family,2.50,2.00,2.50,4.30,Electricity-Performance boiler,2003900,0.43,0.11,0.12,0.14,Avant 1915,F,335,Ouverture des baies,Natural ventilation,0.39,0.61
LC3,Multi-family,2.50,2.00,2.50,4.30,Natural gas-Standard boiler,923400,0.41,0.15,0.25,0.17,Avant 1915,E,327,Ouverture des baies,Natural ventilation,0.42,0.58
LC4,Multi-family,2.50,2.00,2.50,4.30,Electricity-Performance boiler,632800,0.91,0.13,0.15,0.23,Avant 1915,E,294,Ouverture des baies,Natural ventilation,0.65,0.35
LC5,Multi-family,2.50,2.00,2.50,4.30,Electricity-Performance boiler,141900,0.64,0.12,0.08,0.28,1915-1945,E,322,Ouverture des baies,Natural ventilation,0.36,0.63
LC6,Multi-family,2.50,2.00,2.50,4.30,Natural gas-Standard boiler,364900,0.36,0.13,0.09,0.15,1915-1945,E,313,Ouverture des baies,Natural ventilation,0.39,0.61
LC7,Multi-family,2.50,2.00,2.50,4.30,Natural gas-Standard boiler,215000,0.51,0.14,0.14,0.22,1915-1945,F,341,Ouverture des baies,Natural ventilation,0.45,0.55
LC8,Multi-family,2.50,2.00,2.50,4.30,Natural gas-Standard boiler,352200,0.40,0.08,0.11,0.17,1915-1945,E,254,Ventilation par conduit individuel,Natural ventilation,0.27,0.73
LC9,Multi-family,2.50,2.00,2.50,4.30,Natural gas-Standard boiler,676500,0.43,0.30,0.33,0.18,1946-1968,E,326,Ventilation haute basse,Natural ventilation,0.32,0.68
LC10,Multi-family,2.50,2.00,2.50,4.30,Natural gas-Standard boiler,1578800,0.63,0.17,0.17,0.52,1946-1968,E,264,Ventilation haute basse,Natural ventilation,0.18,0.82
LC11,Multi-family,2.50,2.00,2.50,4.30,Natural gas-Standard boiler,670200,0.56,0.03,0.09,0.46,1946-1968,D,225,Conduit SHUNT,Natural ventilation,0.09,0.91
LC12,Multi-family,2.50,2.00,2.50,4.30,Electricity-Performance boiler,214300,0.39,0.16,0.02,0.17,1969-1974,E,255,Ventilation haute basse,Natural ventilation,0.39,0.61
LC13,Multi-family,2.50,2.00,2.50,4.30,Natural gas-Standard boiler,883700,0.57,0.15,0.10,0.38,1969-1974,D,198,Conduit SHUNT,Natural ventilation,0.24,0.76
LC14,Multi-family,2.50,2.00,2.50,4.30,RCU,585800,0.36,0.10,0.09,0.37,1969-1974,D,191,Conduit SHUNT,Natural ventilation,0.15,0.85
LC15,Multi-family,1.00,1.00,1.00,3.10,Electricity-Performance boiler,184200,0.44,0.35,0.35,0.29,1975-1981,E,262,Conduit SHUNT,Natural ventilation,0.45,0.55
LC16,Multi-family,1.00,1.00,1.00,3.10,Natural gas-Standard boiler,676800,0.36,0.18,0.15,0.30,1975-1981,D,204,Conduit SHUNT,Natural ventilation,0.33,0.67
LC17,Multi-family,1.00,1.00,1.00,3.10,RCU,383100,0.19,0.01,0.09,0.16,1975-1981,D,202,Conduit SHUNT,Natural ventilation,0.30,0.70
LC18,Multi-family,1.00,0.67,0.77,2.70,Electricity-Performance boiler,213100,0.86,0.03,0.12,0.58,1982-1989,E,266,Mécanique autoréglable,CMV,0.51,0.49
LC19,Multi-family,0.67,0.67,0.77,2.70,Electricity-Performance boiler,484500,0.46,0.10,0.10,0.31,1982-1989,D,219,Mécanique autoréglable,CMV,0.49,0.51
