,Electricity,Natural gas,Oil fuel,Wood fuel,Heating
2017,0.079,0.227,0.324,0.03,0.101
2018,0.079,0.227,0.324,0.03,0.101
2019,0.079,0.227,0.324,0.03,0.101
2020,0.079,0.227,0.324,0.03,0.101
2021,0.079,0.227,0.324,0.03,0.101
2022,0.079,0.227,0.324,0.03,0.101
2023,0.079,0.227,0.324,0.03,0.101
2024,0.079,0.227,0.324,0.03,0.101
2025,0.079,0.227,0.324,0.03,0.101
2026,0.079,0.227,0.324,0.03,0.101
2027,0.079,0.227,0.324,0.03,0.101
2028,0.079,0.227,0.324,0.03,0.101
2029,0.079,0.227,0.324,0.03,0.101
2030,0.079,0.227,0.324,0.03,0.101
2031,0.075,0.225,0.324,0.03,0.098
2032,0.071,0.223,0.324,0.03,0.094
2033,0.067,0.22,0.324,0.03,0.091
2034,0.063,0.218,0.324,0.03,0.087
2035,0.059,0.216,0.324,0.03,0.084
2036,0.055,0.214,0.324,0.03,0.081
2037,0.051,0.212,0.324,0.03,0.077
2038,0.047,0.21,0.324,0.03,0.074
2039,0.043,0.207,0.324,0.03,0.071
2040,0.04,0.205,0.324,0.03,0.067
2041,0.036,0.203,0.324,0.03,0.064
2042,0.032,0.201,0.324,0.03,0.06
2043,0.028,0.199,0.324,0.03,0.057
2044,0.024,0.197,0.324,0.03,0.054
2045,0.02,0.194,0.324,0.03,0.05
2046,0.016,0.192,0.324,0.03,0.047
2047,0.012,0.19,0.324,0.03,0.044
2048,0.008,0.188,0.324,0.03,0.04
2049,0.004,0.186,0.324,0.03,0.037
2050,0,0.183,0.324,0.03,0.033
