year,H1a,H1b,H1c,H2a,H2b,H2c,H2d,H3
2017,787999.185004075,236919.315403423,480419.722901385,2424.61287693562,98023.6348818256,51609.6169519152,7966.58516707416,34637.3268133659
2018,834352.078239609,250855.745721271,508679.706601467,2567.23716381418,103789.731051345,54645.4767726161,8435.20782396088,36674.8166259169
2019,880704.971475143,264792.17603912,536939.690301549,2709.86145069275,109555.827220864,57681.336593317,8903.8304808476,38712.3064384678
2020,927057.864710676,278728.606356968,565199.67400163,2852.48573757131,115321.923390383,60717.1964140179,9372.45313773431,40749.7962510187
2021,973410.75794621,292665.036674817,593459.657701711,2995.11002444988,121088.019559902,63753.0562347188,9841.07579462103,42787.2860635697
2022,1019763.65118174,306601.466992665,621719.641401793,3137.73431132844,126854.115729421,66788.9160554197,10309.6984515077,44824.7758761206
2023,1066116.54441728,320537.897310514,649979.625101875,3280.35859820701,132620.211898941,69824.7758761206,10778.3211083945,46862.2656886716
2024,1112469.43765281,334474.327628362,678239.608801956,3422.98288508557,138386.30806846,72860.6356968215,11246.9437652812,48899.7555012225
2025,1158822.33088835,348410.75794621,706499.592502037,3565.60717196414,144152.404237979,75896.4955175224,11715.5664221679,50937.2453137734
2026,1205175.22412388,362347.188264059,734759.576202119,3708.23145884271,149918.500407498,78932.3553382233,12184.1890790546,52974.7351263244
2027,1251528.11735941,376283.618581907,763019.559902201,3850.85574572127,155684.596577017,81968.2151589242,12652.8117359413,55012.2249388753
2028,1297881.01059495,390220.048899756,791279.543602282,3993.48003259984,161450.692746536,85004.0749796251,13121.434392828,57049.7147514263
2029,1344233.90383048,404156.479217604,819539.527302363,4136.1043194784,167216.788916055,88039.934800326,13590.0570497148,59087.2045639772
2030,1390586.79706601,418092.909535452,847799.511002445,4278.72860635697,172982.885085575,91075.7946210269,14058.6797066015,61124.6943765281
2031,1436939.69030155,432029.339853301,876059.494702527,4421.35289323553,178748.981255094,94111.6544417278,14527.3023634882,63162.1841890791
2032,1483292.58353708,445965.770171149,904319.478402608,4563.9771801141,184515.077424613,97147.5142624287,14995.9250203749,65199.67400163
2033,1529645.47677262,459902.200488998,932579.462102689,4706.60146699267,190281.173594132,100183.37408313,15464.5476772616,67237.1638141809
2034,1575998.37000815,473838.630806846,960839.445802771,4849.22575387123,196047.269763651,103219.23390383,15933.1703341483,69274.6536267319
2035,1622351.26324368,487775.061124694,989099.429502852,4991.8500407498,201813.36593317,106255.093724531,16401.792991035,71312.1434392828
2036,1668704.15647922,501711.491442543,1017359.41320293,5134.47432762836,207579.46210269,109290.953545232,16870.4156479218,73349.6332518337
2037,1715057.04971475,515647.921760391,1045619.39690302,5277.09861450693,213345.558272209,112326.813365933,17339.0383048085,75387.1230643847
2038,1761409.94295029,529584.35207824,1073879.3806031,5419.72290138549,219111.654441728,115362.673186634,17807.6609616952,77424.6128769356
2039,1807762.83618582,543520.782396088,1102139.36430318,5562.34718826406,224877.750611247,118398.533007335,18276.2836185819,79462.1026894866
2040,1854115.72942135,557457.212713937,1130399.34800326,5704.97147514262,230643.846780766,121434.392828036,18744.9062754686,81499.5925020375
2041,1900468.62265689,571393.643031785,1158659.33170334,5847.59576202119,236409.942950285,124470.252648737,19213.5289323553,83537.0823145884
2042,1946821.51589242,585330.073349633,1186919.31540342,5990.22004889976,242176.039119804,127506.112469438,19682.1515892421,85574.5721271394
2043,1993174.40912795,599266.503667482,1215179.2991035,6132.84433577832,247942.135289324,130541.972290139,20150.7742461288,87612.0619396903
2044,2039527.30236349,613202.93398533,1243439.28280359,6275.46862265689,253708.231458843,133577.832110839,20619.3969030155,89649.5517522412
2045,2085880.19559902,627139.364303179,1271699.26650367,6418.09290953545,259474.327628362,136613.69193154,21088.0195599022,91687.0415647922
2046,2132233.08883456,641075.794621027,1299959.25020375,6560.71719641402,265240.423797881,139649.551752241,21556.6422167889,93724.5313773431
2047,2178585.98207009,655012.224938875,1328219.23390383,6703.34148329258,271006.5199674,142685.411572942,22025.2648736756,95762.0211898941
2048,2224938.87530562,668948.655256724,1356479.21760391,6845.96577017115,276772.616136919,145721.271393643,22493.8875305623,97799.511002445
2049,2271291.76854116,682885.085574572,1384739.20130399,6988.59005704972,282538.712306439,148757.131214344,22962.5101874491,99837.0008149959
2050,2317644.66177669,696821.515892421,1412999.18500407,7131.21434392828,288304.808475958,151792.991035045,23431.1328443358,101874.490627547
