,Oil fuel,Natural gas,Electricity,Wood fuel,Heating
2017,0.0619,0.05937,0.1151,0.056,0.0746
2018,0.0619,0.05937,0.1151,0.056,0.0746
2019,0.0619,0.05937,0.1151,0.056,0.0746
2020,0.0619,0.05937,0.1151,0.056,0.0746
2021,0.0619,0.05937,0.1151,0.056,0.0746
2022,0.0619,0.05937,0.1151,0.056,0.0746
2023,0.0619,0.05937,0.1151,0.056,0.0746
2024,0.0619,0.05937,0.1151,0.056,0.0746
2025,0.0619,0.05937,0.1151,0.056,0.0746
2026,0.0619,0.05937,0.1151,0.056,0.0746
2027,0.0619,0.05937,0.1151,0.056,0.0746
2028,0.0619,0.05937,0.1151,0.056,0.0746
2029,0.0619,0.05937,0.1151,0.056,0.0746
2030,0.0619,0.05937,0.1151,0.056,0.0746
2031,0.0619,0.05937,0.1151,0.056,0.0746
2032,0.0619,0.05937,0.1151,0.056,0.0746
2033,0.0619,0.05937,0.1151,0.056,0.0746
2034,0.0619,0.05937,0.1151,0.056,0.0746
2035,0.0619,0.05937,0.1151,0.056,0.0746
2036,0.0619,0.05937,0.1151,0.056,0.0746
2037,0.0619,0.05937,0.1151,0.056,0.0746
2038,0.0619,0.05937,0.1151,0.056,0.0746
2039,0.0619,0.05937,0.1151,0.056,0.0746
2040,0.0619,0.05937,0.1151,0.056,0.0746
2041,0.0619,0.05937,0.1151,0.056,0.0746
2042,0.0619,0.05937,0.1151,0.056,0.0746
2043,0.0619,0.05937,0.1151,0.056,0.0746
2044,0.0619,0.05937,0.1151,0.056,0.0746
2045,0.0619,0.05937,0.1151,0.056,0.0746
2046,0.0619,0.05937,0.1151,0.056,0.0746
2047,0.0619,0.05937,0.1151,0.056,0.0746
2048,0.0619,0.05937,0.1151,0.056,0.0746
2049,0.0619,0.05937,0.1151,0.056,0.0746
2050,0.0619,0.05937,0.1151,0.056,0.0746
