Heating energy,Electricity,Natural gas,Oil fuel,Wood fuel
2012,0.000476,0.00034,0.000396,0
2013,0.000476,0.00034,0.000396,0
2014,0.000476,0.00034,0.000396,0
2015,0.000476,0.00034,0.000396,0
2016,0.000952,0.00068,0.000792,0
2017,0.000952,0.00068,0.000792,0
2018,0.00119,0.00085,0.00099,0
2019,0.0023613,0.0015759,0.0017238,0
2020,0.002408526,0.001607418,0.001758276,0
2021,0.002456697,0.001639566,0.001793442,0
2022,0.002532891,0.001688594,0.001845547,0
2023,0.002605631,0.001738927,0.001904539,0
2024,0.002685897,0.001790598,0.001959523,0
2025,0.002768332,0.001849384,0.002021687,0
2026,0.002852991,0.001903946,0.002079695,0
2027,0.002933952,0.001959952,0.002145191,0
2028,0.003023106,0.002017436,0.00220638,0
2029,0.003114653,0.002082652,0.002275375,0
2030,0.003208652,0.002143329,0.002346247,0
2031,0.003305165,0.002205599,0.002412576,0
2032,0.003410853,0.002276101,0.002487217,0
2033,0.003512716,0.002341811,0.002563879,0
2034,0.00361729,0.002416103,0.002642612,0
2035,0.003724642,0.002485429,0.00272347,0
2036,0.003841982,0.002563702,0.002799363,0
2037,0.003955242,0.002636828,0.002884486,0
2038,0.004071496,0.002719284,0.002971895,0
2039,0.004198396,0.002803983,0.003061646,0
2040,0.004321013,0.002883252,0.003153799,0
2041,0.00445474,0.002972455,0.003248412,0
2042,0.004592088,0.003064073,0.003353592,0
2043,0.004724945,0.003158167,0.003453476,0
2044,0.004869647,0.003246431,0.003556013,0
2045,0.005018246,0.003345497,0.003661271,0
2046,0.005170842,0.003447228,0.003769317,0
2047,0.005327534,0.003551689,0.0038891,0
2048,0.005488426,0.00365895,0.004003109,0
2049,0.005653622,0.003769081,0.004129361,0
2050,0.00582323,0.003882154,0.004249639,0
