Year,Heating system final,Income owner,
2028,Wood fuel-Performance boiler,D10,2500
2029,Electricity-Heat pump water,D1,4000
2029,Electricity-Heat pump water,D2,4000
2029,Electricity-Heat pump water,D3,4000
2029,Electricity-Heat pump water,D4,4000
2029,Electricity-Heat pump water,D5,2500
2029,Electricity-Heat pump water,D6,2500
2029,Electricity-Heat pump water,D7,2500
2029,Electricity-Heat pump water,D8,2500
2029,Electricity-Heat pump water,D9,2500
2029,Electricity-Heat pump water,D10,2500
2029,Wood fuel-Performance boiler,D1,4000
2029,Wood fuel-Performance boiler,D2,4000
2029,Wood fuel-Performance boiler,D3,4000
2029,Wood fuel-Performance boiler,D4,4000
2029,Wood fuel-Performance boiler,D5,2500
2029,Wood fuel-Performance boiler,D6,2500
2029,Wood fuel-Performance boiler,D7,2500
2029,Wood fuel-Performance boiler,D8,2500
2029,Wood fuel-Performance boiler,D9,2500
2029,Wood fuel-Performance boiler,D10,2500
2030,Electricity-Heat pump water,D1,4000
2030,Electricity-Heat pump water,D2,4000
2030,Electricity-Heat pump water,D3,4000
2030,Electricity-Heat pump water,D4,4000
2030,Electricity-Heat pump water,D5,2500
2030,Electricity-Heat pump water,D6,2500
2030,Electricity-Heat pump water,D7,2500
2030,Electricity-Heat pump water,D8,2500
2030,Electricity-Heat pump water,D9,2500
2030,Electricity-Heat pump water,D10,2500
2030,Wood fuel-Performance boiler,D1,0
2030,Wood fuel-Performance boiler,D2,0
2030,Wood fuel-Performance boiler,D3,0
2030,Wood fuel-Performance boiler,D4,0
2030,Wood fuel-Performance boiler,D5,0
2030,Wood fuel-Performance boiler,D6,0
2030,Wood fuel-Performance boiler,D7,0
2030,Wood fuel-Performance boiler,D8,0
2030,Wood fuel-Performance boiler,D9,0
2030,Wood fuel-Performance boiler,D10,0
2031,Electricity-Heat pump water,D1,4000
2031,Electricity-Heat pump water,D2,4000
2031,Electricity-Heat pump water,D3,4000
2031,Electricity-Heat pump water,D4,4000
2031,Electricity-Heat pump water,D5,2500
2031,Electricity-Heat pump water,D6,2500
2031,Electricity-Heat pump water,D7,2500
2031,Electricity-Heat pump water,D8,2500
2031,Electricity-Heat pump water,D9,2500
2031,Electricity-Heat pump water,D10,2500
2031,Wood fuel-Performance boiler,D1,0
2031,Wood fuel-Performance boiler,D2,0
2031,Wood fuel-Performance boiler,D3,0
2031,Wood fuel-Performance boiler,D4,0
2031,Wood fuel-Performance boiler,D5,0
2031,Wood fuel-Performance boiler,D6,0
2031,Wood fuel-Performance boiler,D7,0
2031,Wood fuel-Performance boiler,D8,0
2031,Wood fuel-Performance boiler,D9,0
2031,Wood fuel-Performance boiler,D10,0
2032,Electricity-Heat pump water,D1,4000
2032,Electricity-Heat pump water,D2,4000
2032,Electricity-Heat pump water,D3,4000
2032,Electricity-Heat pump water,D4,4000
2032,Electricity-Heat pump water,D5,2500
2032,Electricity-Heat pump water,D6,2500
2032,Electricity-Heat pump water,D7,2500
2032,Electricity-Heat pump water,D8,2500
2032,Electricity-Heat pump water,D9,2500
2032,Electricity-Heat pump water,D10,2500
2032,Wood fuel-Performance boiler,D1,0
2032,Wood fuel-Performance boiler,D2,0
2032,Wood fuel-Performance boiler,D3,0
2032,Wood fuel-Performance boiler,D4,0
2032,Wood fuel-Performance boiler,D5,0
2032,Wood fuel-Performance boiler,D6,0
2032,Wood fuel-Performance boiler,D7,0
2032,Wood fuel-Performance boiler,D8,0
2032,Wood fuel-Performance boiler,D9,0
2032,Wood fuel-Performance boiler,D10,0
2033,Electricity-Heat pump water,D1,4000
2033,Electricity-Heat pump water,D2,4000
2033,Electricity-Heat pump water,D3,4000
2033,Electricity-Heat pump water,D4,4000
2033,Electricity-Heat pump water,D5,2500
2033,Electricity-Heat pump water,D6,2500
2033,Electricity-Heat pump water,D7,2500
2033,Electricity-Heat pump water,D8,2500
2033,Electricity-Heat pump water,D9,2500
2033,Electricity-Heat pump water,D10,2500
2033,Wood fuel-Performance boiler,D1,0
2033,Wood fuel-Performance boiler,D2,0
2033,Wood fuel-Performance boiler,D3,0
2033,Wood fuel-Performance boiler,D4,0
2033,Wood fuel-Performance boiler,D5,0
2033,Wood fuel-Performance boiler,D6,0
2033,Wood fuel-Performance boiler,D7,0
2033,Wood fuel-Performance boiler,D8,0
2033,Wood fuel-Performance boiler,D9,0
2033,Wood fuel-Performance boiler,D10,0
2034,Electricity-Heat pump water,D1,4000
2034,Electricity-Heat pump water,D2,4000
2034,Electricity-Heat pump water,D3,4000
2034,Electricity-Heat pump water,D4,4000
2034,Electricity-Heat pump water,D5,2500
2034,Electricity-Heat pump water,D6,2500
2034,Electricity-Heat pump water,D7,2500
2034,Electricity-Heat pump water,D8,2500
2034,Electricity-Heat pump water,D9,2500
2034,Electricity-Heat pump water,D10,2500
2034,Wood fuel-Performance boiler,D1,0
2034,Wood fuel-Performance boiler,D2,0
2034,Wood fuel-Performance boiler,D3,0
2034,Wood fuel-Performance boiler,D4,0
2034,Wood fuel-Performance boiler,D5,0
2034,Wood fuel-Performance boiler,D6,0
2034,Wood fuel-Performance boiler,D7,0
2034,Wood fuel-Performance boiler,D8,0
2034,Wood fuel-Performance boiler,D9,0
2034,Wood fuel-Performance boiler,D10,0
2035,Electricity-Heat pump water,D1,4000
2035,Electricity-Heat pump water,D2,4000
2035,Electricity-Heat pump water,D3,4000
2035,Electricity-Heat pump water,D4,4000
2035,Electricity-Heat pump water,D5,2500
2035,Electricity-Heat pump water,D6,2500
2035,Electricity-Heat pump water,D7,2500
2035,Electricity-Heat pump water,D8,2500
2035,Electricity-Heat pump water,D9,2500
2035,Electricity-Heat pump water,D10,2500
2035,Wood fuel-Performance boiler,D1,0
2035,Wood fuel-Performance boiler,D2,0
2035,Wood fuel-Performance boiler,D3,0
2035,Wood fuel-Performance boiler,D4,0
2035,Wood fuel-Performance boiler,D5,0
2035,Wood fuel-Performance boiler,D6,0
2035,Wood fuel-Performance boiler,D7,0
2035,Wood fuel-Performance boiler,D8,0
2035,Wood fuel-Performance boiler,D9,0
2035,Wood fuel-Performance boiler,D10,0
2036,Electricity-Heat pump water,D1,4000
2036,Electricity-Heat pump water,D2,4000
2036,Electricity-Heat pump water,D3,4000
2036,Electricity-Heat pump water,D4,4000
2036,Electricity-Heat pump water,D5,2500
2036,Electricity-Heat pump water,D6,2500
2036,Electricity-Heat pump water,D7,2500
2036,Electricity-Heat pump water,D8,2500
2036,Electricity-Heat pump water,D9,2500
2036,Electricity-Heat pump water,D10,2500
2036,Wood fuel-Performance boiler,D1,0
2036,Wood fuel-Performance boiler,D2,0
2036,Wood fuel-Performance boiler,D3,0
2036,Wood fuel-Performance boiler,D4,0
2036,Wood fuel-Performance boiler,D5,0
2036,Wood fuel-Performance boiler,D6,0
2036,Wood fuel-Performance boiler,D7,0
2036,Wood fuel-Performance boiler,D8,0
2036,Wood fuel-Performance boiler,D9,0
2036,Wood fuel-Performance boiler,D10,0
2037,Electricity-Heat pump water,D1,4000
2037,Electricity-Heat pump water,D2,4000
2037,Electricity-Heat pump water,D3,4000
2037,Electricity-Heat pump water,D4,4000
2037,Electricity-Heat pump water,D5,2500
2037,Electricity-Heat pump water,D6,2500
2037,Electricity-Heat pump water,D7,2500
2037,Electricity-Heat pump water,D8,2500
2037,Electricity-Heat pump water,D9,2500
2037,Electricity-Heat pump water,D10,2500
2037,Wood fuel-Performance boiler,D1,0
2037,Wood fuel-Performance boiler,D2,0
2037,Wood fuel-Performance boiler,D3,0
2037,Wood fuel-Performance boiler,D4,0
2037,Wood fuel-Performance boiler,D5,0
2037,Wood fuel-Performance boiler,D6,0
2037,Wood fuel-Performance boiler,D7,0
2037,Wood fuel-Performance boiler,D8,0
2037,Wood fuel-Performance boiler,D9,0
2037,Wood fuel-Performance boiler,D10,0
2038,Electricity-Heat pump water,D1,4000
2038,Electricity-Heat pump water,D2,4000
2038,Electricity-Heat pump water,D3,4000
2038,Electricity-Heat pump water,D4,4000
2038,Electricity-Heat pump water,D5,2500
2038,Electricity-Heat pump water,D6,2500
2038,Electricity-Heat pump water,D7,2500
2038,Electricity-Heat pump water,D8,2500
2038,Electricity-Heat pump water,D9,2500
2038,Electricity-Heat pump water,D10,2500
2038,Wood fuel-Performance boiler,D1,0
2038,Wood fuel-Performance boiler,D2,0
2038,Wood fuel-Performance boiler,D3,0
2038,Wood fuel-Performance boiler,D4,0
2038,Wood fuel-Performance boiler,D5,0
2038,Wood fuel-Performance boiler,D6,0
2038,Wood fuel-Performance boiler,D7,0
2038,Wood fuel-Performance boiler,D8,0
2038,Wood fuel-Performance boiler,D9,0
2038,Wood fuel-Performance boiler,D10,0
2039,Electricity-Heat pump water,D1,4000
2039,Electricity-Heat pump water,D2,4000
2039,Electricity-Heat pump water,D3,4000
2039,Electricity-Heat pump water,D4,4000
2039,Electricity-Heat pump water,D5,2500
2039,Electricity-Heat pump water,D6,2500
2039,Electricity-Heat pump water,D7,2500
2039,Electricity-Heat pump water,D8,2500
2039,Electricity-Heat pump water,D9,2500
2039,Electricity-Heat pump water,D10,2500
2039,Wood fuel-Performance boiler,D1,0
2039,Wood fuel-Performance boiler,D2,0
2039,Wood fuel-Performance boiler,D3,0
2039,Wood fuel-Performance boiler,D4,0
2039,Wood fuel-Performance boiler,D5,0
2039,Wood fuel-Performance boiler,D6,0
2039,Wood fuel-Performance boiler,D7,0
2039,Wood fuel-Performance boiler,D8,0
2039,Wood fuel-Performance boiler,D9,0
2039,Wood fuel-Performance boiler,D10,0
2040,Electricity-Heat pump water,D1,4000
2040,Electricity-Heat pump water,D2,4000
2040,Electricity-Heat pump water,D3,4000
2040,Electricity-Heat pump water,D4,4000
2040,Electricity-Heat pump water,D5,2500
2040,Electricity-Heat pump water,D6,2500
2040,Electricity-Heat pump water,D7,2500
2040,Electricity-Heat pump water,D8,2500
2040,Electricity-Heat pump water,D9,2500
2040,Electricity-Heat pump water,D10,2500
2040,Wood fuel-Performance boiler,D1,0
2040,Wood fuel-Performance boiler,D2,0
2040,Wood fuel-Performance boiler,D3,0
2040,Wood fuel-Performance boiler,D4,0
2040,Wood fuel-Performance boiler,D5,0
2040,Wood fuel-Performance boiler,D6,0
2040,Wood fuel-Performance boiler,D7,0
2040,Wood fuel-Performance boiler,D8,0
2040,Wood fuel-Performance boiler,D9,0
2040,Wood fuel-Performance boiler,D10,0
2041,Electricity-Heat pump water,D1,4000
2041,Electricity-Heat pump water,D2,4000
2041,Electricity-Heat pump water,D3,4000
2041,Electricity-Heat pump water,D4,4000
2041,Electricity-Heat pump water,D5,2500
2041,Electricity-Heat pump water,D6,2500
2041,Electricity-Heat pump water,D7,2500
2041,Electricity-Heat pump water,D8,2500
2041,Electricity-Heat pump water,D9,2500
2041,Electricity-Heat pump water,D10,2500
2041,Wood fuel-Performance boiler,D1,0
2041,Wood fuel-Performance boiler,D2,0
2041,Wood fuel-Performance boiler,D3,0
2041,Wood fuel-Performance boiler,D4,0
2041,Wood fuel-Performance boiler,D5,0
2041,Wood fuel-Performance boiler,D6,0
2041,Wood fuel-Performance boiler,D7,0
2041,Wood fuel-Performance boiler,D8,0
2041,Wood fuel-Performance boiler,D9,0
2041,Wood fuel-Performance boiler,D10,0
2042,Electricity-Heat pump water,D1,4000
2042,Electricity-Heat pump water,D2,4000
2042,Electricity-Heat pump water,D3,4000
2042,Electricity-Heat pump water,D4,4000
2042,Electricity-Heat pump water,D5,2500
2042,Electricity-Heat pump water,D6,2500
2042,Electricity-Heat pump water,D7,2500
2042,Electricity-Heat pump water,D8,2500
2042,Electricity-Heat pump water,D9,2500
2042,Electricity-Heat pump water,D10,2500
2042,Wood fuel-Performance boiler,D1,0
2042,Wood fuel-Performance boiler,D2,0
2042,Wood fuel-Performance boiler,D3,0
2042,Wood fuel-Performance boiler,D4,0
2042,Wood fuel-Performance boiler,D5,0
2042,Wood fuel-Performance boiler,D6,0
2042,Wood fuel-Performance boiler,D7,0
2042,Wood fuel-Performance boiler,D8,0
2042,Wood fuel-Performance boiler,D9,0
2042,Wood fuel-Performance boiler,D10,0
2043,Electricity-Heat pump water,D1,4000
2043,Electricity-Heat pump water,D2,4000
2043,Electricity-Heat pump water,D3,4000
2043,Electricity-Heat pump water,D4,4000
2043,Electricity-Heat pump water,D5,2500
2043,Electricity-Heat pump water,D6,2500
2043,Electricity-Heat pump water,D7,2500
2043,Electricity-Heat pump water,D8,2500
2043,Electricity-Heat pump water,D9,2500
2043,Electricity-Heat pump water,D10,2500
2043,Wood fuel-Performance boiler,D1,0
2043,Wood fuel-Performance boiler,D2,0
2043,Wood fuel-Performance boiler,D3,0
2043,Wood fuel-Performance boiler,D4,0
2043,Wood fuel-Performance boiler,D5,0
2043,Wood fuel-Performance boiler,D6,0
2043,Wood fuel-Performance boiler,D7,0
2043,Wood fuel-Performance boiler,D8,0
2043,Wood fuel-Performance boiler,D9,0
2043,Wood fuel-Performance boiler,D10,0
2044,Electricity-Heat pump water,D1,4000
2044,Electricity-Heat pump water,D2,4000
2044,Electricity-Heat pump water,D3,4000
2044,Electricity-Heat pump water,D4,4000
2044,Electricity-Heat pump water,D5,2500
2044,Electricity-Heat pump water,D6,2500
2044,Electricity-Heat pump water,D7,2500
2044,Electricity-Heat pump water,D8,2500
2044,Electricity-Heat pump water,D9,2500
2044,Electricity-Heat pump water,D10,2500
2044,Wood fuel-Performance boiler,D1,0
2044,Wood fuel-Performance boiler,D2,0
2044,Wood fuel-Performance boiler,D3,0
2044,Wood fuel-Performance boiler,D4,0
2044,Wood fuel-Performance boiler,D5,0
2044,Wood fuel-Performance boiler,D6,0
2044,Wood fuel-Performance boiler,D7,0
2044,Wood fuel-Performance boiler,D8,0
2044,Wood fuel-Performance boiler,D9,0
2044,Wood fuel-Performance boiler,D10,0
2045,Electricity-Heat pump water,D1,4000
2045,Electricity-Heat pump water,D2,4000
2045,Electricity-Heat pump water,D3,4000
2045,Electricity-Heat pump water,D4,4000
2045,Electricity-Heat pump water,D5,2500
2045,Electricity-Heat pump water,D6,2500
2045,Electricity-Heat pump water,D7,2500
2045,Electricity-Heat pump water,D8,2500
2045,Electricity-Heat pump water,D9,2500
2045,Electricity-Heat pump water,D10,2500
2045,Wood fuel-Performance boiler,D1,0
2045,Wood fuel-Performance boiler,D2,0
2045,Wood fuel-Performance boiler,D3,0
2045,Wood fuel-Performance boiler,D4,0
2045,Wood fuel-Performance boiler,D5,0
2045,Wood fuel-Performance boiler,D6,0
2045,Wood fuel-Performance boiler,D7,0
2045,Wood fuel-Performance boiler,D8,0
2045,Wood fuel-Performance boiler,D9,0
2045,Wood fuel-Performance boiler,D10,0
2046,Electricity-Heat pump water,D1,4000
2046,Electricity-Heat pump water,D2,4000
2046,Electricity-Heat pump water,D3,4000
2046,Electricity-Heat pump water,D4,4000
2046,Electricity-Heat pump water,D5,2500
2046,Electricity-Heat pump water,D6,2500
2046,Electricity-Heat pump water,D7,2500
2046,Electricity-Heat pump water,D8,2500
2046,Electricity-Heat pump water,D9,2500
2046,Electricity-Heat pump water,D10,2500
2046,Wood fuel-Performance boiler,D1,0
2046,Wood fuel-Performance boiler,D2,0
2046,Wood fuel-Performance boiler,D3,0
2046,Wood fuel-Performance boiler,D4,0
2046,Wood fuel-Performance boiler,D5,0
2046,Wood fuel-Performance boiler,D6,0
2046,Wood fuel-Performance boiler,D7,0
2046,Wood fuel-Performance boiler,D8,0
2046,Wood fuel-Performance boiler,D9,0
2046,Wood fuel-Performance boiler,D10,0
2047,Electricity-Heat pump water,D1,4000
2047,Electricity-Heat pump water,D2,4000
2047,Electricity-Heat pump water,D3,4000
2047,Electricity-Heat pump water,D4,4000
2047,Electricity-Heat pump water,D5,2500
2047,Electricity-Heat pump water,D6,2500
2047,Electricity-Heat pump water,D7,2500
2047,Electricity-Heat pump water,D8,2500
2047,Electricity-Heat pump water,D9,2500
2047,Electricity-Heat pump water,D10,2500
2047,Wood fuel-Performance boiler,D1,0
2047,Wood fuel-Performance boiler,D2,0
2047,Wood fuel-Performance boiler,D3,0
2047,Wood fuel-Performance boiler,D4,0
2047,Wood fuel-Performance boiler,D5,0
2047,Wood fuel-Performance boiler,D6,0
2047,Wood fuel-Performance boiler,D7,0
2047,Wood fuel-Performance boiler,D8,0
2047,Wood fuel-Performance boiler,D9,0
2047,Wood fuel-Performance boiler,D10,0
2048,Electricity-Heat pump water,D1,4000
2048,Electricity-Heat pump water,D2,4000
2048,Electricity-Heat pump water,D3,4000
2048,Electricity-Heat pump water,D4,4000
2048,Electricity-Heat pump water,D5,2500
2048,Electricity-Heat pump water,D6,2500
2048,Electricity-Heat pump water,D7,2500
2048,Electricity-Heat pump water,D8,2500
2048,Electricity-Heat pump water,D9,2500
2048,Electricity-Heat pump water,D10,2500
2048,Wood fuel-Performance boiler,D1,0
2048,Wood fuel-Performance boiler,D2,0
2048,Wood fuel-Performance boiler,D3,0
2048,Wood fuel-Performance boiler,D4,0
2048,Wood fuel-Performance boiler,D5,0
2048,Wood fuel-Performance boiler,D6,0
2048,Wood fuel-Performance boiler,D7,0
2048,Wood fuel-Performance boiler,D8,0
2048,Wood fuel-Performance boiler,D9,0
2048,Wood fuel-Performance boiler,D10,0
2049,Electricity-Heat pump water,D1,4000
2049,Electricity-Heat pump water,D2,4000
2049,Electricity-Heat pump water,D3,4000
2049,Electricity-Heat pump water,D4,4000
2049,Electricity-Heat pump water,D5,2500
2049,Electricity-Heat pump water,D6,2500
2049,Electricity-Heat pump water,D7,2500
2049,Electricity-Heat pump water,D8,2500
2049,Electricity-Heat pump water,D9,2500
2049,Electricity-Heat pump water,D10,2500
2049,Wood fuel-Performance boiler,D1,0
2049,Wood fuel-Performance boiler,D2,0
2049,Wood fuel-Performance boiler,D3,0
2049,Wood fuel-Performance boiler,D4,0
2049,Wood fuel-Performance boiler,D5,0
2049,Wood fuel-Performance boiler,D6,0
2049,Wood fuel-Performance boiler,D7,0
2049,Wood fuel-Performance boiler,D8,0
2049,Wood fuel-Performance boiler,D9,0
2049,Wood fuel-Performance boiler,D10,0
2050,Electricity-Heat pump water,D1,4000
2050,Electricity-Heat pump water,D2,4000
2050,Electricity-Heat pump water,D3,4000
2050,Electricity-Heat pump water,D4,4000
