Year,Heating system final,Income owner,
2050,Electricity-Heat pump water,D5,2500
2050,Electricity-Heat pump water,D6,2500
2050,Electricity-Heat pump water,D7,2500
2050,Electricity-Heat pump water,D8,2500
2050,Electricity-Heat pump water,D9,2500
2050,Electricity-Heat pump water,D10,2500
2050,Wood fuel-Performance boiler,D1,0
2050,Wood fuel-Performance boiler,D2,0
2050,Wood fuel-Performance boiler,D3,0
2050,Wood fuel-Performance boiler,D4,0
2050,Wood fuel-Performance boiler,D5,0
2050,Wood fuel-Performance boiler,D6,0
2050,Wood fuel-Performance boiler,D7,0
2050,Wood fuel-Performance boiler,D8,0
2050,Wood fuel-Performance boiler,D9,0
2050,Wood fuel-Performance boiler,D10,0
