Housing type,Income owner,
Single-family,D1,3000
Single-family,D2,3000
Single-family,D3,3000
Single-family,D4,3000
Single-family,D5,3000
Single-family,D6,3000
Single-family,D7,3000
Single-family,D8,3000
Single-family,D9,3000
Single-family,D10,3000
