Housing type,Income owner,
Multi-family,D1,2812
Multi-family,D2,2812
Multi-family,D3,2812
Multi-family,D4,2812
Multi-family,D5,2812
Multi-family,D6,2812
Multi-family,D7,2812
Multi-family,D8,2812
Multi-family,D9,2812
Multi-family,D10,2812
