Housing type,Income owner,Wall,Roof,Floor,Windows
Single-family,D1,3.75,1.75,0,0
Single-family,D2,3.75,1.75,0,0
Single-family,D3,3.75,1.75,0,0
Single-family,D4,3.75,1.75,0,0
Single-family,D5,3.75,1.75,0,0
Single-family,D6,3.75,1.75,0,0
Single-family,D7,3.75,1.75,0,0
Single-family,D8,3.75,1.75,0,0
Single-family,D9,3.75,1.75,0,0
Single-family,D10,3.75,1.75,0,0
