Housing type,Income owner,
Multi-family,D1,7500
Multi-family,D2,7500
Multi-family,D3,7500
Multi-family,D4,7500
Multi-family,D5,7500
Multi-family,D6,7500
Multi-family,D7,7500
Multi-family,D8,7500
Multi-family,D9,7500
Multi-family,D10,7500
