Housing type,Income owner,
Single-family,D1,1
Single-family,D2,1
Single-family,D3,0.8
Single-family,D4,0.8
Single-family,D5,0.6
Single-family,D6,0.6
Single-family,D7,0.6
Single-family,D8,0.3
Single-family,D9,0.3
Single-family,D10,0.3
