,Electricity,Natural gas,Oil fuel,Wood fuel
2017,0.617179,0.370574,0.370574,0
2018,0.617179,0.370574,0.370574,0
2019,0.617179,0.370574,0.370574,0
2020,0.617179,0.370574,0.370574,0
2021,0.617179,0.370574,0.370574,0
2022,0.77436,0.7857,0.7857,0
2023,0.77436,0.7857,0.7857,0
2024,0.77436,0.7857,0.7857,0
2025,0.77436,0.7857,0.7857,0
2026,0.77436,0.7857,0.7857,0
2027,0.77436,0.7857,0.7857,0
2028,0.77436,0.7857,0.7857,0
2029,0.77436,0.7857,0.7857,0
2030,0.77436,0.7857,0.7857,0
2031,0.77436,0.7857,0.7857,0
2032,0.77436,0.7857,0.7857,0
2033,0.77436,0.7857,0.7857,0
2034,0.77436,0.7857,0.7857,0
2035,0.77436,0.7857,0.7857,0
2036,0.77436,0.7857,0.7857,0
2037,0.77436,0.7857,0.7857,0
2038,0.77436,0.7857,0.7857,0
2039,0.77436,0.7857,0.7857,0
2040,0.77436,0.7857,0.7857,0
2041,0.77436,0.7857,0.7857,0
2042,0.77436,0.7857,0.7857,0
2043,0.77436,0.7857,0.7857,0
2044,0.77436,0.7857,0.7857,0
2045,0.77436,0.7857,0.7857,0
2046,0.77436,0.7857,0.7857,0
2047,0.77436,0.7857,0.7857,0
2048,0.77436,0.7857,0.7857,0
2049,0.77436,0.7857,0.7857,0
2050,0.77436,0.7857,0.7857,0
