Housing type,Income owner,
Multi-family,D1,1875
Multi-family,D2,1875
Multi-family,D3,1875
Multi-family,D4,1875
Multi-family,D5,1875
Multi-family,D6,1875
Multi-family,D7,1875
Multi-family,D8,1875
Multi-family,D9,1875
Multi-family,D10,1875
