Housing type,Income owner,
Multi-family,D1,0.075
Multi-family,D2,0.075
Multi-family,D3,0.075
Multi-family,D4,0.075
Multi-family,D5,0.075
Multi-family,D6,0.075
Multi-family,D7,0.075
Multi-family,D8,0.075
Multi-family,D9,0.075
Multi-family,D10,0.075
