Housing type,Heating system final,Year,H1a,H1b,H1c,H2a,H2b,H2c,H2d,H3
Single-family,Electricity-Heat pump water,2017,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2018,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2019,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2020,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2021,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2022,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2023,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2024,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2025,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2026,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2027,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2028,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2029,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2030,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2031,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2032,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2033,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2034,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2035,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2036,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2037,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2038,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2039,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2040,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2041,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2042,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2043,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2044,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2045,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2046,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2047,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2048,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2049,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Single-family,Electricity-Heat pump water,2050,68555.5,68555.5,68555.5,56119.05,56119.05,56119.05,56119.05,37378.25
Multi-family,Electricity-Heat pump water,2017,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2018,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2019,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2020,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2021,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2022,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2023,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2024,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2025,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2026,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2027,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2028,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2029,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2030,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2031,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2032,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2033,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2034,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2035,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2036,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2037,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2038,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2039,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2040,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2041,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2042,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2043,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2044,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2045,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2046,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2047,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2048,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2049,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Multi-family,Electricity-Heat pump water,2050,36760.5333333333,36760.5333333333,36760.5333333333,30125.3333333333,30125.3333333333,30125.3333333333,30125.3333333333,20096.2666666667
Single-family,Electricity-Heat pump air,2017,81698.175,81698.175,81698.175,66815.775,66815.775,66815.775,66815.775,44543.85
Single-family,Electricity-Heat pump air,2018,81698.175,81698.175,81698.175,66815.775,66815.775,66815.775,66815.775,44543.85
Single-family,Electricity-Heat pump air,2019,81698.175,81698.175,81698.175,66815.775,66815.775,66815.775,66815.775,44543.85
Single-family,Electricity-Heat pump air,2020,81698.175,81698.175,81698.175,66815.775,66815.775,66815.775,66815.775,44543.85
Single-family,Electricity-Heat pump air,2021,81698.175,81698.175,81698.175,66815.775,66815.775,66815.775,66815.775,44543.85
