Insulation,Year,H1a,H1b,H1c,H2a,H2b,H2c,H2d,H3
Wall,2017,3100,3100,3100,2550,2550,2550,2550,1700
Wall,2018,3100,3100,3100,2550,2550,2550,2550,1700
Wall,2019,3100,3100,3100,2550,2550,2550,2550,1700
Wall,2020,3100,3100,3100,2550,2550,2550,2550,1700
Wall,2021,3100,3100,3100,2550,2550,2550,2550,1700
Wall,2022,3100,3100,3100,2550,2550,2550,2550,1700
Wall,2023,1600,1600,1600,1300,1300,1300,1300,880
Wall,2024,1600,1600,1600,1300,1300,1300,1300,880
Wall,2025,1600,1600,1600,1300,1300,1300,1300,880
Wall,2026,1600,1600,1600,1300,1300,1300,1300,880
Wall,2027,1600,1600,1600,1300,1300,1300,1300,880
Wall,2028,1600,1600,1600,1300,1300,1300,1300,880
Wall,2029,1600,1600,1600,1300,1300,1300,1300,880
Wall,2030,1600,1600,1600,1300,1300,1300,1300,880
Wall,2031,1600,1600,1600,1300,1300,1300,1300,880
Wall,2032,1600,1600,1600,1300,1300,1300,1300,880
Wall,2033,1600,1600,1600,1300,1300,1300,1300,880
Wall,2034,1600,1600,1600,1300,1300,1300,1300,880
Wall,2035,1600,1600,1600,1300,1300,1300,1300,880
Wall,2036,1600,1600,1600,1300,1300,1300,1300,880
Wall,2037,1600,1600,1600,1300,1300,1300,1300,880
Wall,2038,1600,1600,1600,1300,1300,1300,1300,880
Wall,2039,1600,1600,1600,1300,1300,1300,1300,880
Wall,2040,1600,1600,1600,1300,1300,1300,1300,880
Wall,2041,1600,1600,1600,1300,1300,1300,1300,880
Wall,2042,1600,1600,1600,1300,1300,1300,1300,880
Wall,2043,1600,1600,1600,1300,1300,1300,1300,880
Wall,2044,1600,1600,1600,1300,1300,1300,1300,880
Wall,2045,1600,1600,1600,1300,1300,1300,1300,880
Wall,2046,1600,1600,1600,1300,1300,1300,1300,880
Wall,2047,1600,1600,1600,1300,1300,1300,1300,880
Wall,2048,1600,1600,1600,1300,1300,1300,1300,880
Wall,2049,1600,1600,1600,1300,1300,1300,1300,880
Wall,2050,1600,1600,1600,1300,1300,1300,1300,880
Roof,2017,1700,1700,1700,1400,1400,1400,1400,900
Roof,2018,1700,1700,1700,1400,1400,1400,1400,900
Roof,2019,1700,1700,1700,1400,1400,1400,1400,900
Roof,2020,1700,1700,1700,1400,1400,1400,1400,900
Roof,2021,1700,1700,1700,1400,1400,1400,1400,900
Roof,2022,1700,1700,1700,1400,1400,1400,1400,900
Roof,2023,1700,1700,1700,1400,1400,1400,1400,900
Roof,2024,1700,1700,1700,1400,1400,1400,1400,900
Roof,2025,1700,1700,1700,1400,1400,1400,1400,900
Roof,2026,1700,1700,1700,1400,1400,1400,1400,900
Roof,2027,1700,1700,1700,1400,1400,1400,1400,900
Roof,2028,1700,1700,1700,1400,1400,1400,1400,900
Roof,2029,1700,1700,1700,1400,1400,1400,1400,900
Roof,2030,1700,1700,1700,1400,1400,1400,1400,900
Roof,2031,1700,1700,1700,1400,1400,1400,1400,900
Roof,2032,1700,1700,1700,1400,1400,1400,1400,900
Roof,2033,1700,1700,1700,1400,1400,1400,1400,900
Roof,2034,1700,1700,1700,1400,1400,1400,1400,900
Roof,2035,1700,1700,1700,1400,1400,1400,1400,900
Roof,2036,1700,1700,1700,1400,1400,1400,1400,900
Roof,2037,1700,1700,1700,1400,1400,1400,1400,900
Roof,2038,1700,1700,1700,1400,1400,1400,1400,900
Roof,2039,1700,1700,1700,1400,1400,1400,1400,900
Roof,2040,1700,1700,1700,1400,1400,1400,1400,900
Roof,2041,1700,1700,1700,1400,1400,1400,1400,900
Roof,2042,1700,1700,1700,1400,1400,1400,1400,900
Roof,2043,1700,1700,1700,1400,1400,1400,1400,900
Roof,2044,1700,1700,1700,1400,1400,1400,1400,900
Roof,2045,1700,1700,1700,1400,1400,1400,1400,900
Roof,2046,1700,1700,1700,1400,1400,1400,1400,900
Roof,2047,1700,1700,1700,1400,1400,1400,1400,900
Roof,2048,1700,1700,1700,1400,1400,1400,1400,900
Roof,2049,1700,1700,1700,1400,1400,1400,1400,900
Roof,2050,1700,1700,1700,1400,1400,1400,1400,900
Floor,2017,1600,1600,1600,1300,1300,1300,1300,900
Floor,2018,1600,1600,1600,1300,1300,1300,1300,900
Floor,2019,1600,1600,1600,1300,1300,1300,1300,900
Floor,2020,1600,1600,1600,1300,1300,1300,1300,900
Floor,2021,1600,1600,1600,1300,1300,1300,1300,900
Floor,2022,1600,1600,1600,1300,1300,1300,1300,900
Floor,2023,1100,1100,1100,890,890,890,890,590
Floor,2024,1100,1100,1100,890,890,890,890,590
Floor,2025,1100,1100,1100,890,890,890,890,590
Floor,2026,1100,1100,1100,890,890,890,890,590
Floor,2027,1100,1100,1100,890,890,890,890,590
Floor,2028,1100,1100,1100,890,890,890,890,590
Floor,2029,1100,1100,1100,890,890,890,890,590
Floor,2030,1100,1100,1100,890,890,890,890,590
Floor,2031,1100,1100,1100,890,890,890,890,590
Floor,2032,1100,1100,1100,890,890,890,890,590
