Housing type,Income owner,
Multi-family,D1,6250
Multi-family,D2,6250
Multi-family,D3,6250
Multi-family,D4,6250
Multi-family,D5,6250
Multi-family,D6,6250
Multi-family,D7,6250
Multi-family,D8,6250
Multi-family,D9,6250
Multi-family,D10,6250
