Year,Income owner,Heating system final,MPR
2050,D7,Electricity-Heat pump water,2000
2050,D8,Electricity-Heat pump water,2000
2050,D9,Electricity-Heat pump water,0
2050,D10,Electricity-Heat pump water,0
2050,D1,Wood fuel-Performance boiler,0
2050,D2,Wood fuel-Performance boiler,0
2050,D3,Wood fuel-Performance boiler,0
2050,D4,Wood fuel-Performance boiler,0
2050,D5,Wood fuel-Performance boiler,0
2050,D6,Wood fuel-Performance boiler,0
2050,D7,Wood fuel-Performance boiler,0
2050,D8,Wood fuel-Performance boiler,0
2050,D9,Wood fuel-Performance boiler,0
2050,D10,Wood fuel-Performance boiler,0
