Housing type,Income owner,
Multi-family,D1,11250
Multi-family,D2,11250
Multi-family,D3,11250
Multi-family,D4,11250
Multi-family,D5,11250
Multi-family,D6,11250
Multi-family,D7,11250
Multi-family,D8,11250
Multi-family,D9,11250
Multi-family,D10,11250
