Housing type,Income owner,
Multi-family,D1,22500
Multi-family,D2,22500
Multi-family,D3,22500
Multi-family,D4,22500
Multi-family,D5,22500
Multi-family,D6,22500
Multi-family,D7,22500
Multi-family,D8,22500
Multi-family,D9,22500
Multi-family,D10,22500
