Housing type,Income owner,
Multi-family,D1,15000
Multi-family,D2,15000
Multi-family,D3,15000
Multi-family,D4,15000
Multi-family,D5,15000
Multi-family,D6,15000
Multi-family,D7,15000
Multi-family,D8,15000
Multi-family,D9,15000
Multi-family,D10,15000
