Housing type,Income owner,
Single-family,D1,0.15
Single-family,D2,0.15
Single-family,D3,0.1
Single-family,D4,0.1
Single-family,D5,0.075
Single-family,D6,0.075
Single-family,D7,0.075
Single-family,D8,0.0375
Single-family,D9,0.0375
Single-family,D10,0.0375
