,carbon_tax_variant,cee_variant,obligation_variant,zil_variant
S0,carbon_tax_vsc,white_certificate,obligation,zil_eptz
S1,carbon_tax_vsc,white_certificate,obligation,zil_khw
S2,carbon_tax_vsc,white_certificate,obligation,no_zil_variant
S3,carbon_tax_vsc,white_certificate,obligation_high,zil_eptz
S4,carbon_tax_vsc,white_certificate,obligation_high,zil_khw
S5,carbon_tax_vsc,white_certificate,obligation_high,no_zil_variant
S6,carbon_tax_vsc,white_certificate,no_obligation_variant,zil_eptz
S7,carbon_tax_vsc,white_certificate,no_obligation_variant,zil_khw
S8,carbon_tax_vsc,white_certificate,no_obligation_variant,no_zil_variant
S9,carbon_tax_vsc,white_certificate_high,obligation,zil_eptz
S10,carbon_tax_vsc,white_certificate_high,obligation,zil_khw
S11,carbon_tax_vsc,white_certificate_high,obligation,no_zil_variant
S12,carbon_tax_vsc,white_certificate_high,obligation_high,zil_eptz
S13,carbon_tax_vsc,white_certificate_high,obligation_high,zil_khw
S14,carbon_tax_vsc,white_certificate_high,obligation_high,no_zil_variant
S15,carbon_tax_vsc,white_certificate_high,no_obligation_variant,zil_eptz
S16,carbon_tax_vsc,white_certificate_high,no_obligation_variant,zil_khw
S17,carbon_tax_vsc,white_certificate_high,no_obligation_variant,no_zil_variant
S18,carbon_tax_vsc,no_cee_variant,obligation,zil_eptz
S19,carbon_tax_vsc,no_cee_variant,obligation,zil_khw
S20,carbon_tax_vsc,no_cee_variant,obligation,no_zil_variant
S21,carbon_tax_vsc,no_cee_variant,obligation_high,zil_eptz
S22,carbon_tax_vsc,no_cee_variant,obligation_high,zil_khw
S23,carbon_tax_vsc,no_cee_variant,obligation_high,no_zil_variant
S24,carbon_tax_vsc,no_cee_variant,no_obligation_variant,zil_eptz
S25,carbon_tax_vsc,no_cee_variant,no_obligation_variant,zil_khw
S26,carbon_tax_vsc,no_cee_variant,no_obligation_variant,no_zil_variant
S27,carbon_tax_vsc_recycling,white_certificate,obligation,zil_eptz
S28,carbon_tax_vsc_recycling,white_certificate,obligation,zil_khw
S29,carbon_tax_vsc_recycling,white_certificate,obligation,no_zil_variant
S30,carbon_tax_vsc_recycling,white_certificate,obligation_high,zil_eptz
S31,carbon_tax_vsc_recycling,white_certificate,obligation_high,zil_khw
S32,carbon_tax_vsc_recycling,white_certificate,obligation_high,no_zil_variant
S33,carbon_tax_vsc_recycling,white_certificate,no_obligation_variant,zil_eptz
S34,carbon_tax_vsc_recycling,white_certificate,no_obligation_variant,zil_khw
S35,carbon_tax_vsc_recycling,white_certificate,no_obligation_variant,no_zil_variant
S36,carbon_tax_vsc_recycling,white_certificate_high,obligation,zil_eptz
S37,carbon_tax_vsc_recycling,white_certificate_high,obligation,zil_khw
S38,carbon_tax_vsc_recycling,white_certificate_high,obligation,no_zil_variant
S39,carbon_tax_vsc_recycling,white_certificate_high,obligation_high,zil_eptz
S40,carbon_tax_vsc_recycling,white_certificate_high,obligation_high,zil_khw
S41,carbon_tax_vsc_recycling,white_certificate_high,obligation_high,no_zil_variant
S42,carbon_tax_vsc_recycling,white_certificate_high,no_obligation_variant,zil_eptz
S43,carbon_tax_vsc_recycling,white_certificate_high,no_obligation_variant,zil_khw
S44,carbon_tax_vsc_recycling,white_certificate_high,no_obligation_variant,no_zil_variant
S45,carbon_tax_vsc_recycling,no_cee_variant,obligation,zil_eptz
S46,carbon_tax_vsc_recycling,no_cee_variant,obligation,zil_khw
S47,carbon_tax_vsc_recycling,no_cee_variant,obligation,no_zil_variant
S48,carbon_tax_vsc_recycling,no_cee_variant,obligation_high,zil_eptz
S49,carbon_tax_vsc_recycling,no_cee_variant,obligation_high,zil_khw
S50,carbon_tax_vsc_recycling,no_cee_variant,obligation_high,no_zil_variant
S51,carbon_tax_vsc_recycling,no_cee_variant,no_obligation_variant,zil_eptz
S52,carbon_tax_vsc_recycling,no_cee_variant,no_obligation_variant,zil_khw
S53,carbon_tax_vsc_recycling,no_cee_variant,no_obligation_variant,no_zil_variant
S54,no_carbon_tax_variant,white_certificate,obligation,zil_eptz
S55,no_carbon_tax_variant,white_certificate,obligation,zil_khw
S56,no_carbon_tax_variant,white_certificate,obligation,no_zil_variant
S57,no_carbon_tax_variant,white_certificate,obligation_high,zil_eptz
S58,no_carbon_tax_variant,white_certificate,obligation_high,zil_khw
S59,no_carbon_tax_variant,white_certificate,obligation_high,no_zil_variant
S60,no_carbon_tax_variant,white_certificate,no_obligation_variant,zil_eptz
S61,no_carbon_tax_variant,white_certificate,no_obligation_variant,zil_khw
S62,no_carbon_tax_variant,white_certificate,no_obligation_variant,no_zil_variant
S63,no_carbon_tax_variant,white_certificate_high,obligation,zil_eptz
S64,no_carbon_tax_variant,white_certificate_high,obligation,zil_khw
S65,no_carbon_tax_variant,white_certificate_high,obligation,no_zil_variant
S66,no_carbon_tax_variant,white_certificate_high,obligation_high,zil_eptz
S67,no_carbon_tax_variant,white_certificate_high,obligation_high,zil_khw
S68,no_carbon_tax_variant,white_certificate_high,obligation_high,no_zil_variant
S69,no_carbon_tax_variant,white_certificate_high,no_obligation_variant,zil_eptz
S70,no_carbon_tax_variant,white_certificate_high,no_obligation_variant,zil_khw
S71,no_carbon_tax_variant,white_certificate_high,no_obligation_variant,no_zil_variant
S72,no_carbon_tax_variant,no_cee_variant,obligation,zil_eptz
S73,no_carbon_tax_variant,no_cee_variant,obligation,zil_khw
S74,no_carbon_tax_variant,no_cee_variant,obligation,no_zil_variant
S75,no_carbon_tax_variant,no_cee_variant,obligation_high,zil_eptz
S76,no_carbon_tax_variant,no_cee_variant,obligation_high,zil_khw
S77,no_carbon_tax_variant,no_cee_variant,obligation_high,no_zil_variant
S78,no_carbon_tax_variant,no_cee_variant,no_obligation_variant,zil_eptz
S79,no_carbon_tax_variant,no_cee_variant,no_obligation_variant,zil_khw
S80,no_carbon_tax_variant,no_cee_variant,no_obligation_variant,no_zil_variant
