Housing type,Income owner, Serenite
Single-family,D1,17500
Single-family,D2,17500
Single-family,D3,12500
Single-family,D4,12500
Single-family,D5,10000
Single-family,D6,10000
Single-family,D7,10000
Single-family,D8,10000
Single-family,D9,0
Single-family,D10,0
