Housing type,Income owner, Serenite
Single-family,D1,0.5
Single-family,D2,0.5
Single-family,D3,0.35
Single-family,D4,0.35
Single-family,D5,0
Single-family,D6,0
Single-family,D7,0
Single-family,D8,0
Single-family,D9,0
Single-family,D10,0
