Housing type,Income owner,
Multi-family,D1,25000
Multi-family,D2,25000
Multi-family,D3,25000
Multi-family,D4,25000
Multi-family,D5,25000
Multi-family,D6,25000
Multi-family,D7,25000
Multi-family,D8,25000
Multi-family,D9,25000
Multi-family,D10,25000
