Zone_Climatique,Season,Urban,Rural,All
H1a,Spring,3.7475442032373336,3.8533556466875583,3.8004499249624457
H1a,Summer,3.25133588134828,3.2740426523862234,3.262689266867252
H1a,Autumn,3.5283225658655724,3.69380723019984,3.6110648980327062
H1a,Winter,4.189574417797757,4.451131677688427,4.320353047743092
H1b,Spring,2.837155993338858,2.9834087019064843,2.910282347622671
H1b,Summer,2.4093858943699096,2.467401131269856,2.438393512819883
H1b,Autumn,2.439782090889072,2.7418424777154953,2.5908122843022836
H1b,Winter,3.037727180860123,3.383569391954927,3.210648286407525
H1c,Spring,2.676434344065663,2.6864388423024974,2.6814365931840802
H1c,Summer,2.2556718935839624,2.2457575103936107,2.2507147019887865
H1c,Autumn,2.3011667691523945,2.351085525115885,2.32612614713414
H1c,Winter,2.618210516209715,2.6583769608049357,2.6382937385073255
H2a,Spring,4.344051762832933,4.547562490955177,4.445807126894055
H2a,Summer,3.7198989483804064,3.8049725505742895,3.7624357494773477
H2a,Autumn,4.034261859755557,4.368464625948797,4.201363242852177
H2a,Winter,4.770837527394224,5.213699328353498,4.992268427873861
H2b,Spring,3.7161717857749665,3.5782283590243154,3.6472000723996407
H2b,Summer,3.2645426979510264,3.0322354450988693,3.1483890715249476
H2b,Autumn,3.381808896904647,3.224598718606799,3.3032038077557226
H2b,Winter,4.008590291401875,3.877435383408311,3.9430128374050932
H2c,Spring,3.2500437691038715,2.986172356879663,3.1181080629917672
H2c,Summer,2.766331594130507,2.4798776062010517,2.6231046001657794
H2c,Autumn,2.719752897393492,2.5664481550149567,2.6431005262042246
H2c,Winter,3.0205886971722746,2.8596058932586073,2.940097295215441
H2d,Spring,3.7256120992534036,3.153144100258746,3.439378099756075
H2d,Summer,3.4077404479578393,2.82250862999844,3.1151245389781397
H2d,Autumn,3.3056682052972857,2.7299886164798655,3.0178284108885753
H2d,Winter,3.742668121293499,2.951105818240816,3.3468869697671577
H3,Spring,3.814342019865857,3.733685070713292,3.7740135452895744
H3,Summer,3.413873600491226,3.286409549002984,3.350141574747105
H3,Autumn,3.476355608859796,3.318337453149064,3.3973465310044304
H3,Winter,3.747083583666417,3.6889283833657727,3.718005983516095
