,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382359406560866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3465207656271758,0.0,0.0,1.4905073346047004,0.0,2.6286402983798247,0.0,0.0,0.0,0.0,0.0,1.6073689195784056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3863478583258839,0.0,0.0,0.0,0.0,0.8517185904017914,3.11628962468286,1.213189846719402,0.0,0.0,0.0,2.4490425533805222
d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405668616365659,0.0,0.0,0.016926289023604824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8640735399232717,0.0,0.14037297465970155,0.20098243853734132,5.077065384303346,1.8463358081997114,0.0,3.5868043512551893,0.0,10.434408172607231,2.6282820903057456,0.0,2.2665248714140525,0.0,0.0,7.583502803204485,0.0,2.7300921135977347,1.1450798425635682,0.0,0.3273908628718978,0.0,0.0,0.0,5.555028194283782,0.8218726258973525,0.15449927170213584,0.0,0.0,6.951377316038965,12.229661009505001,3.786758521497788,0.0,0.7133513579497972,0.0686957231673695,9.31124290722035
d3,0.0,0.0,0.10000000000000142,0.0,0.0,0.0,0.0,0.0,0.0,0.4467566183621834,0.0,0.0,0.0,0.0,0.41289281740407446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.711940053436848,0.0,0.0,1.0732752902780582,0.0,0.0,0.0,0.0,0.0,0.0007450725007913661,0.0,0.0,1.789579343806821,0.06869781342644998,0.9598633205169627,1.3308494401726882,8.775450380706438,4.204420532219508,0.0,5.348334611694579,0.9411921990886825,22.042122107923724,4.534297415862337,0.7962033773885224,5.45570343425803,0.0,0.13955483872693364,12.200491599247911,0.0,5.153711294472515,2.2376415027512024,0.0,2.3166795782143943,0.0,0.0,0.0,10.291003294578701,2.674689263710029,0.9578780612434308,0.0760142063446132,0.0,10.73856573981696,16.536714369406834,7.41902113762967,0.13584956277479066,1.803629552892854,1.1746405425201196,12.919633386972148
d4,0.0,0.0,0.5284818582800135,0.0,0.0,0.0,0.0,0.0,0.0,2.206168940266707,0.0,0.0,0.0,0.0,0.808405473476892,0.0,0.0,0.5916432537202034,0.0,0.0,0.0,0.0,18.75415945008234,0.0,0.0,3.136714572780079,0.0,0.0,0.0,0.0,0.4053760367889794,0.6513425094739347,0.38130484911171436,0.0,3.3257140493223893,0.5703489022519221,1.948356602293856,2.8123930796554824,11.601659602597863,5.949826433287001,0.0,7.985098383563134,2.621536083819475,28.435488097196174,6.833115443461679,2.044133139615468,10.004757178394598,0.0,0.6215921102989306,17.835805108478628,0.0,7.5658395629075414,3.22449980695491,0.2561019052041438,4.16433062826631,0.2778605477000262,0.0,0.0,16.134964652190508,3.655123205896274,2.781827381360202,0.9843176063341375,0.14659969391693295,14.856263377586583,20.98767264288523,14.325339124524962,1.7022012889963065,4.455799478067732,2.4740854937560712,15.634207132867193
d5,0.0,0.0,1.4590722534596132,0.0,0.0,0.0,0.0,0.0,0.0,3.6852569001476887,0.0,0.3734089958894593,0.0,0.09802281837693272,1.3251315366082217,0.0,0.0,1.4336077084235654,0.0,0.0,0.0,0.07872328908034376,27.197295115487705,0.0,0.34659922334471815,5.447810121104741,0.0,0.0,0.027455910393900496,0.14087282334291018,0.8267742533630766,1.467113112175202,0.9424003160045515,0.1031637991638732,5.227756517984865,1.0405865658822613,3.2824732801797794,4.1489492792027995,13.874106755223593,7.656849423143587,0.0,10.398075628201664,4.277308493949246,32.36378671330671,8.941026596071193,3.6222616213398133,13.044464224575687,0.0,1.1719403043181558,20.61086108650036,0.21105985272422245,9.726631288191268,4.40878492926489,0.8688299374142403,5.300016063793407,0.7370277957399836,0.0,0.0,22.475038898530993,5.002290973891377,5.206102689670768,1.9892363162479398,0.7512836736731323,21.584031326706004,24.37064371263917,18.908703794741264,3.076546568339733,7.867473823503303,4.601258054003271,20.064703527913398
d6,0.0,0.04381707510108157,2.3699751893199377,0.0,0.0,0.19586375668254163,0.0,0.0,0.22577198552293254,5.302151080146924,0.15605262807924092,0.9503000563402253,0.0,0.37142203683318087,2.207889508798708,0.0,0.0,2.4211596132245177,0.0,0.0,0.22824478344510624,0.4770460203698548,32.00521086096889,0.0,1.1202357906654612,7.295823025528588,0.0,0.0,0.4554905164251899,0.5898514460909254,1.3931999439985603,2.482659448650736,1.5223966772058333,0.35186808549548587,6.9343540211679695,1.7024252883051183,4.868599368033792,5.822376050490924,16.354684937682887,9.331074270105436,0.0,13.802012641616486,6.3038883157682974,36.53027971751908,11.23968687649278,4.7437491535912315,18.49708806672727,0.0,2.099995463603367,24.180392706131553,0.8059403204842219,11.640189228781196,6.328882774064326,1.8091374115828387,6.89065271820909,1.547250653365115,0.0,0.0,28.425349336366263,6.591975128586856,9.950949655893425,2.9309074522694765,1.334768742412006,25.873558048272052,27.06122808714374,21.49811062168478,4.029893090737268,12.185217566329772,6.791651267882813,24.902263046342693
d7,0.0,0.415725286999006,3.792437167504879,0.0,0.0,0.5146371422295708,0.0,0.0,0.5928001942128027,6.837555481317306,0.8216306377940477,1.6191407370989594,0.0,0.9932137629602771,3.086513180512636,0.0,0.03450407442119641,3.4497776454976297,0.0,0.0,0.8489757437654575,0.9348390111226124,36.927309214485284,0.14077863678086544,2.1111965052981283,9.504723290335566,0.0,0.0,1.0917275306567014,1.515566342242657,2.016823964388877,3.9255113091174927,2.5395873433345493,0.7664133267293955,10.322401781501416,2.729972255909999,6.772400182755021,7.971511408263108,19.239102225604775,11.494284774229723,0.0913171336170322,18.610645188186236,8.734573393951237,43.357447030889105,13.85043917360031,6.2907763149773,23.210750304268164,0.0,2.9691894354745294,27.7366610492595,1.044857694883632,14.637144014595428,8.767075195517464,2.669194322245815,7.4176156269795825,2.1515948572107213,0.11600304074686107,0.3452925454627618,33.82928455876702,8.617780436956785,13.577528875073888,3.4441836201445,2.834664323879,31.400017368250694,30.268485080535747,23.91744642531944,5.220495007902443,18.88925903946893,9.67408876078687,30.986312729638165
d8,0.0,1.3304176741182943,5.460676909174307,0.0,0.0,1.0060255799807791,0.0,0.0,1.6422887501088823,9.421636595282454,1.570493223409155,2.6698273066871643,0.0,1.8441542394216093,4.275908891310859,0.2064263551982286,0.29225897469940776,5.227213209375904,0.0,0.4837238894694309,1.8856539533016843,1.8215157772724666,42.905052672371035,0.8289472000494733,2.9759317275237294,12.019157046960814,0.0,0.0,2.319031614731589,2.4448982438702735,2.7687555859865043,4.980097698914321,3.7192593827149807,1.182370619171195,12.715186545768358,3.8909672848379593,8.464009800927823,10.216363991723629,22.160843483374922,14.287148178733663,0.7256675422956391,26.68445096044175,11.150298415850035,49.69527440548689,16.371854272006654,7.6971551150767965,25.698912065000883,0.0,3.7988065581459125,31.066303056376693,2.455676417087865,17.52402233639265,11.019400051221783,3.7458801774734276,9.88254061064788,3.091241672660132,0.47969541345556266,0.7433332185487558,45.3099022564884,12.017140958219134,17.745489644643715,4.228451105561298,7.182439363222034,37.548262330339725,34.05549786748365,28.501393513940187,6.664107296010673,22.82217496420172,13.416662240847465,39.51382698182569
d9,0.0,4.117803151165752,8.746068101109536,0.0,0.3472724239100806,1.8593029700071355,1.762696013186833,0.02991280655108497,2.9379351705421968,12.418086983480745,3.289123693752444,3.6790807607903417,0.0,3.1820918995730203,6.907106190666379,1.2260792838401215,1.1494517458282019,6.6815104219955295,0.21553615478880417,1.1705470879832554,4.633283831798376,3.6514922322517087,46.53033193858988,2.180092257173307,5.304174433245741,15.776524325619661,0.6002592913424856,0.3794856029564144,4.555964796314427,4.656086239945328,4.498438656997951,7.492691509984052,4.592558380764462,1.9439912168869675,19.859832583789345,7.089775937390161,10.990968246869187,14.199872574447433,26.655105300272623,17.722710614852538,2.3591748299956983,36.90376873589825,18.52754253696645,79.56303306909518,18.657070468634235,9.967557342363843,37.73110182355099,0.5276043226917331,5.0105063567290635,39.21069438913733,6.698037166781155,25.376090072135664,16.799574043481698,9.85280220600902,13.22749237802909,5.22586091737627,1.7801230507518753,1.2065441867313211,55.577756925672226,19.49499062425934,20.529391524030537,5.124167531194011,16.44607879144154,46.02861084149234,37.645155442352205,34.778905716028376,12.34867151868793,30.67869999769088,16.93870919956567,49.661602536423416
d10,3.136066143710952,10.43154672541515,24.90979727596518,1.1241439689101114,1.5971077780848546,3.2944233923087047,7.555191462932992,2.760433332620668,5.408181101563407,20.611794868887834,9.86400819500512,8.131418523306507,3.3948116804988757,10.749510736442563,12.625265533928754,2.971163036146983,3.374642080381566,10.817088853434456,1.247545512264125,3.8260869966417204,7.996117346911259,5.487085787625926,70.3744059111016,5.677393572973067,10.776962191355004,29.62489678026642,3.862016436940621,3.499884541575522,11.56921781363641,9.604243509697039,9.259329822584291,12.828075418982596,8.278973257781985,3.0046116516346046,31.649736271277412,9.458570471394417,25.20748176891619,27.609176337278196,39.04714798361165,24.359834072361583,11.040262577582194,68.05969581936843,29.490715868605196,105.87679356342815,33.8771197382751,13.14657571246185,51.354952184601714,2.476352386474616,7.747129658714311,67.80975901341212,12.301083754255899,31.480046134824963,37.06257478930445,26.876791127632256,26.93062199278137,9.590925887648272,12.376283247293138,1.8207927938926751,69.56517850011845,38.518830146827575,28.296440798788133,8.64862776287195,27.111158127656914,73.06237147563054,43.57595669225567,57.63745176779172,20.896141703015665,49.96620188928453,27.873714185148515,69.21039670459776
