,DAYS_HEATING_SEASON,TEMP_EXT,SOLAR_RADIATION
1980,222,5.516113926426427,359.657619733
1981,202,5.472070544554455,297.671794951
1982,216,6.2989645061728385,343.273332541
1983,219,5.98198706240487,348.40613661
1984,228,6.217091557017543,382.734883228
1985,207,4.276391103059581,329.289017698
1986,205,4.910095121951219,307.43004297
1987,207,4.846041666666666,327.68978997
1988,195,6.379805769230769,291.18092994799997
1989,191,6.396070462478185,301.895715795
1990,188,6.479416001773049,277.16952634700004
1991,209,5.557313995215311,338.94362641199996
1992,209,6.091404505582137,306.840064695
1993,203,5.800681855500821,297.858239682
1994,198,6.939845538720538,280.00085568199995
1995,197,6.082237521150592,307.33085672600004
1996,216,5.597909915123457,354.310155383
1997,200,6.248067083333333,332.00978319100005
1998,204,5.967341299019608,303.63424538
1999,192,5.976807508680555,268.42765709500003
2000,196,6.611544005102042,271.076367985
2001,190,5.587409649122806,282.40584131599996
2002,196,7.1922504251700685,294.769362552
2003,191,5.4375743891797566,283.519617319
2004,201,5.783210820895522,308.548846593
2005,188,5.112686613475177,297.716178673
2006,179,5.23367923649907,279.32642937299994
2007,186,6.393252016129032,261.459013923
2008,204,6.112276348039216,297.969146649
2009,193,5.608192789291882,284.20393764499994
2010,212,4.585530660377359,346.69968167900004
2011,174,6.558616139846744,245.01584940899997
2012,200,5.90041375,311.425689858
2013,204,5.181892565359477,325.15787126600003
2014,185,7.220712837837838,285.47599620399996
2015,190,6.708959868421052,286.699268732
2016,209,6.487116826156299,329.706130452
2017,198,6.371503577441077,314.67098922699995
2018,186,6.267252688172043,245.957040857
2019,194,6.690634450171821,317.124244466
