,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
d1,0.007906257363149649,0.007906257363149649,0.04550843289734843,0.04833073134995374,0.04861663607195599,0.05023376190423186,0.05023376190423186,0.05023376190423186,0.05023376190423186,0.047525986401092624,0.048083317024365795,0.048083317024365795,0.048083317024365795,0.048083317024365795,0.07656895627969736,0.10524151130645017,0.10524151130645017,0.10524151130645017,0.18260716680464706,0.24613070222747702,0.24613070222747702,0.3817494224371544,0.26113741667628165,0.26113741667628165,0.3432497630578901,0.35762700152394694,0.4269437611816049,0.4295163989356571,0.994996852534931,1.6205729486928278,1.6205729486928278,1.6631138822631097,2.540040676735162,2.621073278519518,2.7829283454414773,2.7750386951984254,2.773688342043894,2.7668358991977517,2.5507632362913513,2.4922342204019046,2.4922342204019046,2.4381692545267324,2.441295786867093,2.441295786867093,2.441295786867093,2.441295786867093,2.3664556381309687,2.3664556381309687,1.7037628304559753,1.4038680035896396
d2,0.16888459936366473,0.17233800818796718,0.43316515950604073,0.43316515950604073,0.4536040309578653,0.4773358375360626,0.4751034769845539,0.47021851022109634,0.46343092421248716,0.3441150761845075,0.3476273531997864,0.3487559285951221,0.3487559285951221,0.3487559285951221,0.41111075356887117,0.43299949769735396,0.4581260811598961,0.5189694772311979,0.7728227464463653,1.0322718956787114,1.0322718956787114,1.3646179330463626,0.9952091679555697,0.9864469835558275,1.1252913813713505,1.1585172182158456,1.5650516803907655,1.575122631892907,2.762521403684059,3.459653394094812,3.459653394094812,3.5042560813679664,6.182786972324017,6.426763403557655,6.86037140568595,6.860060187196975,6.865253728456671,6.804392360808257,6.465875871715309,6.2028888927997405,6.418258961818913,6.314847102710358,6.274659540949379,6.274659540949379,6.117934070912727,6.06161486019045,5.751953986859629,5.743582309573805,5.040342448879269,4.5092367710876635
d3,0.2917839881903705,0.29717637810452013,0.8567473489334936,0.8567473489334936,0.8662633099049324,0.9321849522083497,0.9321849522083497,0.9321849522083497,0.9404950981438088,0.777838680709696,0.7930071926226833,0.7956693018826725,0.8208953696319097,0.8255223439313544,0.9918071766231918,1.0260511592344328,1.1075510482452315,1.1756869465749917,1.5799213291429366,1.8279504408618017,1.83105441784953,2.12516029246171,1.6743485008029868,1.6782838713547392,1.9060380697894885,2.014998190070729,2.585469768653945,2.594307385827012,3.9551465702810873,5.143567587416062,5.11501720627897,5.1718759531624166,8.945411357931894,9.25806396355932,9.971961719412677,9.925706123692207,9.922218514228632,9.782369371344027,9.32158758057621,9.650879569405943,9.690950718276808,9.834720931413399,10.013264377295792,10.013264377295792,9.818591246114435,9.773644584912104,9.60598174982741,9.65036921539757,8.675814380873822,7.592536600639075
d4,0.5263597402741942,0.5357195079087088,1.4924568550810755,1.5004710315708367,1.5338007831039804,1.684478251550592,1.674968537805575,1.674968537805575,1.6805602440961735,1.5488174536116048,1.577940418685661,1.5956521067029463,1.648998583269135,1.6404247740665328,1.8818099445437746,1.9666392572824656,2.1040553874989865,2.209491173366034,2.8003025802062638,3.1062632718386283,3.1062632718386283,3.5666133814335717,2.525440475442499,2.518250631015408,2.931721741301256,3.1415066195568544,3.8907278696326233,3.9363486266332397,5.585758294752269,7.041095795958032,7.017953231939412,7.0766599111675035,11.363132218059299,11.88920918850355,12.651300519669686,12.708845251667563,12.697980134294488,12.595938638295436,12.113610200430697,12.569407781584664,12.709921423650314,12.626013001292543,12.852587406422472,12.85274295042305,12.401736600040833,12.363657447637706,12.141074629858643,12.193229089912618,11.036182510139973,9.94379018871012
d5,0.7944894773979061,0.7979442041312099,1.9257375887141714,1.9402624396982802,2.063514434078597,2.276972634564354,2.26774019548964,2.2691794430341767,2.2916540289659735,2.0645911622179747,2.0974588772315856,2.0974588772315856,2.1308988294445146,2.132157808518823,2.4506013163615266,2.5196354831281162,2.7571370934838577,2.871165207015432,3.6412356060424003,4.036596420218096,4.066786005401801,4.525246911316244,3.2975403107730203,3.292922909004332,3.715844260098855,3.9607124874687423,4.779048492157388,4.853634275091668,7.07409698320805,8.243153299970635,8.220941837604508,8.282807200255142,13.238888254007136,13.741420112608843,15.009009972610343,15.01829568639331,14.934700487118699,14.751012034622892,13.97673685576917,14.582964686267312,14.684062336196295,14.98595468784076,15.292842347678178,15.370973030764336,14.91439398962899,14.785825300226534,14.678767526739643,14.74250783233641,13.057538259838545,12.168593133049644
d6,1.0751622179264402,1.091319275340182,2.5039610771772853,2.5039610771772853,2.52951631527566,2.885914345608133,2.8773176473888453,2.883749736146222,2.879184530211765,2.6712875008642194,2.769675554394224,2.771044673223779,2.8065903689370924,2.794732710842087,3.188645347283523,3.354705505849908,3.664768274571518,3.7596068088175665,4.632925041328159,5.242766650853067,5.261007411491423,5.758824673441151,4.280837766768619,4.256772956777691,4.832732083451173,4.996399669046451,5.874097214208046,5.989969282673923,8.200621019048796,9.403459095012082,9.35815555083856,9.416075198269699,14.783374500321612,15.640697795269169,16.69500526027894,16.764112578900484,16.694131238106316,16.523786594371355,15.763555376817363,16.453270740946998,16.653794082278974,16.966576836939023,17.344545512750972,17.406952256074224,16.786430858367915,16.641959819690854,16.323598820529078,16.49905205302455,15.146071346266503,13.931983641548982
d7,1.446290899812202,1.4253974712488864,3.1104919576507544,3.111599996294643,3.3215253167338967,3.715222440223498,3.693210120904918,3.6847529135538637,3.6989990069065968,3.4842799500240336,3.538386880810221,3.6542237624054423,3.8407780725376863,3.8392467261246908,4.121328358533211,4.303141396220025,4.644705903183637,4.893596464791326,5.945209661787281,6.610123591770848,6.402799080805313,7.071228105870685,5.445606538633981,5.445606538633981,6.1454054399915075,6.428003860117428,7.532502367970202,7.614454028737583,9.760094539077205,11.53045725889551,11.3850809692118,11.446457719859268,16.77453054975863,17.700285396020117,18.936135530232523,18.678453447523257,18.526320780923115,18.656734713505198,17.648906876152093,18.369433549133912,18.62042121891889,19.01419518510988,19.45225278600759,19.477222264800346,18.92771202562484,18.818323067379648,18.978481954419514,19.069884107105405,17.38072825847783,16.138484620462226
d8,2.0509438767061283,2.175712420758134,4.007051222145,4.007323263947678,4.240465090770953,4.819217367242221,4.778812163031357,4.800055787207547,4.847973151844768,4.552345936412827,4.729603959455114,4.6054106006851585,4.712257003651495,4.789120270352168,5.195737133772875,5.496930064746768,5.933025036930975,6.207661385122038,7.264298530761508,8.005289411338792,7.965187813480457,8.883497165677325,7.028423218677691,6.968542714674482,7.935742579699275,8.332623182668865,9.377384203932852,9.74293009544204,11.81132404233549,13.65523207640242,13.49135287360112,13.78227593574067,20.286299475459906,21.392182843186387,22.79953019319684,23.08229447146242,22.896123951278263,22.672837044858152,21.998705626095127,22.987501136990165,23.235070407176153,23.39421299253541,24.04767864369961,24.205363049532608,23.445976715634842,23.311675064007062,23.066950070833897,23.131883282338823,21.440065329025828,20.208345787130895
d9,2.991330208063081,2.9307118595390054,4.986487760044085,4.992192265463419,5.166606580449336,5.926271863639518,5.882479108906224,5.8757759763792725,5.892001841046539,5.711731724304644,5.808621525104908,6.110221021996581,6.32225973318555,6.259166194329942,6.000422858788911,6.176557578480914,6.434315803267331,7.383915350189226,8.678352382316685,8.907000981085218,9.072387740379723,10.686779423973833,9.041589091773133,8.971516137012022,9.373274991291998,10.022321896886865,12.191102795849657,12.440643428132205,14.580202794294273,16.801975083766134,16.843105361220534,17.109599825264823,24.039389668635962,25.56706815611532,26.72434764573427,27.19212551453818,26.62229588072363,26.789990464596542,25.523063457030116,27.06956643912111,27.242040682569264,26.02092184081259,27.546313590570993,27.75206568385005,25.958948354621068,25.5215662971248,26.168941074551057,26.035939864339316,24.324936282332335,23.285876476770415
d10,5.31777037413759,5.016673069188377,7.803175197230472,7.941484833513825,8.308070129003378,9.449431927109675,9.34709435412786,9.470451584553254,9.706637177033635,9.45817547533038,9.880302993262827,10.192336897971243,10.547962788256772,10.07489719743495,10.73489654788606,11.180746710264687,12.34903441646916,13.933432266060198,15.947135301125053,16.35175310220677,16.421133191048288,19.290644455916016,16.70716259174503,16.958448947951602,18.631155622344753,18.21832575007103,19.89396776668859,20.722781134637657,23.767061771059677,26.058349671093097,26.80323113569102,26.79496092960771,33.13220602904617,34.814283722298406,35.69210794778308,36.94952625319239,36.741601546285686,36.165988472478745,35.53210739786212,37.36603682945854,37.12766463735361,36.36725502467777,38.11685994741048,39.16344023008579,37.55222519498242,38.04779565099739,40.27620134838161,40.17789382192204,36.201268897803665,35.796797479084695
