Housing type,Energy,Heating system,DPE,Wall,Floor,Roof,Windows,Efficiency,clusters,Weight
Multi-family,Electricity,Electricity-Heat pump,A,0.1,0.2,0.1,1.6,2.5,1,0.47904191616766467
Multi-family,Electricity,Electricity-Heat pump,A,0.5,0.2,0.1,1.6,2.5,2,0.3413173652694611
Multi-family,Electricity,Electricity-Heat pump,A,0.1,2.0,0.1,1.6,2.5,3,0.09580838323353294
Multi-family,Electricity,Electricity-Heat pump,A,0.1,0.2,0.1,3.0,2.5,0,0.0658682634730539
Multi-family,Electricity,Electricity-Heat pump,A,0.1,0.5,0.5,1.6,2.5,4,0.017964071856287425
Multi-family,Electricity,Electricity-Heat pump,B,0.5,0.5,0.1,3.0,2.5,2,0.28773072747014117
Multi-family,Electricity,Electricity-Heat pump,B,0.5,0.5,0.1,1.6,2.5,1,0.25732899022801303
Multi-family,Electricity,Electricity-Heat pump,B,0.5,2.0,0.1,1.6,2.5,0,0.252985884907709
Multi-family,Electricity,Electricity-Heat pump,B,0.5,0.5,2.5,1.6,2.5,3,0.10314875135722042
Multi-family,Electricity,Electricity-Heat pump,B,1.0,0.5,0.1,1.6,2.5,4,0.0988056460369164
Multi-family,Electricity,Electricity-Performance boiler,C,0.5,0.2,0.1,1.6,0.95,0,0.812093023255814
Multi-family,Electricity,Electricity-Performance boiler,C,0.1,0.2,0.1,3.0,0.95,3,0.09147286821705426
Multi-family,Electricity,Electricity-Performance boiler,C,0.1,2.0,0.1,1.6,0.95,4,0.044527131782945734
Multi-family,Electricity,Electricity-Heat pump,C,2.5,0.5,0.1,3.0,2.5,2,0.02958139534883721
Multi-family,Electricity,Electricity-Heat pump,C,0.5,2.0,2.5,3.0,2.5,1,0.022325581395348838
Multi-family,Electricity,Electricity-Performance boiler,D,0.5,0.5,0.1,3.0,0.95,0,0.4032239517452618
Multi-family,Electricity,Electricity-Performance boiler,D,0.5,0.5,0.1,1.6,0.95,3,0.31426211856699315
Multi-family,Electricity,Electricity-Performance boiler,D,0.5,2.0,0.1,1.6,0.95,1,0.2349386884663231
Multi-family,Electricity,Electricity-Performance boiler,D,0.5,0.2,2.5,1.6,0.95,4,0.041010255177244166
Multi-family,Electricity,Electricity-Heat pump,D,2.5,2.0,2.5,3.0,2.5,2,0.006564986044177756
Multi-family,Electricity,Electricity-Performance boiler,E,1.0,0.5,0.5,3.0,0.95,0,0.33809242993264843
Multi-family,Electricity,Electricity-Performance boiler,E,0.5,0.5,2.5,3.0,0.95,2,0.3176696980042832
Multi-family,Electricity,Electricity-Performance boiler,E,0.5,2.0,2.5,1.6,0.95,3,0.18006455817995592
Multi-family,Electricity,Electricity-Performance boiler,E,0.5,0.5,2.5,1.6,0.95,1,0.14365746919519537
Multi-family,Electricity,Electricity-Performance boiler,E,2.5,0.2,0.1,1.6,0.95,4,0.02051584468791707
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,2.0,0.1,1.6,0.95,2,0.2614886527943673
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.5,0.5,3.0,0.95,0,0.23230338844533854
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,2.0,0.1,3.0,0.95,4,0.22639404035959013
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.5,2.5,1.6,0.95,3,0.15559187778965236
Multi-family,Electricity,Electricity-Performance boiler,F,1.0,2.0,2.5,3.0,0.95,1,0.12422204061105174
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,2.0,2.5,3.0,0.95,0,0.521029810298103
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,2.0,2.5,1.6,0.95,1,0.2507859078590786
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,0.5,2.5,3.0,0.95,2,0.19349593495934958
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,0.2,2.5,3.0,0.95,4,0.022764227642276424
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,0.5,2.5,1.6,0.95,3,0.011924119241192412
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.5,0.2,0.1,1.6,0.76,1,0.3661205417874253
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.1,0.2,0.1,1.6,0.76,3,0.3485538534334891
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.1,0.5,0.1,3.0,0.76,0,0.13432306145383568
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.1,2.0,0.1,1.6,0.76,2,0.08990359022889927
Multi-family,Natural gas,Natural gas-Performance boiler,B,0.1,0.5,0.5,1.6,0.76,4,0.061098953096350626
Multi-family,Natural gas,Natural gas-Standard boiler,C,0.5,0.5,0.1,3.0,0.6,0,0.2613413289590448
Multi-family,Natural gas,Natural gas-Performance boiler,C,0.5,0.5,0.1,3.0,0.76,4,0.258988356145965
Multi-family,Natural gas,Natural gas-Standard boiler,C,0.5,2.0,0.1,1.6,0.6,3,0.170866162906392
