Housing type,Income owner, Serenite
Multi-family,D1,0.5
Multi-family,D2,0.5
Multi-family,D3,0.35
Multi-family,D4,0.35
Multi-family,D5,0.25
Multi-family,D6,0.25
Multi-family,D7,0.25
Multi-family,D8,0.25
Multi-family,D9,0.1
Multi-family,D10,0.1
