Performance,Income tenant,
G,D1,6538
G,D2,6538
G,D3,6538
G,D4,143
G,D5,143
G,D6,143
G,D7,143
G,D8,143
G,D9,143
G,D10,143
F,D1,4231
F,D2,4231
F,D3,4231
F,D4,93
F,D5,93
F,D6,93
F,D7,93
F,D8,93
F,D9,93
F,D10,93
