Income owner,Heating system,MPR
D1,Water/air heat pump,4000
D2,Water/air heat pump,4000
D3,Water/air heat pump,3000
D4,Water/air heat pump,3000
D5,Water/air heat pump,2000
D6,Water/air heat pump,2000
D7,Water/air heat pump,2000
D8,Water/air heat pump,0
D9,Water/air heat pump,0
D10,Water/air heat pump,0
D1,Air/air heat pump,0
D2,Air/air heat pump,0
D3,Air/air heat pump,0
D4,Air/air heat pump,0
D5,Air/air heat pump,0
D6,Air/air heat pump,0
D7,Air/air heat pump,0
D8,Air/air heat pump,0
D9,Air/air heat pump,0
D10,Air/air heat pump,0
D1,Wood boiler,3000
D2,Wood boiler,3000
D3,Wood boiler,2000
D4,Wood boiler,2000
D5,Wood boiler,1000
D6,Wood boiler,1000
D7,Wood boiler,1000
D8,Wood boiler,0
D9,Wood boiler,0
D10,Wood boiler,0
