Year,Oil fuel,Natural gas,Electricity,Wood fuel
2014,7,7,0,0
2015,14.5,14.5,0,0
2016,22,22,0,0
2017,30.5,30.5,0,0
2018,44.6,44.6,0,0
2019,44.6,44.6,0,0
2020,44.6,44.6,0,0
2021,44.6,44.6,0,0
2022,44.6,44.6,0,0
2023,44.6,44.6,0,0
2024,44.6,44.6,0,0
2025,44.6,44.6,0,0
2026,44.6,44.6,0,0
2027,44.6,44.6,0,0
2028,44.6,44.6,0,0
2029,44.6,44.6,0,0
2030,50,50,0,0
2031,56.4,56.4,0,0
2032,62.8,62.8,0,0	
2033,69.2,69.2,0,0
2034,75.6,75.6,0,0
2035,82,82,0,0
2036,82.6,82.6,0,0
2037,83.2,83.2,0,0
2038,83.8,83.8,0,0
2039,84.4,84.4,0,0
2040,85,85,0,0
2041,94,94,0,0
2042,103,103,0,0
2043,112,112,0,0
2044,121,121,0,0
2045,130,130,0,0
2046,136,136,0,0
2047,142,142,0,0
2048,148,148,0,0
2049,154,154,0,0
2050,160,160,0,0
2051,160,160,0,0
2052,160,160,0,0
2053,160,160,0,0
2054,160,160,0,0
2055,160,160,0,0
2056,160,160,0,0
2057,160,160,0,0
2058,160,160,0,0
2059,160,160,0,0
2060,160,160,0,0
2061,160,160,0,0
2062,160,160,0,0
2063,160,160,0,0
2064,160,160,0,0
2065,160,160,0,0
2066,160,160,0,0
2067,160,160,0,0
2068,160,160,0,0
2069,160,160,0,0
2070,160,160,0,0
2071,160,160,0,0
2072,160,160,0,0
2073,160,160,0,0
2074,160,160,0,0
2075,160,160,0,0
2076,160,160,0,0
2077,160,160,0,0
2078,160,160,0,0
2079,160,160,0,0
2080,160,160,0,0
