Performance,Income tenant,
G,D1,0.05
G,D2,0.05
G,D3,0.05
G,D4,0
G,D5,0
G,D6,0
G,D7,0
G,D8,0
G,D9,0
G,D10,0
F,D1,0.03
F,D2,0.03
F,D3,0.03
F,D4,0
F,D5,0
F,D6,0
F,D7,0
F,D8,0
F,D9,0
F,D10,0
