Housing type,Energy,Heating system,DPE,Wall,Floor,Roof,Windows,Efficiency,clusters,Weight
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.3,0.2,2.6,2.5,0,0.6436781609195402
Multi-family,Electricity,Electricity-Heat pump,A,0.4,0.3,0.2,1.3,2.5,2,0.27586206896551724
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.9,0.2,1.3,2.5,1,0.08045977011494253
Multi-family,Electricity,Electricity-Heat pump,B,0.4,0.3,0.3,2.6,2.5,1,0.6026871401151631
Multi-family,Electricity,Electricity-Heat pump,B,0.4,2.0,0.3,2.6,2.5,2,0.26103646833013433
Multi-family,Electricity,Electricity-Heat pump,B,0.4,0.9,2.5,2.6,2.5,0,0.1362763915547025
Multi-family,Electricity,Electricity-Performance boiler,C,0.2,0.5,0.2,1.3,0.95,1,0.8601997146932953
Multi-family,Electricity,Electricity-Heat pump,C,2.5,0.9,0.3,2.6,2.5,0,0.08487874465049929
Multi-family,Electricity,Electricity-Heat pump,C,0.5,0.9,2.5,2.6,2.5,2,0.05492154065620542
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,0.3,0.3,2.6,0.95,0,0.7577513678884509
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,2.0,0.3,2.6,0.95,2,0.23597301484575708
Multi-family,Electricity,Electricity-Heat pump,D,2.5,2.0,2.5,3.0,2.5,1,0.006275617265792003
Multi-family,Electricity,Electricity-Performance boiler,E,1.0,0.9,0.3,3.0,0.95,1,0.3802319572831142
Multi-family,Electricity,Electricity-Performance boiler,E,0.5,0.5,2.5,2.6,0.95,0,0.3442900614342309
Multi-family,Electricity,Electricity-Performance boiler,E,0.5,2.0,2.5,2.6,0.95,2,0.2754779812826549
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,2.0,0.5,2.6,0.95,1,0.4742441815510709
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.5,0.5,2.6,0.95,2,0.4379494316863837
