"","clust","PONDMEN","index.repr","Deper_mur","Deper_plancher","Deper_plafond","Deper_baie","Efficiency.inverse","Proxy.conso","Cchauf.EF.square","DPE_etiquette","clust","SHAB","R_mur","S_mur","R_plancher","S_plancher","R_plafond","S_plafond","R_baie","S_baie","Efficiency","Proxy.conso","Cchauf.EF.square","Weight"
"1338","1",666955.129551802,"1338",0.205518181818181,0.591549295774648,0.185185185185185,0.271022727272727,0.438437874981254,30.2633476712155,60.9920759816191,"C","1",220,2.12765957446809,96.2,1.69047619047619,220,5.40000000000001,220,0.377358490566038,22.5,2.280824849,30.2633476712155,60.9920759816191,0.0443620745898502
"1068","2",1481089.14387133,"1068",0.39035691109669,0.30826119402985,0.173204702514823,0.295931343283582,1.04314825991975,67.0903177743298,105.429548559942,"D","2",67,2.94028659773249,76.9,2.85714285714286,59.01,5.36161376067972,62.22,0.308885683448158,6.1244,0.958636503,67.0903177743298,105.429548559942,0.0985136543125338
"1595","3",1698407.51553114,"1595",0.412709370629371,0.222084714685315,0.148209072727273,0.312094855944056,1.25,75.3920227728672,132.954609912787,"D","3",143,2.5,147.5436,3.02681070401844,96.1258,4.34782608695652,92.14738,0.335132399365296,14.956813,0.8,75.3920227728672,132.954609912787,0.112968440528506
"1177","4",679423.002513818,"1177",0.484166666666667,0.4,0.172413793103448,0.571149999999999,1.04314825991975,93.5170760989673,111.549129729656,"E","4",60,0.571428571428571,16.6,1.25,30,2.9,30,0.272111821179492,9.325,0.958636503,93.5170760989673,111.549129729656,0.0451913668252805
"461","5",1065345.36158323,"461",0.345,0.185,0.172413793103448,0.6300875,1.29237540474629,94.8459333742218,190.102441277899,"E","5",80,0.5,13.8,2.7027027027027,40,2.9,40,0.253337830063285,12.77,0.773768981,94.8459333742218,190.102441277899,0.0708607345538607
"274","6",305543.459729009,"274",0.339118563685637,0.355555555555556,0.227098571926157,0.27585,1.47411947766375,97.2333148359341,382.269742783103,"F","6",180,3.08479459143044,188.3,1.25,80,4.40337423312885,180,0.170603991702415,8.471,0.678371065,97.2333148359341,382.269742783103,0.0203230189713781
"817","7",1125538.74463832,"817",0.919333333333334,0.164835,0.30074074074074,0.4594,1.29237540474629,131.275831750748,230.840733546902,"F","7",120,0.808556925308194,89.2,2.7027027027027,53.46,1.9396551724138,70,0.335219851980845,18.48,0.773768981,131.275831750748,230.840733546902,0.074864457189145
"1237","8",147385.260534023,"1237",0.744630872483221,0.334765100671141,0.0225148372067225,1.41120805369128,0.598041212293767,82.7763999628508,199.002436198481,"F","8",74.5,2.85714285714286,158.5,4,99.7599999999999,60.5000000000001,101.48,0.139392210015694,14.655,1.672125565,82.7763999628508,199.002436198481,0.0098032320789685
"1329","9",230301.59764065,"1329",1.12958333333333,0.752727272727272,0.7398966,0.217765,0.438437874981254,68.5779573515132,149.032485268863,"E","9",200,0.838804869052015,189.5,0.983091787439615,148,1.45220697054156,214.8966,0.259683603884922,11.31,2.280824849,68.5779573515132,149.032485268863,0.0153183568129416
"1057","10",380020.023854924,"1057",1.13058536585365,0.35,0.483376829268292,0.320243902439024,1.04314825991975,131.233199065098,140.381220050235,"F","10",82,1.02040816326531,94.6,2.85714285714286,82,2.37203212158368,94.02,0.357958872810358,9.4,0.958636503,131.233199065098,140.381220050235,0.025276777847436
"101","11",524111.565034577,"101",0.443333333333333,1.36111111111111,0.126028806584362,0.536069444444445,1.2031132943468,163.43969924329,245.329946518346,"E","11",144,2.85714285714286,182.4,0.5,98,5.4,98,0.192307692307692,14.845,0.831176918,163.43969924329,245.329946518346,0.0348609303853644
"288","12",635871.408015883,"288",0.222875816993464,0.3,0.606060606060606,0.755555555555554,1.47411947766375,152.999273655494,352.189589516911,"F","12",90,1.64516129032258,33,3.33333333333333,90,1.65,90,0.294117647058824,20,0.678371065,152.999273655494,352.189589516911,0.0422945616310201
"1403","13",501567.870048022,"1403",1.68881806899975,0.407843137254902,0.101714045725385,0.744262254901961,1.04314825991975,169.06168586513,182.988700325374,"G","13",102,1.13665757038838,195.8,2.35576923076923,98,4.81935483870969,50,0.267701599491535,20.3225,0.958636503,169.06168586513,182.988700325374,0.0333614515835498
"1372","14",475029.031991874,"1372",0.548333333333333,1.57779032258065,0.254955305091332,0.611863440860215,1.04314825991975,171.951824502082,171.950085661427,"G","14",93,2.85714285714286,145.7,0.737999584283178,108.29,4.15000000000001,98.4,0.220742909462193,12.561,0.958636503,171.951824502082,171.950085661427,0.0315962385111713
"504","15",980027.057388855,"504",1.696,0.3332,0.455813953488372,0.34008,1.29237540474629,201.086989014781,143.223286723299,"E","15",100,0.5,84.8,2.94117647058824,98,2.15,98,0.384615384615385,13.08,0.773768981,201.086989014781,143.223286723299,0.0651858445847354
"468","16",347399.699700677,"468",0.754342105263156,2.117,0.264625,0.534381250000001,1.29237540474629,261.251240329151,394.48374256141,"G","16",80,1.35714285714286,81.9,0.5,84.6799999999999,4,84.6799999999999,0.30409001064315,13,0.773768981,261.251240329151,394.48374256141,0.02310705879265
"222","17",619993.079537028,"222",2.10517333333333,1.06358024691358,0.232877380952381,0.481934439166667,1.2031132943468,257.335404001866,288.858981252433,"E","17",120,0.5,126.3104,0.697330237957052,89,3.2098437252386,89.7,0.174034875251972,10.064808,0.831176918,257.335404001866,288.858981252433,0.0412384252267399
"868","18",621490.301270816,"868",0.896551724137931,1.06206896551724,1.32758620689655,0.0874137931034482,1.29237540474629,240.130501048669,328.633226218559,"G","18",116,0.625,65,0.625,77,0.5,77,0.384615384615385,3.9,0.773768981,240.130501048669,328.633226218559,0.0413380119294863
"50","19",351135.408232014,"50",0.271086180520142,0.518518518518518,2,0.453297297297296,1.2031132943468,214.883337689364,256.65450210165,"E","19",111,2.94444444444445,88.6,1.92857142857143,111,0.5,111,0.133357182605931,6.71,0.831176918,214.883337689364,256.65450210165,0.0233555369483311
"1108","20",183324.520229825,"1108",1.56157712674394,1.72817679558011,0.203314917127071,1.51027624309392,1.04314825991975,287.454350949382,456.502235391998,"G","20",45.25,2.49075290347073,176,0.610997442455243,47.78,4.25000000000002,39.1,0.24246414983904,16.57,0.958636503,287.454350949382,456.502235391998,0.0121937079126285
"660","21",376603.506942047,"660",1.97445454545454,1.63636363636364,0.188087774294671,0.580045454545454,1.29237540474629,311.688803525993,358.823274263794,"G","21",110,0.540540540540541,117.4,0.5,90,2.9,60,0.211190345584202,13.475,0.773768981,311.688803525993,358.823274263794,0.0250495305088806
"29","22",249552.864909762,"29",0.0158139534883721,1.71418604651163,0.36855,2.97743197674419,1.2031132943468,336.348107480967,262.211680101959,"E","22",86,0.588235294117647,0.8,0.5,73.71,2.32558139534884,73.71,0.0853103667648666,21.8445,0.831176918,336.348107480967,262.211680101959,0.0165988419860827
"148","23",591599.439195987,"148",0.0466595804988662,2,2,0.565607142857144,1.2031132943468,305.621097692171,267.791054998182,"E","23",84,20.4878048780488,80.3,0.5,84,0.5,84,0.357075203637052,16.965,0.831176918,305.621097692171,267.791054998182,0.0393498412202969
"901","24",796638.917742757,"901",2.4374025974026,0.353953246753247,1.68993902597403,0.465454545454546,1.29237540474629,352.10402265108,507.810165237116,"G","24",77,0.51150895140665,96,3.02613522954092,82.4755,0.6098152853513,79.3524,0.357142857142857,12.8,0.773768981,352.10402265108,507.810165237116,0.0529879050691624
