"","clust","PONDMEN","index.repr","Deper_mur","Deper_baie","Efficiency.inverse","Proxy.conso","Cchauf.EF.square","DPE_etiquette","clust","SHAB","R_mur","S_mur","R_plancher","S_plancher","R_plafond","S_plafond","R_baie","S_baie","Efficiency","Proxy.conso","Cchauf.EF.square","Weight"
"174","1",124152.449904635,"174",1.09714285714286,0.430885714285714,0.598041212293767,50.3297738887211,40.8075462313959,"C","1",70,0.5,38.4,0,0,0,0,0.15052052251177,4.54,1.672125565,50.3297738887211,40.8075462313959,0.0358887410144544
"191","2",344035.585104866,"191",0.48,0.36,1.04314825991975,48.2600441932055,52.7384353036572,"E","2",25,1.25,15,0,0,0,0,0.333333333333333,3,0.958636503,48.2600441932055,52.7384353036572,0.0994503453058632
"188","3",188381.304661659,"188",0.255294117647059,0.667544117647059,1.04314825991975,53.0193024029452,80.44781592406,"E","3",34,2.5,21.7,0,0,0,0,0.304342079175203,6.9075,0.958636503,53.0193024029452,80.44781592406,0.0544553720861766
"203","4",100105.910627671,"203",0.528695652173913,1.00842913043478,1.04314825991975,88.3115594513893,79.4831864592444,"E","4",46,0.526315789473684,12.8,0,0,0,0,0.131148876836854,6.0837,0.958636503,88.3115594513893,79.4831864592444,0.0289376093930666
"69","5",237619.109350784,"69",0.356769388803286,0.335090909090909,1.29237540474629,49.2458326742109,169.838047901339,"E","5",66,1.63504311647928,38.5,0,0,0,0,0.343642611683849,7.6,0.773768981,49.2458326742109,169.838047901339,0.0686885412420462
"194","6",139523.402717594,"194",1.13793103448276,0.625448275862068,1.04314825991975,101.310432674554,98.5861030045307,"F","6",29,0.5,16.5,0,0,0,0,0.372146873966259,6.75,0.958636503,101.310432674554,98.5861030045307,0.0403320213933227
"164","7",325081.578607312,"164",1.47,0.2784,1.04314825991975,100.449834842144,133.430401291307,"G","7",20,0.5,14.7,0,0,0,0,0.3125,1.74,0.958636503,100.449834842144,133.430401291307,0.0939713118200195
"70","8",184200.556188722,"70",0.543886639676111,0.708000000000001,1.29237540474629,89.1078736158351,232.547462408177,"E","8",95,1.06833407771327,55.2,0,0,0,0,0.205173951828724,13.8,0.773768981,89.1078736158351,232.547462408177,0.0532468433837058
"108","9",372414.371612781,"108",0.687454545454546,0.416909090909092,1.29237540474629,78.6073532668062,286.892812134076,"F","9",55,0.526315789473684,19.9,0,0,0,0,0.255669428696031,5.8625,0.773768981,78.6073532668062,286.892812134076,0.10765379936633
"66","10",165250.780314239,"66",0.909807377565152,0.641021276595745,1.29237540474629,110.386227742264,200.673187262066,"E","10",47,0.717944814989068,30.7,0,0,0,0,0.161975570897504,4.88,0.773768981,110.386227742264,200.673187262066,0.047769032843812
"77","11",116500.723606839,"77",0.513825845298749,1.05472838235294,1.29237540474629,111.647913994299,165.603237411329,"E","11",68,0.744129445170596,26,0,0,0,0,0.212765957446809,15.2599,0.773768981,111.647913994299,165.603237411329,0.0336768569668497
"156","12",118173.625695017,"156",1.74733333333333,0.926571428571431,1.04314825991975,153.622335688032,148.736318701448,"G","12",42,0.5,36.694,0,0,0,0,0.155720012334258,6.06,0.958636503,153.622335688032,148.736318701448,0.0341604426700018
"41","13",47224.6820166432,"41",0.214,1.51950999999999,1.29237540474629,123.389279105774,216.835333744752,"F","13",50,0.906542056074766,9.7,0,0,0,0,0.120630992885865,9.165,0.773768981,123.389279105774,216.835333744752,0.0136512359094574
"56","14",311757.101942954,"56",1.28085106382979,0.539208510638298,1.29237540474629,129.549779824276,255.650759152223,"F","14",47,0.5,30.1,0,0,0,0,0.119047619047619,3.017,0.773768981,129.549779824276,255.650759152223,0.0901196061748422
"128","15",64680.1861109841,"128",2.26923076923077,0.497880000000001,1.04314825991975,158.977247631633,233.316121740253,"G","15",26,0.5,29.5,0,0,0,0,0.227070471105178,2.9394,0.958636503,158.977247631633,233.316121740253,0.0186970973982943
"51","16",190039.028093422,"51",1.53,0.305204545454546,1.29237540474629,130.627781711832,227.278356909924,"E","16",66,0.710734798970093,71.77,0,0,0,0,0.198947551319284,4.0075,0.773768981,130.627781711832,227.278356909924,0.0549345700960577
"43","17",75222.3505934586,"43",1.22992700729927,1.08018211678832,1.29237540474629,164.430951928077,265.790084944161,"G","17",54.8,0.5,33.7,0,0,0,0,0.209428391197889,12.3969,0.773768981,164.430951928077,265.790084944161,0.0217445202331552
"75","18",148238.77098797,"75",2,0.617464285714287,1.29237540474629,186.308144342633,269.580537430607,"F","18",84,0.5,84,0,0,0,0,0.27213835386662,14.115,0.773768981,186.308144342633,269.580537430607,0.042851372360149
"87","19",38046.2548567782,"87",3.27647058823529,0.50880705882353,1.29237540474629,269.431777195281,498.263446966529,"G","19",34,0.5,55.7,0,0,0,0,0.37037037037037,6.4072,0.773768981,269.431777195281,498.263446966529,0.010998028538089
"60","20",168722.670082286,"60",2.66,1.8738,1.29237540474629,322.710750794493,735.862892653928,"G","20",10,2,53.2,0,0,0,0,0.37037037037037,6.94,0.773768981,322.710750794493,735.862892653928,0.0487726518043068
