,H1a,H1b,H1c,H2a,H2b,H2c,H2d,H3
2015,74057.5367632788,27154.4301465356,39497.3529404154,14811.5073526558,27154.4301465356,24685.8455877596,7405.75367632788,32091.5992640875
2016,74057.5367632788,27154.4301465356,39497.3529404154,14811.5073526558,27154.4301465356,24685.8455877596,7405.75367632788,32091.5992640875
2017,74057.5367632788,27154.4301465356,39497.3529404154,14811.5073526558,27154.4301465356,24685.8455877596,7405.75367632788,32091.5992640875
2018,74057.5367632788,27154.4301465356,39497.3529404154,14811.5073526558,27154.4301465356,24685.8455877596,7405.75367632788,32091.5992640875
2019,74057.5367632788,27154.4301465356,39497.3529404154,14811.5073526558,27154.4301465356,24685.8455877596,7405.75367632788,32091.5992640875
2020,74642.3792200845,27368.8723806977,39809.2689173784,14928.4758440169,27368.8723806977,24880.7930733615,7464.23792200845,32345.03099537
2021,74642.3792200845,27368.8723806977,39809.2689173784,14928.4758440169,27368.8723806977,24880.7930733615,7464.23792200845,32345.03099537
2022,74642.3792200845,27368.8723806977,39809.2689173784,14928.4758440169,27368.8723806977,24880.7930733615,7464.23792200845,32345.03099537
2023,74636.52308985,27366.725132945,39806.14564792,14927.30461797,27366.725132945,24878.84102995,7463.652308985,32342.493338935
2024,74927.7798504054,27473.519278482,39961.4825868829,14985.5559700811,27473.519278482,24975.9266168018,7492.77798504054,32468.7046018423
2025,74925.6805500462,27472.7495350169,39960.3629600246,14985.1361100092,27472.7495350169,24975.2268500154,7492.56805500462,32467.79490502
2026,74043.6141585459,27149.3251914668,39489.9275512245,14808.7228317092,27149.3251914668,24681.2047195153,7404.36141585459,32085.5661353699
2027,73454.6293495488,26933.3640948346,39175.8023197594,14690.9258699098,26933.3640948346,24484.8764498496,7345.46293495488,31830.3393848045
2028,71985.5546748087,26394.7033807632,38392.2958265646,14397.1109349617,26394.7033807632,23995.1848916029,7198.55546748087,31193.7403590838
2029,70809.5301663252,25963.4943943192,37765.0827553734,14161.906033265,25963.4943943192,23603.1767221084,7080.95301663252,30684.1297387409
2030,68753.303768139,25209.5447149843,36668.4286763408,13750.6607536278,25209.5447149843,22917.767922713,6875.3303768139,29793.0982995269
2031,65816.7637054341,24132.8133586592,35102.2739762315,13163.3527410868,24132.8133586592,21938.9212351447,6581.67637054341,28520.5976056881
2032,62879.8382597403,23055.9406952381,33535.9137385282,12575.9676519481,23055.9406952381,20959.9460865801,6287.98382597403,27247.9299125541
2033,59649.1877352234,21871.3688362486,31812.9001254525,11929.8375470447,21871.3688362486,19883.0625784078,5964.91877352234,25847.9813519301
2034,55831.4264158179,20471.5230191332,29776.7607551029,11166.2852831636,20471.5230191332,18610.4754719393,5583.14264158179,24193.6181135211
2035,51719.8698850533,18963.9522911862,27583.9306053618,10343.9739770107,18963.9522911862,17239.9566283511,5171.98698850533,22411.9436168564
2036,47314.5008970753,17348.6503289276,25234.4004784402,9462.90017941506,17348.6503289276,15771.5002990251,4731.45008970753,20502.9503887326
2037,42908.6935024128,15733.1876175514,22884.6365346202,8581.73870048256,15733.1876175514,14302.8978341376,4290.86935024128,18593.7671843789
2038,38502.467692107,14117.5714871059,20534.6494357904,7700.4935384214,14117.5714871059,12834.155897369,3850.2467692107,16684.4026665797
2039,33509.0318759337,12286.6450211757,17871.4836671646,6701.80637518674,12286.6450211757,11169.6772919779,3350.90318759337,14520.5804795713
2040,28808.5833599963,10563.1472319986,15364.577791998,5761.71667199926,10563.1472319986,9602.86111999877,2880.85833599963,12483.7194559984
2041,24988.0173505631,9162.27302853981,13326.942586967,4997.60347011262,9162.27302853981,8329.33911685437,2498.80173505631,10828.1408519107
2042,22047.4439360489,8084.06277655127,11758.6367658928,4409.48878720978,8084.06277655127,7349.14797868297,2204.74439360489,9553.89237228786
2043,19986.9667391789,7328.55447103227,10659.7155942288,3997.39334783578,7328.55447103227,6662.32224639297,1998.69667391789,8661.01892031086
2044,17926.3539155875,6572.99643571542,9560.72208831334,3585.2707831175,6572.99643571542,5975.45130519584,1792.63539155875,7768.08669675459
2045,17039.4137504958,6247.78504184847,9087.68733359778,3407.88275009917,6247.78504184847,5679.80458349861,1703.94137504958,7383.74595854819
2046,16445.8916402818,6030.16026810331,8771.14220815027,3289.17832805635,6030.16026810331,5481.96388009392,1644.58916402818,7126.5530441221
2047,16439.279986154,6027.73599492313,8767.61599261546,3287.8559972308,6027.73599492313,5479.75999538466,1643.9279986154,7123.68799400006
2048,16726.1619446681,6132.9260463783,8920.61970382298,3345.23238893362,6132.9260463783,5575.38731488936,1672.61619446681,7248.00350935617
2049,17306.5616627158,6345.73927632911,9230.16622011507,3461.31233254315,6345.73927632911,5768.85388757192,1730.65616627158,7499.5100538435
2050,18180.5012767088,6666.18380145991,9696.26734757805,3636.10025534177,6666.18380145991,6060.16709223628,1818.05012767088,7878.21721990716
