,construction
2015,248034.774322437
2016,248034.774322437
2017,248034.774322437
2018,248034.774322437
2019,248034.774322437
2020,250183.187297623
2021,252336.845628682
2022,221256.970880889
2023,217523.706984693
2024,221623.086186493
2025,220834.624409138
2026,217112.80187723
2027,213390.142248769
2028,207711.306668238
2029,203986.91203309
2030,194395.260458513
2031,185780.069438285
2032,173252.443935834
2033,162679.006704436
2034,149170.681888183
2035,132727.165402526
2036,118237.853815134
2037,102769.160911724
2038,89255.0218638671
2039,70849.5932233644
2040,55376.7760196869
2041,42836.9621980104
2042,31274.3303858782
2043,21667.155588195
2044,12059.3925217772
2045,5385.58468146412
2046,1646.04184785718
2047,0
2048,0
2049,0
2050,0
