,construction
2015,246858.455877596
2016,246858.455877596
2017,246858.455877596
2018,246858.455877596
2019,246858.455877596
2020,248807.930733615
2021,248807.930733615
2022,248807.930733615
2023,248788.4102995
2024,249759.266168018
2025,249752.268500154
2026,246812.047195153
2027,244848.764498496
2028,239951.848916029
2029,236031.767221084
2030,229177.67922713
2031,219389.212351447
2032,209599.460865801
2033,198830.625784078
2034,186104.754719393
2035,172399.566283511
2036,157715.002990251
2037,143028.978341376
2038,128341.55897369
2039,111696.772919779
2040,96028.6111999877
2041,83293.3911685437
2042,73491.4797868297
2043,66623.2224639297
2044,59754.5130519584
2045,56798.0458349861
2046,54819.6388009392
2047,54797.5999538466
2048,55753.8731488936
2049,57688.5388757192
2050,60601.6709223628
