2015,244903.777675556
2016,244903.777675556
2017,244903.777675556
2018,244903.777675556
2019,244903.777675556
2020,246853.087632959
2021,246852.927445521
2022,279108.965910596
2023,283979.357298175
2024,286908.012454396
2025,290814.104660635
2026,287876.879853272
2027,288849.439590925
2028,285910.904947316
2029,284927.025601944
2030,278076.087106188
2031,271224.007684694
2032,262415.192572927
2033,254582.964717557
2034,242838.105518961
2035,230113.895831288
2036,218366.146477187
2037,203683.173436327
2038,191932.650937279
2039,175290.817904843
2040,160603.519301762
2041,149827.175822435
2042,142962.250754265
2043,138052.939044622
2044,136077.602832405
2045,137036.537967322
2046,138973.642882241
2047,143845.420191494
2048,149695.65126208
2049,156524.397701559
2050,163353.444608023
