2015,0.459809438999646
2016,0.449876705339434
2017,0.440158537083053
2018,0.430650299221242
2019,0.421347456869503
2020,0.412245573105225
2021,0.403340306851526
2022,0.394627410806807
2023,0.386102729419033
2024,0.377762196903772
2025,0.369601835305052
2026,0.361617752598099
2027,0.353806140833069
2028,0.346163274318871
2029,0.338685507846228
2030,0.331369274949119
2031,0.324211086203781
2032,0.317207527564454
2033,0.310355258735073
2034,0.303651011576145
2035,0.297091588546027
2036,0.290673861175886
2037,0.284394768577598
2038,0.278251315983879
2039,0.272240573319952
2040,0.266359673806072
2041,0.260605812590233
2042,0.254976245410417
2043,0.249468287285737
2044,0.244079311235855
2045,0.238806747028065
2046,0.233648079951434
2047,0.228600849617436
2048,0.223662648786483
2049,0.21883112221981
2050,0.214103965556163
