,subsidies,restriction_gas,carbon_tax,obligation,cee,zero_interest_loan
S0,subsidies_2024,restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S1,subsidies_2024,restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S2,subsidies_2024,restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S3,subsidies_2024,restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S4,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S5,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S6,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S7,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S8,subsidies_2024,restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S9,subsidies_2024,restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S10,subsidies_2024,restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S11,subsidies_2024,restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S12,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S13,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S14,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S15,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S16,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S17,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S18,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S19,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S20,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S21,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S22,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S23,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S24,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S25,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S26,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S27,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S28,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S29,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S30,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S31,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S32,no_subsidies,restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S33,no_subsidies,restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S34,no_subsidies,restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S35,no_subsidies,restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S36,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S37,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S38,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S39,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S40,no_subsidies,restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S41,no_subsidies,restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S42,no_subsidies,restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S43,no_subsidies,restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S44,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S45,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S46,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S47,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S48,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S49,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S50,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S51,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S52,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S53,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S54,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S55,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S56,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S57,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S58,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S59,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S60,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S61,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S62,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S63,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
