,subsidies,restriction_gas,carbon_tax,obligation,cee,zero_interest_loan
S0,subsidies_2024,restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S1,subsidies_2024,restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S2,subsidies_2024,restriction_gas,carbon_tax_high,obligation,cee_2021,zero_interest_loan
S3,subsidies_2024,restriction_gas,carbon_tax_high,obligation,cee_2021,no_zero_interest_loan
S4,subsidies_2024,restriction_gas,carbon_tax_high,obligation,cee_2018,zero_interest_loan
S5,subsidies_2024,restriction_gas,carbon_tax_high,obligation,cee_2018,no_zero_interest_loan
S6,subsidies_2024,restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S7,subsidies_2024,restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S8,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S9,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S10,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,cee_2021,zero_interest_loan
S11,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,cee_2021,no_zero_interest_loan
S12,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,cee_2018,zero_interest_loan
S13,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,cee_2018,no_zero_interest_loan
S14,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S15,subsidies_2024,restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S16,subsidies_2024,restriction_gas,carbon_tax,obligation,cee_2024,zero_interest_loan
S17,subsidies_2024,restriction_gas,carbon_tax,obligation,cee_2024,no_zero_interest_loan
S18,subsidies_2024,restriction_gas,carbon_tax,obligation,cee_2021,zero_interest_loan
S19,subsidies_2024,restriction_gas,carbon_tax,obligation,cee_2021,no_zero_interest_loan
S20,subsidies_2024,restriction_gas,carbon_tax,obligation,cee_2018,zero_interest_loan
S21,subsidies_2024,restriction_gas,carbon_tax,obligation,cee_2018,no_zero_interest_loan
S22,subsidies_2024,restriction_gas,carbon_tax,obligation,no_cee,zero_interest_loan
S23,subsidies_2024,restriction_gas,carbon_tax,obligation,no_cee,no_zero_interest_loan
S24,subsidies_2024,restriction_gas,carbon_tax,no_obligation,cee_2024,zero_interest_loan
S25,subsidies_2024,restriction_gas,carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S26,subsidies_2024,restriction_gas,carbon_tax,no_obligation,cee_2021,zero_interest_loan
S27,subsidies_2024,restriction_gas,carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S28,subsidies_2024,restriction_gas,carbon_tax,no_obligation,cee_2018,zero_interest_loan
S29,subsidies_2024,restriction_gas,carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S30,subsidies_2024,restriction_gas,carbon_tax,no_obligation,no_cee,zero_interest_loan
S31,subsidies_2024,restriction_gas,carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S32,subsidies_2024,restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S33,subsidies_2024,restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S34,subsidies_2024,restriction_gas,no_carbon_tax,obligation,cee_2021,zero_interest_loan
S35,subsidies_2024,restriction_gas,no_carbon_tax,obligation,cee_2021,no_zero_interest_loan
S36,subsidies_2024,restriction_gas,no_carbon_tax,obligation,cee_2018,zero_interest_loan
S37,subsidies_2024,restriction_gas,no_carbon_tax,obligation,cee_2018,no_zero_interest_loan
S38,subsidies_2024,restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S39,subsidies_2024,restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S40,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S41,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S42,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,cee_2021,zero_interest_loan
S43,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S44,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,cee_2018,zero_interest_loan
S45,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S46,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S47,subsidies_2024,restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S48,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S49,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S50,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,cee_2021,zero_interest_loan
S51,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,cee_2021,no_zero_interest_loan
S52,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,cee_2018,zero_interest_loan
S53,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,cee_2018,no_zero_interest_loan
S54,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S55,subsidies_2024,no_restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S56,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S57,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S58,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,cee_2021,zero_interest_loan
S59,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,cee_2021,no_zero_interest_loan
S60,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,cee_2018,zero_interest_loan
S61,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,cee_2018,no_zero_interest_loan
S62,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S63,subsidies_2024,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S64,subsidies_2024,no_restriction_gas,carbon_tax,obligation,cee_2024,zero_interest_loan
S65,subsidies_2024,no_restriction_gas,carbon_tax,obligation,cee_2024,no_zero_interest_loan
S66,subsidies_2024,no_restriction_gas,carbon_tax,obligation,cee_2021,zero_interest_loan
S67,subsidies_2024,no_restriction_gas,carbon_tax,obligation,cee_2021,no_zero_interest_loan
S68,subsidies_2024,no_restriction_gas,carbon_tax,obligation,cee_2018,zero_interest_loan
S69,subsidies_2024,no_restriction_gas,carbon_tax,obligation,cee_2018,no_zero_interest_loan
S70,subsidies_2024,no_restriction_gas,carbon_tax,obligation,no_cee,zero_interest_loan
S71,subsidies_2024,no_restriction_gas,carbon_tax,obligation,no_cee,no_zero_interest_loan
S72,subsidies_2024,no_restriction_gas,carbon_tax,no_obligation,cee_2024,zero_interest_loan
S73,subsidies_2024,no_restriction_gas,carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S74,subsidies_2024,no_restriction_gas,carbon_tax,no_obligation,cee_2021,zero_interest_loan
S75,subsidies_2024,no_restriction_gas,carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S76,subsidies_2024,no_restriction_gas,carbon_tax,no_obligation,cee_2018,zero_interest_loan
S77,subsidies_2024,no_restriction_gas,carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S78,subsidies_2024,no_restriction_gas,carbon_tax,no_obligation,no_cee,zero_interest_loan
S79,subsidies_2024,no_restriction_gas,carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S80,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S81,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S82,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,cee_2021,zero_interest_loan
S83,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,cee_2021,no_zero_interest_loan
S84,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,cee_2018,zero_interest_loan
S85,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,cee_2018,no_zero_interest_loan
S86,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S87,subsidies_2024,no_restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S88,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S89,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S90,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,cee_2021,zero_interest_loan
S91,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S92,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,cee_2018,zero_interest_loan
S93,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S94,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S95,subsidies_2024,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S96,subsidies_2021,restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S97,subsidies_2021,restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S98,subsidies_2021,restriction_gas,carbon_tax_high,obligation,cee_2021,zero_interest_loan
S99,subsidies_2021,restriction_gas,carbon_tax_high,obligation,cee_2021,no_zero_interest_loan
S100,subsidies_2021,restriction_gas,carbon_tax_high,obligation,cee_2018,zero_interest_loan
S101,subsidies_2021,restriction_gas,carbon_tax_high,obligation,cee_2018,no_zero_interest_loan
S102,subsidies_2021,restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S103,subsidies_2021,restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S104,subsidies_2021,restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
