Housing type,Heating system,
Multi-family,Electricity-Heat pump water,0
Multi-family,Electricity-Heat pump air,0
Multi-family,Electricity-Performance boiler,0
Multi-family,Natural gas-Performance boiler,0.05
Multi-family,Natural gas-Standard boiler,0.05
Multi-family,Natural gas-Collective boiler,0.25
Multi-family,Oil fuel-Collective boiler,0.25
Multi-family,Wood fuel-Performance boiler,0
Multi-family,Wood fuel-Standard boiler,0
