Housing type,Occupancy status,Heater replacement,
Single-family,Owner-occupied,FALSE,0.062667356
Single-family,Owner-occupied,TRUE,0.321156455
Single-family,Privately rented,FALSE,0.031940823
Single-family,Privately rented,TRUE,0.224607897
Single-family,Social-housing,FALSE,0.036593407
Single-family,Social-housing,TRUE,0.29406134
Multi-family,Owner-occupied,FALSE,0.035401483
Multi-family,Owner-occupied,TRUE,0.181424834
Multi-family,Privately rented,FALSE,0.018043724
Multi-family,Privately rented,TRUE,0.126883485
Multi-family,Social-housing,FALSE,0.02067202
Multi-family,Social-housing,TRUE,0.166118504
