Heating system,Electricity-Heat pump,Electricity-Performance boiler,Natural gas-Performance boiler,Oil fuel-Performance boiler,Wood fuel-Performance boiler
Electricity-Heat pump,0.7479576561429092,0.031056709297015404,0.02542560144406306,,0.1955600331160124
Electricity-Performance boiler,0.18996672078036161,0.39589314188848646,0.044166176248895246,0.00519733739653844,0.3647766236857182
Natural gas-Performance boiler,0.17645977736568055,0.026538685816231943,0.6137222086889372,0.07599562091455707,0.10728370721459327
Oil fuel-Performance boiler,0.10631856331319733,0.11424276794439883,0.05689853849714329,0.03944315728530097,0.6830969729599595
Wood fuel-Performance boiler,0.11268433877011559,0.13974384800199943,0.078609990449699,0.018687507632741313,0.6502743151454448
Wood fuel-Standard boiler,0.11268433877011559,0.13974384800199943,0.078609990449699,0.018687507632741313,0.6502743151454448
Natural gas-Standard boiler,0.17645977736568055,0.026538685816231943,0.6137222086889372,0.07599562091455707,0.10728370721459327
Oil fuel-Standard boiler,0.10631856331319733,0.11424276794439883,0.05689853849714329,0.03944315728530097,0.6830969729599595
