Wall,Floor,Roof,Windows,
FALSE,FALSE,FALSE,TRUE,0
FALSE,FALSE,TRUE,FALSE,2.503
FALSE,FALSE,TRUE,TRUE,-1.818
FALSE,TRUE,FALSE,FALSE,-4.106
FALSE,TRUE,FALSE,TRUE,0.032
FALSE,TRUE,TRUE,FALSE,-2.905
FALSE,TRUE,TRUE,TRUE,-0.285
TRUE,FALSE,FALSE,FALSE,-0.914
TRUE,FALSE,FALSE,TRUE,-4.24
TRUE,FALSE,TRUE,FALSE,-0.848
TRUE,FALSE,TRUE,TRUE,-3.276
TRUE,TRUE,FALSE,FALSE,-5.249
TRUE,TRUE,FALSE,TRUE,-2.783
TRUE,TRUE,TRUE,FALSE,-1.853
TRUE,TRUE,TRUE,TRUE,-1.66
