,Reduced vat,Mpr,Mpr serenite,Cite,Cee,Eptz
2011,872,0,39,1110,277,667
2012,798,0,70,673,274,558
2013,819,0,284,619,272,543
2014,730,0,403,874,295,548
2015,1080,0,392,1678,230,387
2016,1180,0,349,1682,385,398
2017,1070,0,418,1948,920,444
2018,1150,0,527,1132,1484,351
2019,1235,0,761,1084,3408,484
2020,1310,570,597,300,3100,537
2021,1390,2059,730,150,3895,770
