Performance,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
A,0.08135127549589392,0.09541172640046998,0.09424390365923749,0.09758544472553154,0.10743776024536066,0.10975030388805526,0.11403281070675458,0.10723851096652429,0.10368575735121043,0.0892625065609617
B,0.08847987422513426,0.101033068776478,0.09419933541286385,0.09581028987794053,0.09996267201400579,0.1029137077154619,0.10513590130717439,0.1047542851223637,0.10461954478042178,0.10309132076815593
C,0.08921014659805013,0.09525548852553177,0.09089444493828237,0.09362791402625417,0.09578379779927823,0.09806416856020427,0.10115318360644746,0.10570314442290683,0.11081077347701651,0.11949693804602814
D,0.09057338932825316,0.09110193394431934,0.08990082974415556,0.09493346120661897,0.09717201607330128,0.09924394786807411,0.10225569185070671,0.1062929021796746,0.11155201153358799,0.11697381627130826
E,0.09492905519761649,0.08785379496661627,0.09213170086378562,0.0988125816860877,0.100613029663882,0.101610942799803,0.10332324709168247,0.10580291762515455,0.10810485760969228,0.10681787249567941
F,0.11718494621295404,0.08985224265547362,0.09666176063775324,0.10056429372152634,0.09956444222589445,0.09800321607164017,0.09826355678008374,0.09843577651629498,0.09810270593762263,0.10336705924075687
G,0.15254944895219338,0.09437678375235263,0.10240720570595784,0.09934977016586587,0.09583754501600458,0.09228411407176085,0.09241102612109424,0.08924050491886562,0.08640364292710283,0.09513995836880211
